"","fch","pval","pAdj"
"X137.046_0.35",1.76834326314008,0.000264302833103572,0.0445262172835151
"X269.088_0.35",1.21335165403982,0.0891947730984869,0.640236428672809
"X169.036_0.375",0,0.0384143238141604,0.495885062016611
"X338.342_3.533",0.979019131649278,0.966601419247449,1
"X387.181_2.767",0.822289420909317,0.0975257598239064,0.640236428672809
"X311.081_2.525",1.10005823839592,0.512486352283095,0.784910849764534
"X228.196_2.71",1.28408392236195,0.148479991170565,0.640236428672809
"X404.207_2.768",0.860312700425609,0.173608899884423,0.640236428672809
"X496.341_2.926",1.05863787593054,0.966706859094453,1
"X310.31_3.391",1.06177115424436,0.870194456435353,1
"X228.196_3.321",0.978695196066449,0.902462275054423,1
"X285.022_2.394",1.09881119237872,1,1
"X336.326_3.156",1.16139742463331,0.0294964746728803,0.495885062016611
"X524.372_3.04",1.03208846676467,1,1
"X596.357_2.948",1.12288554712442,0.106445693561888,0.640236428672809
"X409.162_2.768",0.832769212026443,0.148479991170565,0.640236428672809
"X244.191_2.61",1.27779770261588,0.232811909318818,0.640236428672809
"X624.388_3.054",1.43705578323475,0.000996702371208616,0.109507256175834
"X226.181_2.61",1.28034888107255,0.184214736160848,0.640236428672809
"X238.1_2.259",0.619874818706284,0.0234961466635103,0.456728943220697
"X226.181_3.32",0.965837913861888,0.774840301727361,0.932391163078592
"X244.191_3.324",1.01394489034126,0.967417297543179,1
"X638.403_3.073",1.18545986748425,0.0674961538838424,0.635538072943451
"X287.018_2.395",1.09893629400551,0.902462275054423,1
"X489.228_2.768",0.594876720215827,0.0145191723023937,0.386209983243672
"X110.021_5.865",1.60641078975679,0.722851189407603,0.895414193937751
"X312.326_3.521",1.75765185276649,0.103563837929976,0.640236428672809
"X610.372_2.951",0.965907451213986,0.902462275054423,1
"X110.021_6.211",1.63631228674599,0.389422615649894,0.669436020236246
"X580.361_2.989",1.17053457241841,0.187268401403014,0.640236428672809
"X183.15_2.549",0.793808031011408,0.126147401015694,0.640236428672809
"X637.306_3.32",1.16406400864674,0.267097024243296,0.640236428672809
"X146.981_3.86",1.98637211564704,0.109019138979615,0.640236428672809
"X105.07_2.767",0.816865696153146,0.115978749531323,0.640236428672809
"X352.321_3.187",1.30482338474105,0.0209023068445138,0.436529995008977
"X432.238_2.769",0.865151496854566,0.187268401403014,0.640236428672809
"X200.165_3.207",0.977613582024709,0.743702065375981,0.908769400002468
"X267.123_2.767",0.783132077225716,0.0502223733334571,0.584922126657129
"X200.165_2.552",1.13499577735838,0.870194456435353,1
"X126.022_0.338",0.977421635635985,0.774840301727361,0.932391163078592
"X608.393_3.098",1.438398406145,3.43223641017469e-05,0.0078814765443015
"X666.434_3.024",0.993944168348074,0.623594278712037,0.836679946620241
"X123.056_0.323",1.52054164803754,0.695352222477702,0.878125574503751
"X240.097_2.259",0.594443033531611,0.0112560077030628,0.334634487831056
"X522.357_2.957",0.757522950406028,0.160685472537209,0.640236428672809
"X482.325_3.027",0.811880957196775,0.304590816047085,0.640236428672809
"X308.295_3.045",1.16793768756963,0.173608899884423,0.640236428672809
"X258.206_2.778",1.11560056688511,0.623594278712037,0.836679946620241
"X650.44_3.113",1.07800382277896,0.324548174828994,0.640236428672809
"X333.063_2.524",1.02911585216952,1,1
"X594.377_3",1.02673119884114,0.902462275054423,1
"X282.279_3.26",1.15458174881767,0.173608899884423,0.640236428672809
"X285.133_2.768",0.797750035623687,0.106445693561888,0.640236428672809
"X790.38_2.768",0.812907314508157,0.187268401403014,0.640236428672809
"X417.337_3.233",1.75511308458313,0.119804835906325,0.640236428672809
