"","fch","pval","pAdj"
"X137.046_0.35",1.77855180896765,8.81911985183879e-06,0.00144158689885826
"X269.088_0.35",1.58041398961555,2.65476137060469e-05,0.002265299011475
"X169.036_0.375",0,0.350647889704459,0.554409795849684
"X338.342_3.533",1.02212198128021,0.966464370074931,1
"X387.181_2.767",0.558291682669468,3.43223641017469e-05,0.00243116745720707
"X311.081_2.525",0.999302300638464,0.902462275054423,1
"X228.196_2.71",1.09149744198687,0.232811909318818,0.554409795849684
"X404.207_2.768",0.587266562657585,3.43223641017469e-05,0.00243116745720707
"X496.341_2.926",1.11231844775994,0.148479991170565,0.551876338992533
"X310.31_3.391",0.969386058906076,0.934887200362667,1
"X228.196_3.321",1.09728311716163,0.512486352283095,0.733529080280698
"X285.022_2.394",0.913234182998755,0.486364763954452,0.711304283140544
"X336.326_3.156",0.951990087273515,0.304590816047085,0.554409795849684
"X524.372_3.04",1.16742789847273,0.249556194554941,0.554409795849684
"X596.357_2.948",1.19665939230891,0.0234961466635103,0.192777265096369
"X409.162_2.768",0.555006484682106,7.12105247685755e-05,0.00398216750350586
"X244.191_2.61",0.931755491089885,0.967417297543179,1
"X624.388_3.054",1.26692515862442,0.00426618476107663,0.0620934425841633
"X226.181_2.61",0.987431334079065,1,1
"X238.1_2.259",1.00869753939986,1,1
"X226.181_3.32",1.04850963209336,0.712965124764759,0.874740698686555
"X244.191_3.324",1.12852516649064,0.366875192434742,0.572400722411033
"X638.403_3.073",2.28568447235547,0.000769700611249004,0.0197061903482426
"X287.018_2.395",0.902261710068919,0.436289427525659,0.656597049215316
"X489.228_2.768",0.314568015128013,8.63861155077776e-07,0.000917852477270137
"X110.021_5.865",1.06963199407928,0.774840301727361,0.925539989415763
"X312.326_3.521",Inf,0.00152295328439113,0.0315412006251482
"X610.372_2.951",1.1007939549638,0.460958749211566,0.679762208240511
"X110.021_6.211",0.734223104807514,0.86980056701022,1
"X580.361_2.989",Inf,2.77165996698117e-05,0.002265299011475
"X183.15_2.549",0.691964776155134,0.339009077467491,0.554409795849684
"X637.306_3.32",1.22592504753928,0.0294964746728803,0.22148412961085
"X146.981_3.86",0.517616648106484,0.721911912147157,0.88367673577921
"X105.07_2.767",0.558191670678063,3.43223641017469e-05,0.00243116745720707
"X352.321_3.187",1.25280490540943,0.0209023068445138,0.176259531922983
"X432.238_2.769",0.698048791909835,0.00987482265059421,0.110442095434277
"X200.165_3.207",1.35223319116809,0.040839912860907,0.265396987245955
"X267.123_2.767",0.572274044309063,5.61896554302828e-05,0.00347657910834223
"X200.165_2.552",0.966342050560893,0.682673807575057,0.847360888491236
"X126.022_0.338",1.08042471986693,0.285440870895821,0.554409795849684
"X608.393_3.098",1.1879355607386,0.00987482265059421,0.110442095434277
"X666.434_3.024",0.944379250562176,0.682673807575057,0.847360888491236
"X123.056_0.323",Inf,0.350647889704459,0.554409795849684
"X240.097_2.259",1.01169039977351,0.902462275054423,1
"X522.357_2.957",1.34664559549858,0.0127990313408827,0.131391022219207
"X482.325_3.027",1.11741600938419,0.712965124764759,0.874740698686555
"X308.295_3.045",0.929796476194933,0.285440870895821,0.554409795849684
"X650.44_3.113",0.97085731168218,0.743702065375981,0.902551050213569
"X333.063_2.524",0.93538789185791,0.460958749211566,0.679762208240511
"X594.377_3",0.963455009941845,0.65287003041307,0.819883408121783
"X282.279_3.26",1.1680129973946,0.366875192434742,0.572400722411033
"X285.133_2.768",0.528712085795955,2.65476137060469e-05,0.002265299011475
"X790.38_2.768",0.428665717062564,1.79218956053449e-06,0.00109783769594128
"X582.341_3.046",1.16604080179185,0.0329436416982427,0.238925729040156
"X622.409_3.109",1.07178575309551,0.486364763954452,0.711304283140544
"X100.076_2.546",0.68850803234735,0.327801509589715,0.554409795849684
"X366.373_3.699",Inf,0.0180966134767002,0.158906213380115
"X401.342_3.422",1.37030662791174,0.0329436416982427,0.238925729040156
"X340.357_3.733",1.07993197759328,0.361567459874719,0.565930283204261
"X636.388_2.978",1.04633419587478,0.594883930583728,0.786149472941804
"X214.181_2.634",1.25564994943467,0.0185537262328588,0.16092517650949
