filename,RA_142DPI
X137.046_0.35,0.034163311
X269.088_0.35,0.457708148
X169.036_0.375,0.445426582
X338.342_3.533,0.585295585
X387.181_2.767,0.585295585
X311.081_2.525,0.585295585
X228.196_2.71,0.997319943
X404.207_2.768,0.545101448
X496.341_2.926,0.577746171
X310.31_3.391,0.546757936
X228.196_3.321,0.424983211
X285.022_2.394,0.585295585
X336.326_3.156,0.51842694
X524.372_3.04,0.750067529
X596.357_2.948,0.090506104
X409.162_2.768,0.090506104
X244.191_2.61,0.585295585
X624.388_3.054,0.486487146
X226.181_2.61,0.51842694
X238.1_2.259,0.457708148
X226.181_3.32,0.577746171
X244.191_3.324,0.585295585
X638.403_3.073,0.507425202
X287.018_2.395,0.585295585
X489.228_2.768,0.027823996
X110.021_5.865,0.577746171
X312.326_3.521,0.577746171
X610.372_2.951,0.585295585
X110.021_6.211,0.577746171
X580.361_2.989,0.51842694
X183.15_2.549,0.51842694
X637.306_3.32,0.522787637
X146.981_3.86,0.585295585
X105.07_2.767,0.090506104
X352.321_3.187,0.374038417
X432.238_2.769,0.566068372
X200.165_3.207,0.585295585
X267.123_2.767,0.703876907
X200.165_2.552,0.628034351
X126.022_0.338,0.600835332
X608.393_3.098,0.36499481
X666.434_3.024,0.486487146
X123.056_0.323,0.752684875
X240.097_2.259,0.445426582
X522.357_2.957,0.51842694
X482.325_3.027,0.577746171
X308.295_3.045,0.741127259
X258.206_2.778,1
X650.44_3.113,0.551561044
X333.063_2.524,0.741127259
X594.377_3,1
X282.279_3.26,0.230176712
X285.133_2.768,0.090506104
X790.38_2.768,0.160706789
X582.341_3.046,0.374038417
X622.409_3.109,0.375981884
X100.076_2.546,1
X366.373_3.699,0.633044115
X401.342_3.422,0.51842694
X340.357_3.733,0.48001343
X636.388_2.978,0.585295585
X214.181_2.634,0.304280508
X198.15_2.471,0.726653177
X132.102_0.307,0.304280508
X113.964_6.456,0.449223069
X678.478_3.062,0.577746171
X110.021_5.953,0.585295585
X369.352_3.849,1
X369.17_2.767,0.304280508
X568.341_2.887,1
X221.111_2.312,0.577746171
X321.315_3.533,0.782082965
X634.453_3.069,0.585295585
X208.17_3.328,0.585295585
X694.465_3.135,0.741127259
X216.196_2.567,0.971565194
X313.077_2.525,0.801527822
X354.337_3.278,0.280790983
X216.16_2.471,0.68557416
X137.046_0.42,0.864701242
X111.092_5.384,0.585295585
X652.382_2.947,1
X520.341_2.89,0.585295585
X425.136_2.773,0.027823996
X795.335_2.768,0.135233821
X280.263_3.169,0.522787637
X256.264_3.225,0.51842694
X198.186_3.331,0.585295585
X113.964_6.627,0.445426582
X111.092_5.093,0.585295585
X256.227_2.847,0.899395039
X295.227_3.017,0.230176712
