"","fch","pval","pAdj"
"X137.046_0.35",1.96489293004439,5.61896554302828e-05,0.0341633105016119
"X269.088_0.35",1.6282312001269,0.040839912860907,0.457708147823621
"X169.036_0.375",0,0.0384143238141604,0.445426582021938
"X338.342_3.533",1.33006825078226,0.287646479773477,0.585295585285686
"X387.181_2.767",0.817746817823222,0.280306372635461,0.585295585285686
"X311.081_2.525",1.13533535881269,0.345310897182987,0.585295585285686
"X228.196_2.71",0.939646373849746,0.870194456435353,0.997319942530998
"X404.207_2.768",0.800767707518869,0.0889824320957408,0.54510144800212
"X496.341_2.926",2.19358871828455,0.163829361364858,0.577746170877029
"X310.31_3.391",1.66057317915116,0.0899272921603681,0.546757936335038
"X228.196_3.321",2.65176077260911,0.0237655085017669,0.424983210855125
"X285.022_2.394",1.73099514024756,0.260397188646331,0.585295585285686
"X336.326_3.156",1.41547660759445,0.0562826544432907,0.51842693996529
"X524.372_3.04",1.12548085413965,0.50686766850184,0.750067528686731
"X596.357_2.948",3.12019916876441,0.000483790853109552,0.0905061042124946
"X409.162_2.768",0.477016537179538,0.000264302833103572,0.0905061042124946
"X244.191_2.61",0.677079315731908,0.33954811047501,0.585295585285686
"X624.388_3.054",2.00447844964291,0.0456081699108504,0.486487145715737
"X226.181_2.61",0.572554003533976,0.0738505641555983,0.51842693996529
"X238.1_2.259",0.569462326205405,0.040839912860907,0.457708147823621
"X226.181_3.32",1.64735587099829,0.110123931882642,0.577746170877029
"X244.191_3.324",1.33544882435762,0.320645293048372,0.585295585285686
"X638.403_3.073",1.93121576769709,0.0518949177907331,0.507425201623141
"X287.018_2.395",1.14798748175918,0.324548174828994,0.585295585285686
"X489.228_2.768",0.342181797447946,2.65476137060469e-05,0.0278239964984828
"X110.021_5.865",2.26021926362382,0.137341372074055,0.577746170877029
"X312.326_3.521",0.659808473367816,0.163132914181922,0.577746170877029
"X610.372_2.951",1.35724497027119,0.198306081479738,0.585295585285686
"X110.021_6.211",2.85127424362378,0.140157082304246,0.577746170877029
"X580.361_2.989",1.24521471978198,0.0555296397209032,0.51842693996529
"X183.15_2.549",0.596309327761433,0.0613895346363532,0.51842693996529
"X637.306_3.32",1.46439912313192,0.0813590364743453,0.52278763683119
"X146.981_3.86",1.67520504876434,0.173506599935187,0.585295585285686
"X105.07_2.767",0.575091969509806,0.000478140702610511,0.0905061042124946
"X352.321_3.187",2.42931768951975,0.0136306240620927,0.374038416503814
"X432.238_2.769",0.753996299818532,0.0975257598239064,0.56606837205666
"X200.165_3.207",1.60640990762603,0.341162016432201,0.585295585285686
"X267.123_2.767",1.19207805451172,0.449184605285001,0.703876907250724
"X200.165_2.552",1.20861813707603,0.389233298727313,0.628034350968529
"X126.022_0.338",1.09624101786006,0.366875192434742,0.600835331987403
"X608.393_3.098",1.38043528350206,0.0112560077030628,0.36499480978465
"X666.434_3.024",0.723020136292049,0.0453338990979227,0.486487145715737
"X123.056_0.323",1.01761666134321,0.526136631523398,0.752684875214649
"X240.097_2.259",0.569132473307318,0.0294964746728803,0.445426582021938
"X522.357_2.957",2.03782234707212,0.057204701603583,0.51842693996529
"X482.325_3.027",1.84976655329623,0.110123931882642,0.577746170877029
"X308.295_3.045",1.08610403922258,0.486364763954452,0.741127259359165
"X258.206_2.778",1.02764661827435,1,1
"X650.44_3.113",1.7846627148024,0.0909440701895479,0.551561044142096
"X333.063_2.524",1.20959643539785,0.486364763954452,0.741127259359165
"X594.377_3",1.02314585965849,1,1
"X282.279_3.26",2.25885348235418,0.00325033374982728,0.230176712164684
"X285.133_2.768",0.581277318672668,0.000478140702610511,0.0905061042124946
"X790.38_2.768",0.523224372306,0.00140811946967693,0.160706789386387
"X582.341_3.046",2.1428670933873,0.0179516408272991,0.374038416503814
"X622.409_3.109",2.35172773937206,0.0183971398711822,0.375981883753909
"X100.076_2.546",0.619139370584457,1,1
"X366.373_3.699",1.08492251424615,0.393309892107477,0.633044114894365
"X401.342_3.422",2.0608071085065,0.0600245855821289,0.51842693996529
"X340.357_3.733",0.192544182431606,0.0440143893632685,0.480013430185959
"X636.388_2.978",1.22279973596267,0.267097024243296,0.585295585285686
"X214.181_2.634",3.66762315988415,0.00655416124529485,0.304280508493394
"X198.15_2.471",1.38719117758975,0.474774628915945,0.726653176540955
"X132.102_0.307",1.27384913358366,0.00656805240310701,0.304280508493394
"X113.964_6.456",6.78812606420243,0.038974534342904,0.449223068824372
"X678.478_3.062",0,0.164394222391658,0.577746170877029
"X110.021_5.953",2.06323367710245,0.181971121616749,0.585295585285686
"X369.352_3.849",0.87463333293475,0.936298600136668,1
"X369.17_2.767",0.536217548064984,0.00793338809846528,0.304280508493394
"X568.341_2.887",0.987982250495223,0.934887200362667,1
"X221.111_2.312",0.619787534620382,0.126147401015694,0.577746170877029
"X321.315_3.533",1.18670352453063,0.55408262719044,0.782082965366889
"X634.453_3.069",0.118770022010591,0.261466305877338,0.585295585285686
"X208.17_3.328",1.43089177105708,0.300485105438289,0.585295585285686
"X694.465_3.135",1.81661072073282,0.485611355149373,0.741127259359165
"X216.196_2.567",0.899019464405292,0.838134776780856,0.971565194056741
"X313.077_2.525",1.08992235005489,0.594883930583728,0.801527822260181
"X354.337_3.278",2.36523871066935,0.00484918637572713,0.280790982518295
"X216.16_2.471",1.32479698892818,0.436095076213988,0.685574159891674
"X137.046_0.42",1.08725113016784,0.70091561702603,0.864701241710159
