filename,RVB_142DPI
X137.046_0.35,5.64E-05
X269.088_0.35,0.000144819
X338.342_3.533,0.557167405
X387.181_2.767,0.000129038
X311.081_2.525,0.011959308
X228.196_2.71,0.018473635
X404.207_2.768,9.95E-05
X496.341_2.926,0.557167405
X310.31_3.391,0.949915525
X228.196_3.321,1
X285.022_2.394,0.398834387
X336.326_3.156,0.003582287
X524.372_3.04,0.398834387
X596.357_2.948,0.874692038
X409.162_2.768,0.002541945
X244.191_2.61,0.027577059
X624.388_3.054,0.122329442
X226.181_2.61,0.029384313
X238.1_2.259,0.809690199
X226.181_3.32,1
X244.191_3.324,1
X638.403_3.073,0.562261103
X287.018_2.395,0.398834387
X489.228_2.768,1.49E-05
X110.021_5.865,0.978064422
X610.372_2.951,0.857622929
X110.021_6.211,0.557167405
X183.15_2.549,1
X637.306_3.32,5.64E-05
X146.981_3.86,1
X105.07_2.767,0.000129038
X352.321_3.187,0.04810007
X432.238_2.769,0.385362319
X200.165_3.207,0.003582287
X267.123_2.767,0.000144819
X200.165_2.552,0.322374394
X126.022_0.338,0.557167405
X608.393_3.098,0.090522541
X240.097_2.259,0.557167405
X522.357_2.957,0.004271591
X482.325_3.027,0.557167405
X308.295_3.045,0.000129038
X258.206_2.778,1
X650.44_3.113,0.687855543
X333.063_2.524,0.015947238
X594.377_3,0.687855543
X282.279_3.26,0.73436308
X285.133_2.768,0.000129038
X790.38_2.768,1.49E-05
X582.341_3.046,0.229318289
X622.409_3.109,0.432288503
X100.076_2.546,0.868355085
X401.342_3.422,0.801194456
X636.388_2.978,0.812596301
X214.181_2.634,0.000639751
X198.15_2.471,0.275320844
X132.102_0.307,0.007321696
X113.964_6.456,0.285859504
X110.021_5.953,0.557167405
X369.17_2.767,7.43E-05
X568.341_2.887,8.35E-05
X221.111_2.312,0.925950236
X321.315_3.533,1
X208.17_3.328,0.994057791
X216.196_2.567,1
X313.077_2.525,0.112631641
X354.337_3.278,1
X216.16_2.471,0.557167405
X137.046_0.42,0.088599382
X111.092_5.384,0.830355261
X520.341_2.89,0.001098316
X425.136_2.773,1
X795.335_2.768,0.000639751
X256.264_3.225,0.73436308
X198.186_3.331,0.562261103
X113.964_6.627,1
X111.092_5.093,0.729937231
X256.227_2.847,0.018473635
X295.227_3.017,0.001864421
X111.092_4.634,0.557167405
X454.294_2.917,0.213130401
X122.072_5.438,1
X554.31_2.942,0.557167405
X544.34_2.89,0.000144819
X103.956_5.525,0.557167405
X646.408_3.051,0.557167405
X232.191_2.63,0.252285716
X308.295_3.285,0.001268468
X680.414_3.051,0.557167405
X230.248_2.715,0.557167405
X224.084_2.236,0.902786912
X281.102_2.768,0.000873796
X526.294_2.877,0.030895806
X301.285_2.662,0.557167405
X216.16_3.213,0.152055332
X375.199_2.868,0.557167405
X283.118_2.713,0.557167405
X664.419_3.086,0.864311846
X343.296_2.691,0.557167405
X608.393_3.002,0.557167405
X324.29_3.082,0.006108584
X128.118_5.106,0.427178722
X175.148_2.71,0.021628715
X278.248_3.1,0.000639751
X266.173_2.61,0.557167405
X250.178_2.71,0.006108584
X198.149_3.205,0.01392568
X566.346_3.087,0.687855543
X607.227_2.771,0.557167405
X272.222_2.957,0.172370102
X734.57_3.377,0.440931478
X191.143_3.329,1
X622.408_3.044,0.557167405
X113.964_6.749,0.557167405
X324.326_3.469,0.557167405
X319.3_3.156,0.273029318
X199.989_2.374,0.874761832
X678.471_3.228,0.864311846
X622.372_2.977,1
X334.311_3.335,0.925950236
X480.309_2.951,0.001268468
X502.294_2.879,0.006108584
X674.439_3.163,0.557167405
X184.074_0.312,0.489813907
X175.148_3.322,0.925564479
X387.192_2.843,0.318896708
X474.249_2.887,0.18557241
X786.601_3.393,1
X128.118_4.636,0.557167405
X660.424_3.08,0.262278605
