filename,RVT_142DPI
X137.046_0.35,1.86E-05
X269.088_0.35,0.002248739
X338.342_3.533,0.420475453
X387.181_2.767,0.166778165
X311.081_2.525,0.102844671
X228.196_2.71,0.000278499
X404.207_2.768,0.420475453
X496.341_2.926,0.75730033
X310.31_3.391,0.420475453
X228.196_3.321,0.479518482
X285.022_2.394,0.165981678
X336.326_3.156,0.016012154
X524.372_3.04,0.655982531
X596.357_2.948,0.464141993
X409.162_2.768,0.37232957
X244.191_2.61,0.401413572
X624.388_3.054,0.420475453
X226.181_2.61,0.37232957
X238.1_2.259,0.496522817
X226.181_3.32,0.66832177
X244.191_3.324,0.572182856
X638.403_3.073,0.966700623
X287.018_2.395,0.166778165
X489.228_2.768,0.001492752
X110.021_5.865,0.479518482
X312.326_3.521,0.479518482
X610.372_2.951,0.420475453
X110.021_6.211,0.821614287
X183.15_2.549,1
X637.306_3.32,0.05965127
X146.981_3.86,0.479518482
X105.07_2.767,0.200169858
X352.321_3.187,0.004101726
X432.238_2.769,0.479518482
X200.165_3.207,0.024481865
X267.123_2.767,0.324305909
X200.165_2.552,0.02609548
X126.022_0.338,0.420475453
X608.393_3.098,0.18353245
X666.434_3.024,0.099698552
X240.097_2.259,0.479518482
X522.357_2.957,0.572182856
X482.325_3.027,0.521160378
X308.295_3.045,0.006316114
X650.44_3.113,0.37232957
X333.063_2.524,0.05965127
X594.377_3,0.696972905
X282.279_3.26,0.479518482
X285.133_2.768,0.165981678
X790.38_2.768,0.023097882
X417.337_3.233,1
X582.341_3.046,0.496522817
X622.409_3.109,0.974172171
X100.076_2.546,0.764195114
X401.342_3.422,0.420475453
X636.388_2.978,0.893857306
X214.181_2.634,0.004101726
X198.15_2.471,0.001303944
X132.102_0.307,0.298085912
X113.964_6.456,0.737751905
X678.478_3.062,0.401413572
X110.021_5.953,0.797918223
X369.352_3.849,0.493421393
X369.17_2.767,0.038197954
X568.341_2.887,0.126630087
X221.111_2.312,0.919203411
X321.315_3.533,0.263412506
X634.453_3.069,0.420475453
X208.17_3.328,0.479518482
X694.465_3.135,0.401413572
X216.196_2.567,0.37232957
X313.077_2.525,0.099698552
X354.337_3.278,0.479518482
X216.16_2.471,0.015235688
X137.046_0.42,0.420475453
X111.092_5.384,0.656708498
X520.341_2.89,0.479518482
X425.136_2.773,1
X795.335_2.768,0.126630087
X256.264_3.225,0.401413572
X198.186_3.331,0.401413572
X113.964_6.627,1
X111.092_5.093,0.479518482
X256.227_2.847,0.000278499
X295.227_3.017,0.200169858
X111.092_4.634,0.724532416
X454.294_2.917,0.737751905
X122.072_5.438,0.957968681
X722.505_3.058,0.479518482
X432.238_2.839,1
X590.427_3.075,0.420475453
X554.31_2.942,0.708461307
X544.34_2.89,0.420475453
X766.53_3.05,0.420475453
X103.956_5.525,0.479518482
X646.408_3.051,0.479518482
X232.191_2.63,0.165981678
X308.295_3.285,0.00183693
X680.414_3.051,0.508227028
X230.248_2.715,0.488046326
X224.084_2.236,0.893857306
X281.102_2.768,0.479518482
X526.294_2.877,0.479518482
X216.16_3.213,0.420475453
X375.199_2.868,0.837318979
X283.118_2.713,0.430113684
X664.419_3.086,0.972284033
X608.393_3.002,0.416341018
X550.351_3.01,0.401413572
X324.29_3.082,0.021255248
X175.148_2.71,0.00045256
X278.248_3.1,0.000890588
X266.173_2.61,0.401413572
X250.178_2.71,0.00759879
X198.149_3.205,0.065108495
X566.346_3.087,0.808401401
X607.227_2.771,0.401413572
X385.346_3.54,0.259483187
X546.401_3.081,0.420475453
X272.222_2.957,0.034672988
X272.222_2.809,0.824362325
X340.285_3.14,0.698077024
X734.57_3.377,0.420475453
X622.408_3.044,0.932189641
X113.964_6.749,0.479518482
X324.326_3.469,1
X568.361_2.947,0.479518482
X319.3_3.156,0.023097882
X199.989_2.374,0.479518482
X678.471_3.228,0.212447593
X622.372_2.977,0.420475453
X334.311_3.335,0.022348561
X480.309_2.951,0.714456097
X502.294_2.879,0.324305909
X786.601_3.279,0.165981678
X674.439_3.163,0.777516611
X184.074_0.312,0.401413572
X175.148_3.322,0.479518482
X810.557_3.053,0.479518482
X387.192_2.843,0.263412506
X474.249_2.887,0.65052535
X786.601_3.393,0.420475453
X678.398_3.039,1
X660.424_3.08,0.479518482
X242.212_3.159,0.783413151
X694.429_3.054,0.401413572
X654.332_3.32,0.038197954
X416.337_2.79,0.008880037
X414.14_2.772,0.401413572
X400.342_2.89,0.010091811
X212.165_2.546,0.479518482
X636.424_3.106,0.750964625
X801.313_2.768,0.009725252
X103.956_5.454,0.479518482
X991.673_2.928,0.479518482
X800.313_2.771,0.420475453
