filename,LA_50DPI
X137.046_0.35,0.025770797
X269.088_0.35,0.017147341
X169.036_0.375,0.172271396
X338.342_3.533,0.943478635
X387.181_2.767,0.006427199
X311.081_2.525,0.060803258
X228.196_2.71,0.25446682
X404.207_2.768,0.008412717
X496.341_2.926,0.519982787
X310.31_3.391,0.376686062
X228.196_3.321,0.844115447
X285.022_2.394,0.011475436
X336.326_3.156,0.060803258
X524.372_3.04,0.360358048
X596.357_2.948,0.092353264
X409.162_2.768,0.011181917
X244.191_2.61,0.733538135
X624.388_3.054,0.003193531
X226.181_2.61,1
X238.1_2.259,0.606262894
X226.181_3.32,0.816012733
X244.191_3.324,0.790086709
X638.403_3.073,0.007840049
X287.018_2.395,0.01415336
X489.228_2.768,0.005805038
X110.021_5.865,0.888086217
X312.326_3.521,0.228617853
X610.372_2.951,0.195606318
X110.021_6.211,0.030923534
X580.361_2.989,0.631644954
X183.15_2.549,0.265289081
X637.306_3.32,0.027931862
X146.981_3.86,0.49290002
X105.07_2.767,0.008412717
X352.321_3.187,0.841305494
X432.238_2.769,0.030923534
X200.165_3.207,0.209573095
X267.123_2.767,0.007840049
X200.165_2.552,0.039845001
X126.022_0.338,0.528258898
X608.393_3.098,0.052001745
X666.434_3.024,0.631644954
X123.056_0.323,0.611937192
X240.097_2.259,0.503678613
X522.357_2.957,0.49290002
X482.325_3.027,0.948267458
X308.295_3.045,0.041726227
X258.206_2.778,0.079300635
X650.44_3.113,0.360358048
X333.063_2.524,0.008412717
X594.377_3,0.49290002
X282.279_3.26,0.675459052
X285.133_2.768,0.005307045
X790.38_2.768,0.006890719
X417.337_3.233,1
X582.341_3.046,0.006890719
X622.409_3.109,0.074144972
X100.076_2.546,0.529773741
X366.373_3.699,0.703549657
X401.342_3.422,0.191007518
X340.357_3.733,0.174206905
X636.388_2.978,0.376686062
X214.181_2.634,0.697244551
X198.15_2.471,0.49290002
X132.102_0.307,0.528258898
X113.964_6.456,0.311718689
X678.478_3.062,1
X110.021_5.953,0.468166056
X369.352_3.849,0.722883179
X369.17_2.767,0.003193531
X568.341_2.887,0.376686062
X221.111_2.312,1
X321.315_3.533,0.919853435
X634.453_3.069,0.660416327
X208.17_3.328,0.701887282
X694.465_3.135,0.048668373
X216.196_2.567,0.555640952
X313.077_2.525,0.060803258
X354.337_3.278,0.258659701
X216.16_2.471,0.360358048
X137.046_0.42,0.071349953
X111.092_5.384,0.49290002
X652.382_2.947,0.1076749
X520.341_2.89,0.581208359
X425.136_2.773,0.073904126
X795.335_2.768,0.014642936
X280.263_3.169,0.066126144
X256.264_3.225,0.528258898
X198.186_3.331,0.816012733
X113.964_6.627,0.733846598
X111.092_5.093,0.107790125
X256.227_2.847,0.120709938
X295.227_3.017,0.258659701
X111.092_4.634,0.258659701
X454.294_2.917,0.975219156
X122.072_5.438,0.195606318
X432.238_2.839,0.360358048
X590.427_3.075,1
X554.31_2.942,0.014642936
X544.34_2.89,0.49290002
X103.956_5.525,0.909567976
X646.408_3.051,0.153229023
X232.191_2.63,0.859410876
X308.295_3.285,1
X524.335_2.977,0.107697029
X680.414_3.051,0.015292883
X666.433_3.092,0.007745839
X230.248_2.715,0.49290002
X678.469_3.244,0.361908068
X224.084_2.236,0.099505894
X281.102_2.768,0.003193531
X526.294_2.877,0.844115447
X301.285_2.662,0.360358048
X216.16_3.213,0.49290002
X375.199_2.868,0.397974504
X283.118_2.713,1
X664.419_3.086,0.046741312
X343.296_2.691,0.781534188
X608.393_3.002,0.197532474
X550.351_3.01,0.009892143
X324.29_3.082,0.701887282
X128.118_5.106,0.49290002
X694.465_3.092,0.524894562
X175.148_2.71,0.49290002
X278.248_3.1,0.092353264
X266.173_2.61,0.927931552
X250.178_2.71,0.581208359
X198.149_3.205,0.209573095
X566.346_3.087,0.360358048
X607.227_2.771,0.040294691
X385.346_3.54,0.228617853
X546.401_3.081,0.49290002
X334.31_3.1,0.360358048
X650.366_2.938,0.036214543
X272.222_2.957,0.360358048
X272.222_2.809,0.92780572
X340.285_3.14,0.099172081
X734.57_3.377,0.49290002
X191.143_3.329,0.741582927
X570.341_2.875,1
X622.408_3.044,0.274997074
X198.185_2.612,1
X113.964_6.749,0.624482997
X173.132_3.332,0.558620396
X296.258_2.976,0.896130637
X324.326_3.469,0.660416327
X568.361_2.947,0.030923534
X319.3_3.156,0.172271396
X199.989_2.374,0.660416327
X678.471_3.228,0.288483497
X622.372_2.977,0.030923534
X334.311_3.335,0.528258898
X480.309_2.951,0.606262894
X502.294_2.879,0.313459148
X786.601_3.279,0.805866744
X650.402_3.006,0.603178099
X674.439_3.163,0.011475436
X184.074_0.312,1
X113.964_1.584,0.61670403
X175.148_3.322,0.675459052
X385.346_3.401,0.151392916
X113.964_1.491,0.55635048
X636.423_3.105,0.351165486
X810.557_3.053,0.256216659
X209.177_3.331,0.585741219
X387.192_2.843,0.49290002
X113.964_1.63,0.814398188
X474.249_2.887,0.036214543
X786.601_3.393,0.847500019
X128.118_4.636,0.710313661
X113.964_1.401,0.838885649
X678.398_3.039,0.066126144
X678.432_3.079,0.147953449
X660.424_3.08,0.099505894
X242.212_3.159,0.847500019
X694.429_3.054,0.01295671
X654.332_3.32,0.027931862
X416.337_2.79,0.209037787
X666.397_2.955,0.1469013
X414.14_2.772,0.024900788
X400.342_2.89,0.92036133
X212.165_2.546,0.624482997
X636.424_3.106,0.102265429
X801.313_2.768,0.031106329
X991.673_2.928,0.948267458
X800.313_2.771,0.253897988
X668.413_2.991,0.091927249
X313.016_2.379,0.49290002
X538.315_2.977,0.0463198
X429.191_2.885,0.007723382
X606.378_3.022,0.099172081
X680.45_3.157,0.704014135
X692.414_2.985,0.256216659
X256.227_3.448,0.358671088
X1022.625_3.326,0.78567036
X254.212_2.739,0.49290002
X230.175_2.591,0.836617234
X180.175_2.611,0.760864545
X446.218_2.884,0.107790125
X620.393_3.029,0.976570623
X692.412_3.038,0.151392916
X313.144_3.062,0.120709938
X152.995_6.215,0.129670433
X397.379_3.191,0.256216659
X326.306_3.148,0.611937192
X790.558_3.336,0.496722308
X205.017_5.778,0.62742538
X172.133_3.109,0.256216659
X158.962_2.362,0.660416327
X460.269_2.772,0.017147341
X652.383_2.943,0.805866744
X374.303_3.189,0.586541922
X172.134_2.343,0.135804614
X670.393_2.893,0.228617853
X510.356_2.983,0.896130637
X109.023_5.881,0.527132828
X242.212_2.78,0.49290002
X654.398_2.907,0.172271396
X149.082_4.832,0.124566757
X153.041_0.336,0.49290002
X254.212_2.792,0.704014135
X402.358_2.884,0.49290002
X221.06_2.396,0.008412717
X650.403_3.074,0.006427199
X476.24_2.164,0.062972951
X688.455_3.179,0.120484648
X123.079_4.851,0.274997074
X664.382_2.957,0.315591452
X787.668_3.596,0.91884181
X680.413_3.014,0.239145204
X156.011_2.395,0.49290002
X622.372_3.037,0.07075739
X705.225_2.339,0.273247278
X166.087_0.522,0.121749552
X371.327_2.803,0.49290002
X652.418_3.02,0.120709938
X676.419_3.043,0.360358048
X682.363_3.329,0.019470252
X141.959_6.151,0.694563071
X153.041_0.412,0.009332344
X370.332_3.032,0.49290002
X277.216_3.018,0.331284132
X306.279_2.989,0.079300635
X240.196_2.728,0.359779482
X518.322_2.93,0.446131229
X475.989_2.164,0.0682258
