filename,LVB_50DPI
X137.046_0.35,0.002628971
X269.088_0.35,0.000990604
X169.036_0.375,0.466014139
X338.342_3.533,0.466014139
X387.181_2.767,0.002053251
X311.081_2.525,0.273566244
X228.196_2.71,0.466014139
X404.207_2.768,0.002229629
X496.341_2.926,0.360456852
X310.31_3.391,0.968247125
X228.196_3.321,0.88007391
X285.022_2.394,0.252380996
X336.326_3.156,0.252380996
X524.372_3.04,0.159186163
X596.357_2.948,0.038513674
X409.162_2.768,0.002628971
X244.191_2.61,0.742938774
X624.388_3.054,0.002229629
X226.181_2.61,0.822536593
X238.1_2.259,0.374883974
X226.181_3.32,1
X244.191_3.324,0.990995911
X638.403_3.073,0.006012127
X287.018_2.395,0.231128333
X489.228_2.768,0.002628971
X110.021_5.865,0.635097282
X312.326_3.521,0.385074086
X610.372_2.951,0.018257307
X110.021_6.211,0.648285993
X580.361_2.989,0.007850952
X183.15_2.549,0.162452232
X637.306_3.32,0.968247125
X146.981_3.86,0.588135917
X105.07_2.767,0.002153384
X352.321_3.187,0.466014139
X432.238_2.769,0.012937963
X200.165_3.207,0.910675928
X267.123_2.767,0.002628971
X200.165_2.552,0.255068732
X126.022_0.338,0.60998049
X608.393_3.098,0.009697395
X666.434_3.024,0.091897548
X123.056_0.323,0.466014139
X240.097_2.259,0.360456852
X522.357_2.957,0.252380996
X482.325_3.027,0.466014139
X308.295_3.045,0.355014829
X258.206_2.778,0.466014139
X650.44_3.113,0.466014139
X333.063_2.524,0.200367414
X594.377_3,0.466014139
X282.279_3.26,0.650255913
X285.133_2.768,0.002053251
X790.38_2.768,0.002153384
X582.341_3.046,0.009697395
X622.409_3.109,0.466014139
X100.076_2.546,0.167234601
X366.373_3.699,0.82006297
X401.342_3.422,0.176411634
X340.357_3.733,0.466014139
X636.388_2.978,0.02236111
X214.181_2.634,0.252380996
X198.15_2.471,0.481829419
X132.102_0.307,0.009809849
X113.964_6.456,0.511642858
X110.021_5.953,0.629916041
X369.352_3.849,0.168966043
X369.17_2.767,0.002052751
X568.341_2.887,0.421633499
X221.111_2.312,0.675749293
X321.315_3.533,0.466014139
X634.453_3.069,0.466014139
X208.17_3.328,0.882110554
X694.465_3.135,0.475960061
X216.196_2.567,0.138304729
X313.077_2.525,0.159186163
X354.337_3.278,0.221820036
X216.16_2.471,0.635097282
X137.046_0.42,0.002153384
X111.092_5.384,0.360456852
X520.341_2.89,0.118693587
X425.136_2.773,0.449650175
X795.335_2.768,0.002053251
X256.264_3.225,0.466014139
X198.186_3.331,0.990995911
X113.964_6.627,0.530042466
X111.092_5.093,0.975989948
X256.227_2.847,0.466014139
X295.227_3.017,0.024202644
X454.294_2.917,0.360456852
X122.072_5.438,0.908028358
X590.427_3.075,0.466014139
X554.31_2.942,0.006012127
X544.34_2.89,0.355014829
X103.956_5.525,0.466014139
X646.408_3.051,0.02523441
X232.191_2.63,0.370546844
X308.295_3.285,0.742938774
X680.414_3.051,0.021658869
X666.433_3.092,0.466014139
X230.248_2.715,0.690881616
X678.469_3.244,0.678647891
X224.084_2.236,0.035484612
X281.102_2.768,0.317022859
X526.294_2.877,0.247647063
X301.285_2.662,0.466014139
X216.16_3.213,0.723719526
X375.199_2.868,0.360456852
X283.118_2.713,0.556194965
X664.419_3.086,0.026960988
X343.296_2.691,0.794266012
X608.393_3.002,0.045885407
X550.351_3.01,0.360456852
X324.29_3.082,0.146524912
X128.118_5.106,0.466014139
X175.148_2.71,0.481829419
X278.248_3.1,0.273566244
X266.173_2.61,0.505992551
X250.178_2.71,0.334902361
X198.149_3.205,0.723719526
X566.346_3.087,0.056445578
X607.227_2.771,0.635097282
X385.346_3.54,0.13935798
X334.31_3.1,0.466014139
X650.366_2.938,0.723719526
X272.222_2.957,0.231128333
X272.222_2.809,0.475960061
X340.285_3.14,0.075077088
X734.57_3.377,0.360456852
X191.143_3.329,1
X622.408_3.044,0.159186163
X198.185_2.612,0.466014139
X113.964_6.749,0.965949172
X173.132_3.332,0.975989948
X296.258_2.976,0.138372999
X324.326_3.469,0.276692677
X568.361_2.947,0.039508653
X319.3_3.156,0.255068732
X199.989_2.374,0.466014139
X678.471_3.228,0.88007391
X622.372_2.977,0.009809849
X334.311_3.335,0.990995911
X480.309_2.951,0.231128333
X502.294_2.879,0.15178902
X786.601_3.279,0.466014139
X674.439_3.163,0.021610945
X184.074_0.312,0.822536593
X113.964_1.584,0.466014139
X175.148_3.322,1
X385.346_3.401,0.715799974
X113.964_1.491,0.466014139
X209.177_3.331,0.360456852
X387.192_2.843,0.106541212
X113.964_1.63,1
X474.249_2.887,0.466014139
X786.601_3.393,0.862382692
X128.118_4.636,0.466014139
X113.964_1.401,0.466014139
X678.398_3.039,0.009809849
X660.424_3.08,0.077862479
X242.212_3.159,0.466014139
X694.429_3.054,0.02236111
X654.332_3.32,1
X416.337_2.79,0.358710178
X666.397_2.955,0.466014139
X414.14_2.772,0.466014139
X400.342_2.89,0.466014139
X212.165_2.546,0.887529897
X636.424_3.106,0.014511567
X801.313_2.768,0.167234601
X103.956_5.454,0.466014139
X991.673_2.928,0.549807474
X800.313_2.771,0.466014139
X668.413_2.991,0.466014139
X313.016_2.379,0.466014139
X538.315_2.977,0.02236111
X429.191_2.885,0.01938452
X606.378_3.022,0.02523441
X680.45_3.157,0.645543544
X692.414_2.985,0.04000781
X256.227_3.448,0.875867524
X1022.625_3.326,0.885567437
X254.212_2.739,0.466014139
X230.175_2.591,0.635097282
X180.175_2.611,0.466014139
X446.218_2.884,0.082421187
X620.393_3.029,0.421633499
X313.144_3.062,0.374883974
X152.995_6.215,0.757804673
X397.379_3.191,0.723719526
X326.306_3.148,0.466014139
X790.558_3.336,0.466014139
X205.017_5.778,0.742938774
X172.133_3.109,0.360456852
X158.962_2.362,0.360456852
X652.383_2.943,0.014999865
X374.303_3.189,0.346399082
X172.134_2.343,0.360456852
X670.393_2.893,0.043278566
X510.356_2.983,0.14098373
X109.023_5.881,0.750204187
X242.212_2.78,0.675749293
X654.398_2.907,0.03014953
X149.082_4.832,0.684581242
X153.041_0.336,0.975989948
X254.212_2.792,0.360456852
X402.358_2.884,0.466014139
X221.06_2.396,0.065058768
X650.403_3.074,0.009437933
X476.24_2.164,0.002229629
X688.455_3.179,0.124634782
X329.316_2.758,0.466014139
X123.079_4.851,0.523838872
X787.668_3.596,1
X680.413_3.014,1
X622.372_3.037,0.091897548
X705.225_2.339,0.01923829
X166.087_0.522,0.572442654
X371.327_2.803,0.466014139
X652.418_3.02,0.626419991
X676.419_3.043,0.23572724
X682.363_3.329,0.001521668
X141.959_6.151,0.466014139
X153.041_0.412,0.635097282
X370.332_3.032,0.840103641
X277.216_3.018,0.036082437
X306.279_2.989,0.908028358
X240.196_2.728,0.723719526
X518.322_2.93,0.73735332
X475.989_2.164,0.002229629
X705.141_2.339,0.024202644
X596.393_3.06,0.023801146
X652.418_3.078,0.043278566
X554.288_2.924,0.990995911
X103.956_5.227,0.466014139
X367.336_3.39,0.075077088
X662.402_3.017,0.678647891
X676.454_3.145,0.167234601
X440.359_2.985,0.133271817
X226.081_2.237,0.036082437
X718.429_3.009,0.063535763
X120.102_0.391,1
X103.956_4.386,0.360456852
X142.035_0.315,0.062724087
X482.361_2.958,0.672162367
X426.358_2.916,1
X119.049_2.77,0.723719526
X245.139_2.376,0.466014139
X149.082_4.735,0.905873259
X566.382_3.018,0.252380996
X285.217_3.322,0.466014139
X638.439_3.025,0.466014139
X368.316_2.962,0.360456852
X268.227_2.861,0.211430401
X682.429_3.009,0.01300004
X158.962_2.581,0.360456852
X142.948_0.306,1
X254.212_3.447,0.82006297
X289.014_2.395,0.138372999
X696.445_3.083,0.012542244
X638.366_2.95,0.015535189
X776.253_2.398,0.114850841
X732.444_2.968,0.221820036
X296.146_2.932,0.466014139
X720.445_3.09,0.009809849
X272.222_3.45,0.466014139
X293.211_2.931,0.017373366
X141.959_1.787,0.475960061
X141.959_1.904,0.779915984
X398.033_0.301,0.635097282
X230.176_2.586,0.934481487
X238.142_2.469,1
X534.286_3.175,0.320917259
X158.962_2.089,0.466014139
X141.959_1.562,0.649366409
X192.125_4.994,0.360456852
X396.332_2.991,0.360456852
X594.341_2.975,0.016228452
X428.374_2.971,0.938150186
X652.419_3.146,0.039508653
X368.316_3.329,0.019554556
X141.959_1.379,0.757804673
X145.979_5.543,0.466014139
X303.232_3.023,0.078136064
X141.959_1.2,0.531855414
X720.444_3.034,0.039508653
X666.397_3.021,0.635097282
X478.294_2.879,0.014448114
X141.959_1.295,0.360456852
X303.305_3.549,0.466014139
X114.092_2.075,0.761938079
X254.212_3.319,1
X692.449_3.051,1
X141.959_1.101,0.466014139
X694.428_3.006,0.635097282
X632.393_3.152,0.111393882
X810.601_3.479,0.466014139
X186.15_2.46,0.812801742
X484.385_2.982,0.360456852
X708.409_2.912,0.036476925
X114.092_0.357,0.991671098
X150.059_0.3,0.046117943
X776.2_2.398,0.139921757
X245.175_3.33,0.951725251
X352.357_3.617,0.466014139
X819.378_2.399,0.099832425
X494.324_2.861,0.0783819
X141.959_5.867,0.360456852
X120.066_0.596,0.850419063
X108.045_2.395,0.255068732
X138.995_6.301,0.466014139
X307.083_0.407,0.075077088
X141.959_6.954,0.812801742
X114.092_2.178,0.953767816
X245.175_2.611,0.466014139
X114.092_6.756,0.602892493
X125.016_2.257,0.018257307
X114.092_0.768,0.965949172
X620.356_2.913,0.009809849
X141.959_6.859,0.360456852
X212.165_2.546.1,0.96767302
X718.428_2.956,0.466014139
X867.458_2.398,0.252380996
X638.367_3.032,0.014999865
X141.959_1.053,0.466014139
X412.211_2.304,0.252380996
X564.331_3.008,0.02236111
X708.445_3.006,0.043657967
X626.366_2.922,0.360456852
X114.092_1.405,0.367342618
X694.428_2.938,0.104923407
X666.399_2.952,0.046939338
X439.121_2.673,0.291728726
X141.959_6.766,0.466014139
X114.092_1.255,0.546920233
X349.037_2.524,0.533456523
X444.369_2.876,0.880797443
X141.959_6.49,0.785205179
X141.959_0.99,0.466014139
X241.567_2.774,0.466014139
X107.061_4.811,0.975989948
X114.092_1.976,0.80316695
X114.092_1.058,1
X432.281_2.268,0.360456852
X716.45_3.129,0.111393882
X114.092_1.761,0.510266785
X818.59_3.473,0.466014139
X149.082_4.686,0.39848545
X388.306_2.704,0.742938774
X696.408_3.026,0.360456852
X441.136_2.721,0.466014139
X648.422_3.047,1
X690.434_3.14,0.014999865
X819.267_2.398,0.308403476
X267.207_3.326,0.62527458
X648.423_3.138,0.466014139
X192.125_4.795,0.466014139
X262.08_2.775,0.466014139
X708.408_2.952,1
X141.959_0.935,0.360456852
X430.223_2.769,0.024376771
X158.922_0.304,0.466014139
X283.019_0.327,0.182474553
X704.45_3.153,0.075077088
X856.569_3.369,0.466014139
X141.959_0.889,0.635097282
X170.154_3.216,1
X674.439_3.065,0.496218719
X703.575_5.592,0.67863832
X618.339_2.931,0.360456852
X788.544_3.358,0.167234601
X437.374_2.96,0.360456852
X736.439_3.019,0.221820036
X776.306_2.398,0.029477503
X114.092_2.607,0.065346287
X634.372_2.992,0.007149218
X536.335_2.767,0.252380996
X828.538_3.267,0.061598101
X165.983_5.608,0.466014139
X102.092_0.355,0.71090984
X277.216_2.857,0.020980691
X105.954_3.973,0.360456852
X306.279_3.212,1
X760.475_3.131,0.039508653
X819.322_2.398,0.252380996
X289.945_0.301,0.039273451
X722.461_3.045,0.011213624
X678.397_2.979,0.160741492
X207.058_2.248,0.012937963
X596.335_2.935,0.360456852
X618.376_2.966,0.018743788
X169.978_2.574,0.466014139
X810.602_5.596,0.588135917
X351.253_2.927,0.549928117
X604.362_2.948,0.009809849
X552.33_2.721,0.975989948
X155.991_6.136,0.466014139
X732.445_3.025,0.075077088
X526.432_3.181,0.466014139
X746.46_3.114,0.017373366
X353.232_2.525,0.167234601
X298.2_2.676,0.063535763
X353.269_2.902,0.880797443
X706.428_3.009,0.02236111
X155.991_6.367,0.078136064
X479.152_2.786,0.466014139
X748.439_2.944,0.063535763
X816.574_3.495,0.466014139
X114.092_2.659,0.931645381
X202.109_5.277,1
X105.954_4.375,0.360456852
X748.439_2.997,0.360456852
X263.08_2.779,0.618215355
X487.105_2.774,0.466014139
X705.621_2.412,0.12158622
X224.012_6.219,0.466014139
X224.012_6.019,0.466014139
X340.321_3.334,0.466014139
X736.439_3.066,0.466014139
X141.959_0.74,0.466014139
X155.991_6.023,0.360456852
X224.012_6.146,0.466014139
X125.071_5.026,0.85037289
