filename,LVT_50DPI
X137.046_0.35,0.003186753
X269.088_0.35,0.014922854
X169.036_0.375,0.115547354
X338.342_3.533,0.706812057
X387.181_2.767,0.549566569
X311.081_2.525,0.530755686
X228.196_2.71,0.472988654
X404.207_2.768,0.5362811
X496.341_2.926,0.380227856
X310.31_3.391,0.909190278
X228.196_3.321,0.726154562
X285.022_2.394,0.099421669
X336.326_3.156,0.794875106
X524.372_3.04,0.676017453
X596.357_2.948,0.627119537
X409.162_2.768,0.007502175
X244.191_2.61,1
X624.388_3.054,0.011970159
X226.181_2.61,1
X238.1_2.259,0.344960159
X226.181_3.32,0.767244891
X244.191_3.324,0.957851605
X638.403_3.073,0.142596515
X287.018_2.395,0.472988654
X489.228_2.768,0.00114719
X312.326_3.521,0.472988654
X610.372_2.951,0.215347292
X110.021_6.211,0.753917029
X580.361_2.989,0.937122406
X183.15_2.549,0.197292819
X637.306_3.32,0.290755531
X146.981_3.86,0.580139622
X105.07_2.767,0.005167967
X352.321_3.187,0.729396031
X432.238_2.769,0.380227856
X200.165_3.207,0.472988654
X267.123_2.767,0.441446483
X200.165_2.552,0.386605988
X126.022_0.338,0.246089322
X608.393_3.098,0.530755686
X666.434_3.024,0.530755686
X123.056_0.323,0.03309832
X240.097_2.259,0.344960159
X522.357_2.957,0.530755686
X482.325_3.027,0.165115407
X308.295_3.045,0.530755686
X258.206_2.778,0.483262166
X650.44_3.113,0.420275784
X333.063_2.524,0.530755686
X594.377_3,0.592289866
X282.279_3.26,0.584221725
X285.133_2.768,0.003101848
X790.38_2.768,0.00114719
X582.341_3.046,0.530755686
X622.409_3.109,0.831040745
X100.076_2.546,0.472988654
X366.373_3.699,0.530755686
X401.342_3.422,0.906056238
X340.357_3.733,0.5362811
X636.388_2.978,0.472988654
X214.181_2.634,0.380227856
X198.15_2.471,0.64636433
X132.102_0.307,0.018699028
X113.964_6.456,0.530755686
X110.021_5.953,0.697341646
X369.352_3.849,0.530755686
X369.17_2.767,0.00114719
X568.341_2.887,0.344960159
X221.111_2.312,0.018699028
X321.315_3.533,0.909190278
X208.17_3.328,0.812348408
X694.465_3.135,0.397306631
X216.196_2.567,0.386605988
X313.077_2.525,0.566139913
X354.337_3.278,0.883966076
X216.16_2.471,0.935648475
X137.046_0.42,1
X111.092_5.384,0.524958625
X652.382_2.947,0.311247991
X520.341_2.89,0.215347292
X425.136_2.773,0.065639385
X795.335_2.768,0.003101848
X280.263_3.169,0.334338115
X256.264_3.225,0.472988654
X198.186_3.331,0.697341646
X113.964_6.627,0.627119537
X111.092_5.093,0.145869615
X256.227_2.847,0.472988654
X295.227_3.017,0.151725124
X111.092_4.634,0.530755686
X454.294_2.917,0.179889506
X122.072_5.438,0.908597198
X432.238_2.839,0.530755686
X554.31_2.942,0.289524194
X544.34_2.89,0.228305447
X646.408_3.051,0.530755686
X232.191_2.63,0.234877023
X308.295_3.285,0.584221725
X524.335_2.977,1
X680.414_3.051,0.145869615
X666.433_3.092,0.098301633
X230.248_2.715,0.787791899
X678.469_3.244,0.5362811
X224.084_2.236,0.020760732
X281.102_2.768,0.190239775
X526.294_2.877,0.179889506
X301.285_2.662,0.992219197
X216.16_3.213,0.566139913
X375.199_2.868,0.64636433
X283.118_2.713,0.935648475
X664.419_3.086,0.594251097
X343.296_2.691,0.43621851
X608.393_3.002,0.472988654
X550.351_3.01,0.823979501
X324.29_3.082,0.197292819
X128.118_5.106,0.380227856
X175.148_2.71,0.530755686
