filename,RA_50DPI
X137.046_0.35,0.461848066
X269.088_0.35,0.573708011
X169.036_0.375,0.516540293
X338.342_3.533,0.590936166
X387.181_2.767,0.573708011
X311.081_2.525,0.573708011
X228.196_2.71,0.573708011
X404.207_2.768,0.920692594
X496.341_2.926,0.742190114
X310.31_3.391,0.601593089
X228.196_3.321,0.993577228
X285.022_2.394,0.573708011
X336.326_3.156,0.573708011
X524.372_3.04,0.607980849
X596.357_2.948,0.414680785
X409.162_2.768,0.944018057
X244.191_2.61,0.573708011
X624.388_3.054,0.276244113
X226.181_2.61,0.573708011
X238.1_2.259,0.583533771
X226.181_3.32,0.994595718
X244.191_3.324,0.914704324
X638.403_3.073,0.414680785
X287.018_2.395,0.573708011
X489.228_2.768,0.573708011
X110.021_5.865,0.742190114
X312.326_3.521,0.573708011
X610.372_2.951,0.466809115
X110.021_6.211,0.573708011
X580.361_2.989,0.573708011
X183.15_2.549,0.796701172
X637.306_3.32,0.417739887
X146.981_3.86,0.573708011
X105.07_2.767,0.968298251
X352.321_3.187,0.573708011
X432.238_2.769,0.995699626
X200.165_3.207,0.573708011
X267.123_2.767,0.600792279
X200.165_2.552,0.573708011
X126.022_0.338,0.166046768
X608.393_3.098,0.173296754
X666.434_3.024,0.688945746
X123.056_0.323,0.446495832
X240.097_2.259,0.573708011
X522.357_2.957,0.573708011
X482.325_3.027,0.966885392
X308.295_3.045,0.573708011
X258.206_2.778,0.295630051
X650.44_3.113,0.466809115
X333.063_2.524,0.573708011
X594.377_3,0.573708011
X282.279_3.26,0.414680785
X285.133_2.768,1
X790.38_2.768,0.844418944
X582.341_3.046,0.173296754
X622.409_3.109,0.962085395
X100.076_2.546,0.573708011
X366.373_3.699,0.573708011
X401.342_3.422,0.573708011
X340.357_3.733,1
X636.388_2.978,0.573708011
X214.181_2.634,0.742190114
X198.15_2.471,0.662372293
X132.102_0.307,0.573708011
X113.964_6.456,0.573708011
X678.478_3.062,0.573708011
X110.021_5.953,0.921374217
X369.352_3.849,0.573708011
X369.17_2.767,0.787381654
X568.341_2.887,0.867182222
X221.111_2.312,0.66301854
X321.315_3.533,0.573708011
X634.453_3.069,0.573708011
X208.17_3.328,1
X694.465_3.135,0.742190114
X216.196_2.567,0.560096508
X313.077_2.525,0.573708011
X354.337_3.278,0.573708011
X216.16_2.471,1
X137.046_0.42,0.898204048
X111.092_5.384,0.768068911
X652.382_2.947,0.573708011
X520.341_2.89,0.333844275
X425.136_2.773,1
X795.335_2.768,0.615389739
X280.263_3.169,0.573708011
X256.264_3.225,0.573708011
X198.186_3.331,1
X113.964_6.627,0.573708011
X111.092_5.093,0.600656898
X256.227_2.847,0.573708011
X295.227_3.017,0.573708011
X111.092_4.634,0.976445781
X454.294_2.917,0.648700116
X122.072_5.438,0.768068911
