"","fch","pval","pAdj"
"X137.046_0.35",1.71413060148874,0.0112560077030628,0.461848066066296
"X269.088_0.35",2.46030292990235,0.0224710774621351,0.573708011441688
"X169.036_0.375",0,0.0180966134767002,0.51654029336755
"X338.342_3.533",0.714228319540191,0.371765620399409,0.590936166243417
"X387.181_2.767",1.33753273521183,0.262221618784895,0.573708011441688
"X311.081_2.525",1.12179699742822,0.136974224446085,0.573708011441688
"X228.196_2.71",1.28462237004039,0.0367175416419757,0.573708011441688
"X404.207_2.768",1.11206898500151,0.774840301727361,0.920692593817218
"X496.341_2.926",0.688063314099516,0.520958142485811,0.742190113533188
"X310.31_3.391",1.38995927952196,0.380749319839204,0.601593088987815
"X228.196_3.321",1.06748004511487,0.866447773419182,0.993577228383743
"X285.022_2.394",0.298243168427437,0.325821260421724,0.573708011441688
"X336.326_3.156",1.25576783008996,0.0674961538838424,0.573708011441688
"X524.372_3.04",0.844162236237007,0.389233298727313,0.607980849403461
"X596.357_2.948",2.14942490058322,0.00755607117677378,0.414680785060051
"X409.162_2.768",0.898583616466555,0.80633377841523,0.944018057119213
"X244.191_2.61",1.74811892851063,0.0294582258598721,0.573708011441688
"X624.388_3.054",2.46223756170762,0.00220911133463448,0.27624411260715
"X226.181_2.61",1.65924696069268,0.0724800388053806,0.573708011441688
"X238.1_2.259",0.95617532856606,0.366875192434742,0.583533770644236
"X226.181_3.32",1.01575976882305,0.867714695528238,0.994595718226605
"X244.191_3.324",0.917139097761421,0.76736238568624,0.914704323564261
"X638.403_3.073",2.29294332575762,0.00666716321115388,0.414680785060051
"X287.018_2.395",1.14641839611137,0.249556194554941,0.573708011441688
"X489.228_2.768",0.68728118810751,0.285440870895821,0.573708011441688
"X110.021_5.865",1.47387921634272,0.512051113752968,0.742190113533188
"X312.326_3.521",1.41437738444713,0.19569813913556,0.573708011441688
"X610.372_2.951",1.72576381145487,0.0127220374319453,0.466809115293861
"X110.021_6.211",0.575335595491135,0.287350219131819,0.573708011441688
"X580.361_2.989",1.1612562615232,0.0891947730984869,0.573708011441688
"X183.15_2.549",0.831221617193183,0.603723408233338,0.796701171763445
"X637.306_3.32",1.69607484799331,0.00889587870394101,0.417739887004044
"X146.981_3.86",0.4991683157181,0.115560941402966,0.573708011441688
"X105.07_2.767",0.946647467312555,0.838134776780856,0.968298250693589
"X352.321_3.187",2.10256649454397,0.153347227533407,0.573708011441688
"X432.238_2.769",0.939072411928022,0.870194456435353,0.995699626404896
"X200.165_3.207",1.53989661840288,0.139104558263726,0.573708011441688
"X267.123_2.767",1.46760477770059,0.379556127210488,0.60079227851401
"X200.165_2.552",1.33263275193798,0.040839912860907,0.573708011441688
"X126.022_0.338",1.91006548306421,0.000695550057788443,0.166046768341132
"X608.393_3.098",1.57414492059985,0.000834090178852782,0.173296754482484
"X666.434_3.024",0.827895625915628,0.460958749211566,0.688945745833563
"X123.056_0.323",2.38386396237222,0.0101157544281501,0.446495831628662
"X240.097_2.259",0.932393328261988,0.324548174828994,0.573708011441688
"X522.357_2.957",1.64501559314372,0.137166570952365,0.573708011441688
"X482.325_3.027",1.04845938179209,0.835070856627029,0.966885392196904
"X308.295_3.045",1.14246110105441,0.285440870895821,0.573708011441688
"X258.206_2.778",2.28870641554873,0.00270187403718162,0.295630050901622
"X650.44_3.113",1.88866850449368,0.0124744776373135,0.466809115293861
"X333.063_2.524",1.23705411398811,0.201679436339622,0.573708011441688
"X594.377_3",1.17181888488867,0.285440870895821,0.573708011441688
"X282.279_3.26",1.69411839042602,0.0078019680142766,0.414680785060051
"X285.133_2.768",1.01900342059559,0.967417297543179,1
"X790.38_2.768",0.892800845405831,0.682673807575057,0.844418944273245
"X582.341_3.046",2.19439709535841,0.000893930706769937,0.173296754482484
"X622.409_3.109",1.44681218419781,0.828727023366859,0.962085394943136
