"","fch","pval","pAdj"
"X137.046_0.35",2.41837770363378,5.80205253410446e-07,0.00138262911887709
"X269.088_0.35",1.9954303411762,0.000140358097525025,0.111491115467378
"X169.036_0.375",0,0.164394222391658,0.5548432411459
"X338.342_3.533",1.44090687770947,0.458116101646013,0.681454850326122
"X387.181_2.767",0.747660857720057,0.0814293446671917,0.5548432411459
"X311.081_2.525",1.11477000005672,0.160685472537209,0.5548432411459
"X228.196_2.71",1.06813698693834,0.304590816047085,0.5548432411459
"X404.207_2.768",0.77949368626189,0.106445693561888,0.5548432411459
"X496.341_2.926",0.82590714525068,0.361442951716713,0.560730196333965
"X310.31_3.391",1.07496250477565,0.584681190967667,0.782750156222444
"X228.196_3.321",0.992042777505989,0.65287003041307,0.822492065653507
"X285.022_2.394",0.910594507920238,0.324548174828994,0.5548432411459
"X336.326_3.156",0.956698282205979,0.682673807575057,0.849066640632234
"X524.372_3.04",0.781371606793643,0.460958749211566,0.684828366191497
"X596.357_2.948",0.883658345502766,0.743702065375981,0.903744019271271
"X409.162_2.768",0.726777125522286,0.0742044999172241,0.5548432411459
"X244.191_2.61",1.10497467751927,0.512486352283095,0.736255186968068
"X624.388_3.054",1.38345004818757,0.00426618476107663,0.406652731425825
"X226.181_2.61",1.0904252960021,0.394631715181535,0.603211916149838
"X238.1_2.259",0.617248076882874,0.0329436416982427,0.5548432411459
"X226.181_3.32",1.00411649172965,0.566774494589651,0.773544115044798
"X244.191_3.324",0.970633642932401,0.712965124764759,0.874869151552225
"X638.403_3.073",1.86222299984232,0.00536217061230571,0.473261206263871
"X287.018_2.395",0.911566902816397,0.366875192434742,0.566599859735574
"X489.228_2.768",0.477483502544895,0.0185537262328588,0.5548432411459
"X110.021_5.865",0.519228431438235,0.365045675511653,0.564872626457318
"X610.372_2.951",0.816184289489477,0.682673807575057,0.849066640632234
"X110.021_6.211",1.35230834589335,0.271180907088729,0.5548432411459
"X580.361_2.989",1.65685713633993,0.577155449664142,0.773544115044798
"X183.15_2.549",0.72738467512979,0.486364763954452,0.71898711693763
"X637.306_3.32",1.19338265717234,0.216856638760083,0.5548432411459
"X146.981_3.86",2.36184001042312,0.0408346393222737,0.5548432411459
"X105.07_2.767",0.753302518679545,0.0891947730984869,0.5548432411459
"X352.321_3.187",1.25233095235394,0.0209023068445138,0.5548432411459
"X432.238_2.769",0.792548515708401,0.345310897182987,0.5548432411459
"X200.165_3.207",1.16091847864749,0.160685472537209,0.5548432411459
"X267.123_2.767",0.7575198303821,0.0814293446671917,0.5548432411459
"X200.165_2.552",1.00306075607451,0.539298539584697,0.752428817230874
"X126.022_0.338",1.40004702897485,0.0263540443400591,0.5548432411459
"X608.393_3.098",1.30059321016127,0.0263540443400591,0.5548432411459
"X666.434_3.024",0.487747108046231,0.180285454817825,0.5548432411459
"X123.056_0.323",Inf,0.164394222391658,0.5548432411459
"X240.097_2.259",0.616823610760404,0.0329436416982427,0.5548432411459
"X522.357_2.957",1.01726810457708,0.838134776780856,0.985821901810849
"X482.325_3.027",0.696816285040762,0.486364763954452,0.71898711693763
"X308.295_3.045",1.03032183584102,0.366875192434742,0.566599859735574
"X258.206_2.778",0,0.164394222391658,0.5548432411459
"X650.44_3.113",0.648252279036618,0.0814293446671917,0.5548432411459
"X333.063_2.524",1.13518512667853,0.232811909318818,0.5548432411459
"X594.377_3",0.847624526301136,0.0612792417000994,0.5548432411459
"X282.279_3.26",1.60402502921191,0.115244202179854,0.5548432411459
"X285.133_2.768",0.698914709588864,0.0263540443400591,0.5548432411459
"X790.38_2.768",0.663181770876864,0.0234961466635103,0.5548432411459
"X582.341_3.046",1.49047227344859,0.00118667446462527,0.302433139725338
"X622.409_3.109",0.988096832959855,0.80633377841523,0.955966862668405
"X100.076_2.546",0.60180491521844,0.227210972621076,0.5548432411459
"X366.373_3.699",Inf,0.350647889704459,0.5548432411459
"X401.342_3.422",0.722586417751905,0.623594278712037,0.803722290890203
"X636.388_2.978",0.742280365552713,0.232811909318818,0.5548432411459
"X214.181_2.634",1.14136778058795,0.201679436339622,0.5548432411459
"X198.15_2.471",1.25666892414396,0.436289427525659,0.653474359392612
"X132.102_0.307",1.21183179316779,0.245432483603493,0.5548432411459
"X110.021_5.953",5.14473369132066,0.506024706177613,0.736255186968068
"X369.352_3.849",0.567873480733245,1,1
"X369.17_2.767",0.635230537285463,0.0453338990979227,0.5548432411459
"X568.341_2.887",0.974587028159981,0.774840301727361,0.931136883013768
"X221.111_2.312",0.894183298518594,0.712965124764759,0.874869151552225
"X321.315_3.533",3.41888698797818,0.298928681718801,0.5548432411459
"X208.17_3.328",1.26964154108897,0.114825822266127,0.5548432411459
"X694.465_3.135",0,0.0384143238141604,0.5548432411459
"X216.196_2.567",1.28407275036925,0.345310897182987,0.5548432411459
"X313.077_2.525",1.12918878680759,0.148479991170565,0.5548432411459
"X354.337_3.278",1.05503380754236,1,1
"X216.16_2.471",0.921789334677291,0.884561344098944,1
"X137.046_0.42",1.44726992280754,0.129611336207042,0.5548432411459
"X111.092_5.384",0.798999596988371,0.79811705969647,0.950551604259778
"X520.341_2.89",0.999201641741409,0.774840301727361,0.931136883013768
"X425.136_2.773",0.61889462084529,0.916157686803492,1
"X795.335_2.768",0.603613506451919,0.0294964746728803,0.5548432411459
"X256.264_3.225",1.19955581508744,0.783249567078446,0.938403076092478
"X198.186_3.331",1.09311396186084,0.340032168569414,0.5548432411459
"X111.092_5.093",1.01405778757918,0.710838617839326,0.873609296705062
"X256.227_2.847",1.08216173568407,0.249556194554941,0.5548432411459
"X295.227_3.017",1.91317330034797,0.00140811946967693,0.302433139725338
"X111.092_4.634",0.11470741276676,0.261466305877338,0.5548432411459
"X454.294_2.917",0.646513291489428,0.126147401015694,0.5548432411459
"X122.072_5.438",0.862896488538685,0.488767547341288,0.721196944467052
"X432.238_2.839",Inf,0.0797251955374254,0.5548432411459
"X554.31_2.942",1.34114970347167,0.146531113782421,0.5548432411459
"X544.34_2.89",1.07952615731785,0.594883930583728,0.792845864978201
"X646.408_3.051",0.799795006578009,0.366875192434742,0.566599859735574
