filename,RVT_50DPI
X137.046_0.35,0.012676507
X269.088_0.35,0.099490917
X338.342_3.533,1
X387.181_2.767,0.333427698
X311.081_2.525,0.471936502
X228.196_2.71,0.346690469
X404.207_2.768,0.314290023
X496.341_2.926,0.823098114
X310.31_3.391,0.738665989
X228.196_3.321,1
X285.022_2.394,0.738665989
X336.326_3.156,0.811252862
X524.372_3.04,0.563736722
X596.357_2.948,0.823098114
X409.162_2.768,0.333427698
X244.191_2.61,0.11770099
X624.388_3.054,0.065968127
X226.181_2.61,0.147959261
X238.1_2.259,0.563736722
X226.181_3.32,0.931617328
X244.191_3.324,0.931617328
X638.403_3.073,0.125585325
X287.018_2.395,0.738665989
X489.228_2.768,0.151881087
X110.021_5.865,0.921931597
X610.372_2.951,0.823098114
X110.021_6.211,0.68650764
X183.15_2.549,0.930987709
X637.306_3.32,0.129290202
X146.981_3.86,0.691005879
X105.07_2.767,0.314290023
X352.321_3.187,0.167654956
X432.238_2.769,0.553960658
X200.165_3.207,0.563736722
X267.123_2.767,0.370586635
X200.165_2.552,1
X126.022_0.338,0.563736722
X608.393_3.098,0.048366746
X666.434_3.024,0.563736722
X240.097_2.259,0.563736722
X522.357_2.957,0.314290023
X482.325_3.027,0.718387725
X308.295_3.045,0.604681348
X650.44_3.113,0.690098127
X333.063_2.524,0.563736722
X594.377_3,0.823098114
X285.133_2.768,0.333427698
X790.38_2.768,0.209645993
X417.337_3.233,0.563736722
X582.341_3.046,0.452997265
X622.409_3.109,0.563736722
X100.076_2.546,1
X366.373_3.699,0.563736722
X401.342_3.422,0.563736722
X636.388_2.978,0.956824645
X214.181_2.634,0.333427698
X198.15_2.471,0.956824645
X132.102_0.307,0.346690469
X113.964_6.456,0.823098114
X110.021_5.953,0.737980824
X369.352_3.849,0.563736722
X369.17_2.767,0.209645993
X568.341_2.887,0.662799573
X221.111_2.312,0.790280028
X321.315_3.533,1
X208.17_3.328,0.990547408
X694.465_3.135,0.957319295
X216.196_2.567,0.333427698
X313.077_2.525,0.604681348
X354.337_3.278,0.771371254
X216.16_2.471,0.956824645
X137.046_0.42,0.563736722
X111.092_5.384,0.563736722
X520.341_2.89,0.476546733
X425.136_2.773,0.563736722
X795.335_2.768,0.209645993
X256.264_3.225,0.471936502
X198.186_3.331,1
X113.964_6.627,0.563736722
X111.092_5.093,0.563736722
X256.227_2.847,0.452997265
X295.227_3.017,0.000378487
X111.092_4.634,0.957319295
X454.294_2.917,0.956824645
X122.072_5.438,0.771371254
X432.238_2.839,0.563736722
X554.31_2.942,0.563736722
X544.34_2.89,0.563736722
X103.956_5.525,0.563736722
X646.408_3.051,0.563736722
X232.191_2.63,0.020417394
X308.295_3.285,0.563736722
X680.414_3.051,0.51621466
X230.248_2.715,0.370586635
X224.084_2.236,0.625901407
X281.102_2.768,0.471936502
X526.294_2.877,0.254283969
X301.285_2.662,0.563736722
X216.16_3.213,0.906166949
X375.199_2.868,0.718387725
X283.118_2.713,0.443485041
X664.419_3.086,0.476546733
X343.296_2.691,0.563736722
X608.393_3.002,0.563736722
X324.29_3.082,0.433299461
X128.118_5.106,1
X175.148_2.71,0.563736722
X278.248_3.1,0.563736722
X266.173_2.61,0.1432545
X250.178_2.71,0.563736722
X198.149_3.205,0.931617328
X566.346_3.087,0.563736722
X607.227_2.771,0.771371254
X385.346_3.54,0.535171356
X272.222_2.957,0.811252862
X272.222_2.809,0.563736722
X340.285_3.14,0.283588421
X734.57_3.377,0.68650764
X191.143_3.329,0.771371254
X570.341_2.875,0.333427698
X622.408_3.044,0.633320653
X198.185_2.612,0.563736722
X173.132_3.332,0.333427698
X568.361_2.947,0.811252862
X319.3_3.156,0.771371254
X199.989_2.374,0.809525888
X678.471_3.228,0.563736722
X622.372_2.977,0.576624794
X334.311_3.335,0.563736722
X480.309_2.951,0.109169431
X502.294_2.879,0.471936502
X786.601_3.279,1
X674.439_3.163,0.151881087
X184.074_0.312,0.333427698
X175.148_3.322,0.823098114
X387.192_2.843,0.738665989
X474.249_2.887,0.333427698
X786.601_3.393,0.563736722
X128.118_4.636,0.563736722
X678.398_3.039,0.563736722
X660.424_3.08,1
X242.212_3.159,0.209645993
X694.429_3.054,0.647633592
X654.332_3.32,0.471936502
X416.337_2.79,0.392602256
X414.14_2.772,0.771371254
X400.342_2.89,0.695869843
X212.165_2.546,0.563736722
X636.424_3.106,0.167654956
X801.313_2.768,0.314290023
X991.673_2.928,0.444690697
X800.313_2.771,1
X668.413_2.991,0.333427698
X313.016_2.379,0.903786984
X538.315_2.977,0.433299461
X429.191_2.885,0.471936502
X606.378_3.022,0.563736722
X680.45_3.157,1
X692.414_2.985,0.823098114
X256.227_3.448,0.754704821
X1022.625_3.326,0.563736722
X254.212_2.739,1
X230.175_2.591,0.954213791
X180.175_2.611,0.563736722
X446.218_2.884,0.336994337
X620.393_3.029,0.333427698
X313.144_3.062,0.906166949
X152.995_6.215,0.990547408
X397.379_3.191,0.650287551
X326.306_3.148,0.563736722
X205.017_5.778,0.771371254
X172.133_3.109,0.471936502
X158.962_2.362,0.471936502
X652.383_2.943,0.931617328
X374.303_3.189,0.314290023
X172.134_2.343,0.563736722
X670.393_2.893,0.921931597
X510.356_2.983,0.903786984
X109.023_5.881,0.738665989
X242.212_2.78,0.662799573
X654.398_2.907,0.879115018
X149.082_4.832,0.571338379
X153.041_0.336,0.550259776
X254.212_2.792,0.44347993
X402.358_2.884,0.563736722
X221.06_2.396,0.956824645
X650.403_3.074,0.563736722
X476.24_2.164,0.001427911
X688.455_3.179,0.563736722
X329.316_2.758,0.563736722
X123.079_4.851,1
X680.413_3.014,0.563736722
X622.372_3.037,0.563736722
X705.225_2.339,0.956824645
X166.087_0.522,0.563736722
X652.418_3.02,0.563736722
X676.419_3.043,1
X682.363_3.329,0.563736722
X141.959_6.151,1
X153.041_0.412,0.738665989
X370.332_3.032,0.65673437
X277.216_3.018,0.004205841
X306.279_2.989,0.563736722
X475.989_2.164,0.001394174
X705.141_2.339,0.976962973
X652.418_3.078,0.62393734
X554.288_2.924,0.662799573
X367.336_3.39,0.563736722
X676.454_3.145,0.738665989
X440.359_2.985,0.563736722
X226.081_2.237,0.563736722
X718.429_3.009,1
X120.102_0.391,0.771371254
X142.035_0.315,0.157077589
X482.361_2.958,0.392602256
X426.358_2.916,0.563736722
X119.049_2.77,0.563736722
X245.139_2.376,0.611067276
X149.082_4.735,0.563736722
X566.382_3.018,0.771371254
X285.217_3.322,1
X368.316_2.962,0.563736722
X268.227_2.861,0.165942262
X682.429_3.009,0.779406764
X158.962_2.581,0.563736722
X289.014_2.395,0.563736722
X696.445_3.083,0.209645993
X638.366_2.95,0.563736722
X776.253_2.398,0.059264171
X296.146_2.932,1
X720.445_3.09,0.823098114
X272.222_3.45,0.563736722
X293.211_2.931,0.01894751
X192.125_4.749,0.563736722
X141.959_1.787,1
X141.959_1.904,1
X230.176_2.586,0.563736722
X238.142_2.469,1
X534.286_3.175,1
X158.962_2.089,0.670819224
X141.959_1.562,0.563736722
X396.332_2.991,0.563736722
X594.341_2.975,0.563736722
X706.464_3.123,0.563736722
X428.374_2.971,1
X652.419_3.146,0.408370128
X141.959_1.379,1
X303.232_3.023,0.159815495
X141.959_1.2,1
X478.294_2.879,0.028959254
X141.959_1.295,1
X114.092_2.075,0.563736722
X254.212_3.319,0.872254194
X141.959_1.101,1
X694.428_3.006,0.563736722
X632.393_3.152,0.565121596
X810.601_3.479,0.738665989
X186.15_2.46,1
X484.385_2.982,0.563736722
X708.409_2.912,1
X114.092_0.357,0.771371254
X150.059_0.3,0.712502659
