"","fch","pval","pAdj"
"X137.046_0.35",2.37234038921387,0.000112534032261475,0.0126765066126291
"X269.088_0.35",1.78958505654162,0.0031553753566973,0.099490916859129
"X338.342_3.533",1.15569433831622,0.894031427602315,1
"X387.181_2.767",0.765215058146347,0.0329436416982427,0.333427698274594
"X311.081_2.525",1.13546902435363,0.0742044999172241,0.471936502319242
"X228.196_2.71",1.14694583257469,0.040839912860907,0.346690469066491
"X404.207_2.768",0.794577639430188,0.0294964746728803,0.314290023238621
"X496.341_2.926",1.03124986309155,0.65287003041307,0.823098113946382
"X310.31_3.391",0.16894886576616,0.523998655936988,0.738665988524313
"X228.196_3.321",0.898035767936903,0.870194456435353,1
"X285.022_2.394",0.958623934320252,0.512486352283095,0.738665988524313
"X336.326_3.156",1.0431646766765,0.623594278712037,0.81125286211703
"X524.372_3.04",1.09507659801246,0.324548174828994,0.5637367217413
"X596.357_2.948",1.07218035179577,0.65287003041307,0.823098113946382
"X409.162_2.768",0.779220151508765,0.0329436416982427,0.333427698274594
"X244.191_2.61",1.38648737149114,0.00426618476107663,0.117700990283275
"X624.388_3.054",1.40368288535932,0.00166521486418813,0.0659681273120683
"X226.181_2.61",1.43392586970495,0.00699095536469892,0.14795926080082
"X238.1_2.259",0.759790442364783,0.173608899884423,0.5637367217413
"X226.181_3.32",0.882446722211667,0.774840301727361,0.9316173277578
"X244.191_3.324",0.906387709258086,0.774840301727361,0.9316173277578
"X638.403_3.073",3.24205044525383,0.00463324498332615,0.125585324548051
"X287.018_2.395",0.960696291363103,0.512486352283095,0.738665988524313
"X489.228_2.768",0.495626506856176,0.00754354504894096,0.151881086755323
"X110.021_5.865",0.427754798062181,0.760817337458886,0.921931597156062
"X610.372_2.951",0.864100430626397,0.65287003041307,0.823098113946382
"X110.021_6.211",0.702444341599706,0.45701257879651,0.686507640196983
"X183.15_2.549",0.924581808817821,0.771303732865225,0.930987708809979
"X637.306_3.32",1.22657523377366,0.0049396225519851,0.129290201997376
"X146.981_3.86",0.855160393893839,0.462012344825305,0.691005878756143
"X105.07_2.767",0.77613725697382,0.0294964746728803,0.314290023238621
"X352.321_3.187",1.27477838764045,0.00987482265059421,0.167654955990858
"X432.238_2.769",0.790977759325606,0.0975257598239064,0.553960657823292
"X200.165_3.207",1.08972899278994,0.267097024243296,0.5637367217413
"X267.123_2.767",0.782326678333168,0.0453338990979227,0.370586635483019
"X200.165_2.552",1.00109788567792,0.934887200362667,1
"X126.022_0.338",1.29041231713645,0.126147401015694,0.5637367217413
"X608.393_3.098",1.4129010644805,0.000996702371208616,0.0483667458389899
"X666.434_3.024",0.897219681899177,0.285440870895821,0.5637367217413
"X240.097_2.259",0.75206171939232,0.173608899884423,0.5637367217413
"X522.357_2.957",1.36972516579782,0.0294964746728803,0.314290023238621
"X482.325_3.027",1.04597980000351,0.486364763954452,0.718387724961404
"X308.295_3.045",1.07007466115585,0.389233298727313,0.60468134791868
"X650.44_3.113",0.886333368178798,0.460958749211566,0.690098127453361
"X333.063_2.524",1.15985758114489,0.106445693561888,0.5637367217413
"X594.377_3",0.939758291095176,0.65287003041307,0.823098113946382
"X285.133_2.768",0.742647056120653,0.0329436416982427,0.333427698274594
"X790.38_2.768",0.6489745479596,0.0145191723023937,0.209645992590638
"X417.337_3.233",0.220601868494042,0.261466305877338,0.5637367217413
"X582.341_3.046",1.2606088091871,0.0612792417000994,0.452997265199299
"X622.409_3.109",1.16219201051802,0.160685472537209,0.5637367217413
"X100.076_2.546",0.986330702415509,0.933739182279119,1
"X366.373_3.699",Inf,0.350647889704459,0.5637367217413
"X401.342_3.422",1.3467696462019,0.171021620399713,0.5637367217413
"X636.388_2.978",0.921918395479627,0.80633377841523,0.956824644893648
"X214.181_2.634",1.25039753300398,0.0329436416982427,0.333427698274594
"X198.15_2.471",1.15190279927287,0.80633377841523,0.956824644893648
"X132.102_0.307",1.14239786051525,0.040839912860907,0.346690469066491
"X113.964_6.456",1.60709874148541,0.654481403615645,0.823098113946382
"X110.021_5.953",23.7996360912232,0.502018022981651,0.737980823507756
"X369.352_3.849",1.30639249850889,0.245274872913193,0.5637367217413
"X369.17_2.767",0.669194869479958,0.0145191723023937,0.209645992590638
"X568.341_2.887",1.14688709897716,0.436289427525659,0.662799572789718
"X221.111_2.312",0.907446044842423,0.594883930583728,0.79028002816153
"X321.315_3.533",0.959422423181243,1,1
"X208.17_3.328",0.540729969960321,0.852063109828367,0.990547407588282
"X694.465_3.135",0.991123751419168,0.810289182639067,0.95731929499634
"X216.196_2.567",1.34050487915778,0.0367175416419757,0.333427698274594
"X313.077_2.525",1.09550879758729,0.389233298727313,0.60468134791868
"X354.337_3.278",1.38498519667278,0.577155449664142,0.771371254092647
"X216.16_2.471",1.05339954201763,0.80633377841523,0.956824644893648
"X137.046_0.42",1.40730219348326,0.212353652250354,0.5637367217413
"X111.092_5.384",0.356749353906997,0.142852007387987,0.5637367217413
"X520.341_2.89",1.06624938148586,0.0814293446671917,0.476546732995497
"X425.136_2.773",0,0.350647889704459,0.5637367217413
"X795.335_2.768",0.687949081844271,0.0145191723023937,0.209645992590638
"X256.264_3.225",Inf,0.0797251955374254,0.471936502319242
"X198.186_3.331",0.656516918030316,0.86980056701022,1
"X113.964_6.627",0,0.164394222391658,0.5637367217413
"X111.092_5.093",0.295942268657397,0.179750777731755,0.5637367217413
"X256.227_2.847",1.09358787693081,0.0612792417000994,0.452997265199299
"X295.227_3.017",2.75264644731995,2.44975551439966e-07,0.000378487226974748
"X111.092_4.634",2.35910850019801,0.812327246433787,0.95731929499634
"X454.294_2.917",0.772236345067899,0.80633377841523,0.956824644893648
"X122.072_5.438",1.21927448017643,0.557743790145735,0.771371254092647
"X432.238_2.839",Inf,0.164394222391658,0.5637367217413
"X554.31_2.942",1.13519764406678,0.114947023438879,0.5637367217413
"X544.34_2.89",0.954172030784268,0.232811909318818,0.5637367217413
"X103.956_5.525",0,0.350647889704459,0.5637367217413
"X646.408_3.051",1.09764519856966,0.285440870895821,0.5637367217413
"X232.191_2.63",1.72429709473221,0.000264302833103572,0.0204173938572509
"X308.295_3.285",1.08216102458297,0.267097024243296,0.5637367217413
"X680.414_3.051",1.31421298439753,0.0888757926765398,0.51621466047088
"X230.248_2.715",2.04164418424186,0.0453338990979227,0.370586635483019
"X224.084_2.236",1.13663959043106,0.406734635854743,0.625901406768503
"X281.102_2.768",0.73594379071499,0.0674961538838424,0.471936502319242
"X526.294_2.877",1.4543885669769,0.0209023068445138,0.254283969092707
"X301.285_2.662",Inf,0.164394222391658,0.5637367217413
"X216.16_3.213",0.933210999558519,0.743702065375981,0.906166948742816
"X375.199_2.868",0.953325777902582,0.486364763954452,0.718387724961404
"X283.118_2.713",1.54085206743627,0.058844293402457,0.443485040520957
"X664.419_3.086",1.26900609788183,0.0814293446671917,0.476546732995497
"X343.296_2.691",Inf,0.164394222391658,0.5637367217413
"X608.393_3.002",1.25153323929731,0.151975681514272,0.5637367217413
"X324.29_3.082",1.3250563220219,0.0555296397209032,0.433299461458563
"X128.118_5.106",2.05288589137121,1,1
"X175.148_2.71",1.08066444843645,0.216856638760083,0.5637367217413
"X278.248_3.1",1.0609828932008,0.345310897182987,0.5637367217413
"X266.173_2.61",1.42107278510164,0.00656805240310701,0.143254499754141
"X250.178_2.71",1.149796630035,0.216856638760083,0.5637367217413
"X198.149_3.205",0.956521067921466,0.774840301727361,0.9316173277578
"X566.346_3.087",1.16415747868771,0.173608899884423,0.5637367217413
"X607.227_2.771",0.470112022041615,0.577155449664142,0.771371254092647
"X385.346_3.54",0.333031407303002,0.0928323128945194,0.53517135605236
"X272.222_2.957",0.777915550924033,0.623594278712037,0.81125286211703
"X272.222_2.809",0,0.350647889704459,0.5637367217413
"X340.285_3.14",2.10872332621313,0.0242289135974947,0.283588420516131
"X734.57_3.377",1.51201874719868,0.458116101646013,0.686507640196983
"X191.143_3.329",0.376656933888218,0.573621189165499,0.771371254092647
"X570.341_2.875",0,0.0384143238141604,0.333427698274594
"X622.408_3.044",1.07027779520236,0.412375778055245,0.633320653176295
"X198.185_2.612",0,0.350647889704459,0.5637367217413
"X173.132_3.332",Inf,0.0384143238141604,0.333427698274594
"X568.361_2.947",0.663571624109832,0.630327311483289,0.81125286211703
"X319.3_3.156",0.932149237713688,0.566774494589651,0.771371254092647
"X199.989_2.374",1.07960514386266,0.617886586026308,0.809525888378238
"X678.471_3.228",0.776076764196299,0.350633943477059,0.5637367217413
"X622.372_2.977",1.17795350918299,0.366875192434742,0.576624793806386
"X334.311_3.335",0.751511173012379,0.160685472537209,0.5637367217413
"X480.309_2.951",1.6574211181074,0.0036743109353476,0.109169430675232
"X502.294_2.879",1.22685952729689,0.0674961538838424,0.471936502319242
"X786.601_3.279",4.49237068965517,0.916157686803492,1
"X674.439_3.163",1.75173974629404,0.00793338809846528,0.151881086755323
"X184.074_0.312",Inf,0.0384143238141604,0.333427698274594
"X175.148_3.322",0.78134778861193,0.65287003041307,0.823098113946382
"X387.192_2.843",2.94443383356071,0.523998655936988,0.738665988524313
"X474.249_2.887",0,0.0384143238141604,0.333427698274594
"X786.601_3.393",Inf,0.164394222391658,0.5637367217413
"X128.118_4.636",Inf,0.350647889704459,0.5637367217413
"X678.398_3.039",0,0.350647889704459,0.5637367217413
"X660.424_3.08",0.747912156118934,0.983451990611901,1
"X242.212_3.159",0.438901284844244,0.0133710610172321,0.209645992590638
"X694.429_3.054",0.514312096029548,0.422952941309208,0.647633591994773
"X654.332_3.32",1.22570238823005,0.0674961538838424,0.471936502319242
"X416.337_2.79",3.87518670684511,0.0486718250892339,0.392602255543674
"X414.14_2.772",0.404293261142172,0.577155449664142,0.771371254092647
"X400.342_2.89",1.44631030751051,0.466191296854594,0.695869843372628
"X212.165_2.546",0,0.350647889704459,0.5637367217413
"X636.424_3.106",1.52248519249433,0.00987482265059421,0.167654955990858
"X801.313_2.768",0.0708982938210094,0.0291255347816779,0.314290023238621
"X991.673_2.928",0.346032562215028,0.0592920928900004,0.444690696675003
"X800.313_2.771",0.286192558993466,1,1
"X668.413_2.991",0,0.0384143238141604,0.333427698274594
"X313.016_2.379",1.14333996513515,0.739993873994623,0.903786984444025
"X538.315_2.977",1.23979955383689,0.0555296397209032,0.433299461458563
"X429.191_2.885",0.542208908174886,0.0676588575652805,0.471936502319242
"X606.378_3.022",1.16844738323677,0.115978749531323,0.5637367217413
"X680.45_3.157",1.04261908027996,0.934887200362667,1
"X692.414_2.985",1.11309786644722,0.647838446890927,0.823098113946382
"X256.227_3.448",0.295639272400292,0.538307257772393,0.754704821468554
"X1022.625_3.326",0.505163897620117,0.249068359130563,0.5637367217413
"X254.212_2.739",0.607101302405885,1,1
"X230.175_2.591",0.864171703979381,0.79811705969647,0.954213790587387
"X180.175_2.611",1.43740266751569,0.142852007387987,0.5637367217413
"X446.218_2.884",0.457605568627104,0.0392614761198555,0.336994336695426
"X620.393_3.029",0.527187622748847,0.0367175416419757,0.333427698274594
"X313.144_3.062",0.691922361405203,0.743702065375981,0.906166948742816
"X152.995_6.215",1.20535151778754,0.850547303541871,0.990547407588282
"X397.379_3.191",0.622558712818171,0.425948868584883,0.650287551347474
"X326.306_3.148",1.14053233444233,0.201679436339622,0.5637367217413
"X205.017_5.778",0.767801237430652,0.575867201874793,0.771371254092647
"X172.133_3.109",0,0.0797251955374254,0.471936502319242
"X158.962_2.362",0,0.0797251955374254,0.471936502319242
"X652.383_2.943",0.955154919402842,0.774840301727361,0.9316173277578
"X374.303_3.189",2.05389281564893,0.0287981086420743,0.314290023238621
"X172.134_2.343",0.867360529323342,0.173608899884423,0.5637367217413
"X670.393_2.893",0.628362708500685,0.760817337458886,0.921931597156062
"X510.356_2.983",0.928898546111315,0.739742575214976,0.903786984444025
"X109.023_5.881",2.81700150222031,0.523998655936988,0.738665988524313
"X242.212_2.78",1.09987017440156,0.436289427525659,0.662799572789718
"X654.398_2.907",0.765166934201022,0.712965124764759,0.879115018165645
"X149.082_4.832",1.80353043641556,0.359165730174855,0.571338379162127
"X153.041_0.336",2.68588401060453,0.0964057301948876,0.550259775734014
"X254.212_2.792",2.71114028057377,0.0583835327186555,0.443479930430719
"X402.358_2.884",4.28816046046485,0.15990093419154,0.5637367217413
"X221.06_2.396",0.919043072255776,0.80633377841523,0.956824644893648
"X650.403_3.074",1.30388547286775,0.146531113782421,0.5637367217413
"X476.24_2.164",14.9343925049616,5.54528374337963e-06,0.00142791056392025
"X688.455_3.179",0.881931541556958,0.23548959187186,0.5637367217413
"X329.316_2.758",Inf,0.350647889704459,0.5637367217413
