filename,LA_75DPI
X137.046_0.35,0.321030403
X269.088_0.35,0.551004142
X169.036_0.375,0.002480055
X338.342_3.533,0.415096828
X387.181_2.767,0.943920125
X311.081_2.525,0.854995026
X228.196_2.71,0.665143076
X404.207_2.768,0.83085767
X496.341_2.926,0.647184557
X310.31_3.391,1
X228.196_3.321,1
X285.022_2.394,0.647184557
X336.326_3.156,0.610897049
X524.372_3.04,0.657970802
X596.357_2.948,0.647184557
X409.162_2.768,0.854995026
X244.191_2.61,0.938426621
X624.388_3.054,0.647184557
X226.181_2.61,1
X238.1_2.259,0.551004142
X226.181_3.32,1
X244.191_3.324,1
X638.403_3.073,0.551004142
X287.018_2.395,0.647184557
X489.228_2.768,0.981947069
X110.021_5.865,0.647184557
X312.326_3.521,0.647184557
X610.372_2.951,1
X110.021_6.211,0.943632646
X580.361_2.989,0.884439667
X183.15_2.549,0.943920125
X637.306_3.32,0.610897049
X146.981_3.86,1
X105.07_2.767,0.89831995
X352.321_3.187,0.957792364
X432.238_2.769,0.981947069
X200.165_3.207,0.647184557
X267.123_2.767,0.920264426
X200.165_2.552,0.647184557
X126.022_0.338,0.610897049
X608.393_3.098,0.647184557
X666.434_3.024,0.647184557
X123.056_0.323,1
X240.097_2.259,0.551004142
X522.357_2.957,1
X482.325_3.027,0.403060761
X308.295_3.045,0.647184557
X258.206_2.778,0.682812858
X650.44_3.113,0.762005951
X333.063_2.524,0.981947069
X594.377_3,1
X282.279_3.26,0.610897049
X285.133_2.768,0.818121094
X790.38_2.768,1
X417.337_3.233,0.610897049
X582.341_3.046,0.884439667
X622.409_3.109,0.432057021
X100.076_2.546,0.95227024
X366.373_3.699,0.84127446
X401.342_3.422,0.647184557
X340.357_3.733,0.95528014
X636.388_2.978,1
X214.181_2.634,0.650560668
X198.15_2.471,0.776041836
X132.102_0.307,0.444659645
X113.964_6.456,0.610897049
X110.021_5.953,1
X369.352_3.849,0.610897049
X369.17_2.767,0.863752472
X568.341_2.887,0.711318677
X221.111_2.312,0.415096828
X435.347_3.219,0.647184557
X321.315_3.533,0.777373508
X208.17_3.328,1
X694.465_3.135,0.403060761
X216.196_2.567,0.610897049
X313.077_2.525,0.818121094
X354.337_3.278,1
X216.16_2.471,1
X137.046_0.42,0.548531158
X111.092_5.384,0.699271666
X652.382_2.947,1
X520.341_2.89,0.647184557
X425.136_2.773,1
X795.335_2.768,0.889934505
X280.263_3.169,1
X256.264_3.225,0.647184557
X198.186_3.331,1
X113.964_6.627,0.915685738
X111.092_5.093,0.855027257
X256.227_2.847,0.818121094
X295.227_3.017,1
X111.092_4.634,0.610897049
X454.294_2.917,0.650560668
X122.072_5.438,0.846319692
X722.505_3.058,0.647184557
X432.238_2.839,0.791625765
X590.427_3.075,0.647184557
X554.31_2.942,0.981947069
X544.34_2.89,0.981947069
X103.956_5.525,0.889934505
X646.408_3.051,0.981947069
X232.191_2.63,1
X308.295_3.285,0.650560668
X524.335_2.977,0.480708448
X680.414_3.051,0.551004142
X666.433_3.092,0.444659645
X230.248_2.715,0.444659645
X678.469_3.244,0.805579158
X224.084_2.236,0.762005951
X281.102_2.768,0.647184557
X526.294_2.877,0.89831995
X301.285_2.662,0.610897049
X216.16_3.213,1
X375.199_2.868,1
X283.118_2.713,0.647184557
X664.419_3.086,0.647184557
X343.296_2.691,0.383707615
X608.393_3.002,0.647184557
X550.351_3.01,0.306430651
X324.29_3.082,0.647184557
X128.118_5.106,0.882134908
X694.465_3.092,0.610897049
X175.148_2.71,0.741725796
X278.248_3.1,0.920264426
X266.173_2.61,0.83085767
X250.178_2.71,0.727384818
X198.149_3.205,0.89831995
X566.346_3.087,0.647184557
X607.227_2.771,0.905004678
X385.346_3.54,0.480708448
X546.401_3.081,0.647184557
X334.31_3.1,0.610897049
X650.366_2.938,0.621605939
X272.222_2.957,0.647184557
X272.222_2.809,0.83085767
X340.285_3.14,1
X734.57_3.377,0.853698072
X191.143_3.329,0.805739951
X622.408_3.044,0.521262594
X198.185_2.612,1
X113.964_6.749,0.83085767
X173.132_3.332,1
X296.258_2.976,0.610897049
X324.326_3.469,0.981947069
X568.361_2.947,1
X319.3_3.156,0.610897049
X199.989_2.374,0.551004142
X678.471_3.228,0.948724828
X622.372_2.977,0.610897049
X334.311_3.335,0.943920125
X480.309_2.951,0.83085767
