filename,LVB_75DPI
X137.046_0.35,0.001539285
X269.088_0.35,0.001561584
X169.036_0.375,0.197324981
X338.342_3.533,0.396831039
X387.181_2.767,0.531227615
X311.081_2.525,0.789903437
X228.196_2.71,0.921816736
X404.207_2.768,0.450759305
X496.341_2.926,0.075188975
X310.31_3.391,0.832318996
X228.196_3.321,1
X285.022_2.394,0.659154813
X336.326_3.156,0.363753418
X524.372_3.04,0.19787905
X596.357_2.948,0.399473858
X409.162_2.768,0.56551298
X244.191_2.61,0.832318996
X624.388_3.054,0.018015496
X226.181_2.61,0.659154813
X238.1_2.259,0.995097368
X226.181_3.32,1
X244.191_3.324,1
X638.403_3.073,0.018015496
X287.018_2.395,0.752239235
X489.228_2.768,0.56551298
X110.021_5.865,0.396831039
X312.326_3.521,0.56551298
X610.372_2.951,0.228334348
X110.021_6.211,1
X580.361_2.989,0.018015496
X183.15_2.549,1
X637.306_3.32,0.425600239
X146.981_3.86,0.56551298
X105.07_2.767,0.551598097
X352.321_3.187,0.551598097
X432.238_2.769,0.68319752
X200.165_3.207,1
X267.123_2.767,0.56551298
X200.165_2.552,0.773330004
X126.022_0.338,0.634958177
X608.393_3.098,0.001737681
X666.434_3.024,0.228334348
X123.056_0.323,0.56551298
X240.097_2.259,0.995097368
X522.357_2.957,0.197324981
X482.325_3.027,0.021515259
X308.295_3.045,0.873670428
X650.44_3.113,0.551598097
X333.063_2.524,0.531227615
X594.377_3,0.01947765
X282.279_3.26,0.949912751
X285.133_2.768,0.531227615
X790.38_2.768,0.531227615
X582.341_3.046,0.245323788
X622.409_3.109,0.001737681
X100.076_2.546,1
X366.373_3.699,0.368982206
X401.342_3.422,0.56551298
X340.357_3.733,0.531227615
X636.388_2.978,0.032070163
X214.181_2.634,0.972690972
X198.15_2.471,1
X132.102_0.307,0.995097368
X113.964_6.456,0.56551298
X110.021_5.953,0.682654084
X369.352_3.849,1
X369.17_2.767,0.56551298
X568.341_2.887,0.050560266
X221.111_2.312,0.816051868
X321.315_3.533,0.343569238
X208.17_3.328,0.972690972
X694.465_3.135,0.56551298
X216.196_2.567,0.995097368
X313.077_2.525,0.56551298
X354.337_3.278,0.56551298
X216.16_2.471,0.773330004
X137.046_0.42,0.001737681
X111.092_5.384,0.773330004
X652.382_2.947,0.56551298
X520.341_2.89,0.103530033
X425.136_2.773,0.396831039
X795.335_2.768,0.56551298
X280.263_3.169,0.56551298
X256.264_3.225,0.22007716
X198.186_3.331,1
X113.964_6.627,1
X111.092_5.093,0.276938046
X256.227_2.847,0.56551298
X295.227_3.017,0.385306438
X111.092_4.634,0.573364298
X454.294_2.917,0.050560266
X122.072_5.438,0.81044685
X554.31_2.942,0.085680971
X544.34_2.89,0.266170569
X103.956_5.525,0.531227615
X646.408_3.051,0.56551298
X232.191_2.63,0.507495238
X308.295_3.285,0.855923257
X680.414_3.051,0.084405531
X230.248_2.715,0.276938046
X678.469_3.244,0.738273199
X224.084_2.236,0.56551298
X281.102_2.768,0.747297478
X526.294_2.877,0.01947765
X216.16_3.213,0.949912751
X375.199_2.868,1
X283.118_2.713,0.56551298
X664.419_3.086,0.114638441
X343.296_2.691,0.855923257
X608.393_3.002,0.396831039
X550.351_3.01,0.531227615
X324.29_3.082,1
X128.118_5.106,0.56551298
X175.148_2.71,1
X278.248_3.1,0.873670428
X266.173_2.61,1
X250.178_2.71,0.738273199
X198.149_3.205,0.995097368
X566.346_3.087,0.093112778
X607.227_2.771,0.56551298
X385.346_3.54,0.56551298
