filename,RA_75DPI
X137.046_0.35,0.055533692
X269.088_0.35,0.214273264
X169.036_0.375,0.006976381
X338.342_3.533,0.814651586
X387.181_2.767,0.093842354
X311.081_2.525,0.656971387
X228.196_2.71,0.524898884
X404.207_2.768,0.178174531
X496.341_2.926,1
X310.31_3.391,0.326386158
X228.196_3.321,1
X285.022_2.394,0.919690613
X336.326_3.156,0.261522554
X524.372_3.04,0.402487459
X596.357_2.948,0.486110159
X409.162_2.768,0.326386158
X244.191_2.61,0.249267175
X624.388_3.054,0.48379194
X226.181_2.61,0.382633049
X238.1_2.259,0.214273264
X226.181_3.32,0.989724472
X244.191_3.324,0.963732839
X638.403_3.073,0.676124072
X287.018_2.395,0.605573259
X489.228_2.768,0.213084479
X110.021_5.865,0.800558489
X312.326_3.521,0.652150176
X610.372_2.951,0.402487459
X110.021_6.211,0.209371417
X580.361_2.989,1
X183.15_2.549,0.654431476
X637.306_3.32,0.296698576
X146.981_3.86,1
X105.07_2.767,0.185795465
X352.321_3.187,0.797967448
X432.238_2.769,0.238251605
X200.165_3.207,0.759863191
X267.123_2.767,0.48379194
X200.165_2.552,0.402487459
X126.022_0.338,0.968006197
X608.393_3.098,0.402487459
X666.434_3.024,0.699115194
X123.056_0.323,0.48379194
X240.097_2.259,0.169665304
X522.357_2.957,0.644448566
X482.325_3.027,0.656971387
X308.295_3.045,0.326386158
X258.206_2.778,0.402487459
X650.44_3.113,0.261522554
X333.063_2.524,0.759863191
X594.377_3,0.48379194
X282.279_3.26,0.935581668
X285.133_2.768,0.200780865
X790.38_2.768,0.213084479
X582.341_3.046,0.688145416
X622.409_3.109,1
X100.076_2.546,0.261522554
X366.373_3.699,0.755185231
X401.342_3.422,0.877948335
X340.357_3.733,0.402487459
X636.388_2.978,0.605573259
X214.181_2.634,0.802430896
X198.15_2.471,0.759863191
X132.102_0.307,0.01423816
X113.964_6.456,0.845242311
X110.021_5.953,0.845242311
X369.352_3.849,0.326386158
X369.17_2.767,0.214273264
X568.341_2.887,0.164147345
X221.111_2.312,0.174551836
X321.315_3.533,0.658956905
X208.17_3.328,0.849163156
X694.465_3.135,1
X216.196_2.567,0.48379194
X313.077_2.525,0.835562198
X354.337_3.278,0.989724472
X216.16_2.471,1
X137.046_0.42,0.51998543
X111.092_5.384,0.623118931
X652.382_2.947,0.402487459
X520.341_2.89,0.093842354
X425.136_2.773,0.743729062
X795.335_2.768,0.402487459
X280.263_3.169,0.214273264
X256.264_3.225,0.828009502
X198.186_3.331,0.640390021
X113.964_6.627,0.805416643
X111.092_5.093,0.807683258
X256.227_2.847,1
X295.227_3.017,0.410086802
X111.092_4.634,0.261522554
X454.294_2.917,0.48379194
X122.072_5.438,0.553934603
X432.238_2.839,0.857936107
X554.31_2.942,0.402487459
X544.34_2.89,0.152462283
X103.956_5.525,1
X646.408_3.051,0.326386158
X232.191_2.63,0.709103414
X308.295_3.285,1
X524.335_2.977,0.326386158
X680.414_3.051,0.599552482
X666.433_3.092,0.989724472
X230.248_2.715,1
X678.469_3.244,0.341361791
X224.084_2.236,0.261522554
X281.102_2.768,0.493160781
X526.294_2.877,0.48379194
X301.285_2.662,1
X216.16_3.213,0.380504399
X375.199_2.868,0.35458472
X283.118_2.713,0.152462283
X664.419_3.086,0.48379194
X343.296_2.691,0.602414998
X608.393_3.002,0.054957853
X550.351_3.01,0.601238722
X324.29_3.082,0.990410775
X128.118_5.106,0.169665304
X694.465_3.092,1
X175.148_2.71,0.48379194
X278.248_3.1,0.29301699
X266.173_2.61,0.316039044
X250.178_2.71,0.720205446
X198.149_3.205,0.839235362
X566.346_3.087,0.48379194
X607.227_2.771,0.429399329
X385.346_3.54,0.48379194
X334.31_3.1,0.789934688
X650.366_2.938,1
X272.222_2.957,0.48379194
X272.222_2.809,0.326386158
X340.285_3.14,0.721683572
X734.57_3.377,0.470290258
X191.143_3.329,0.846970982
X622.408_3.044,0.326386158
X198.185_2.612,0.656971387
X113.964_6.749,0.849163156
X173.132_3.332,0.656971387
X296.258_2.976,0.368217484
X324.326_3.469,0.261522554
X568.361_2.947,0.396402663
X319.3_3.156,0.13278466
X199.989_2.374,0.723965391
X678.471_3.228,0.863250604
X622.372_2.977,0.878946641
X334.311_3.335,0.952488835
X480.309_2.951,0.963732839
X502.294_2.879,0.48379194
X786.601_3.279,0.802430896
X650.402_3.006,0.436040967
X674.439_3.163,0.739362995
X184.074_0.312,0.326386158
X113.964_1.584,0.839235362
X175.148_3.322,0.846970982
X385.346_3.401,0.820186789
X113.964_1.491,0.721683572
X636.423_3.105,0.820137313
X209.177_3.331,0.695793128
X387.192_2.843,0.518283121
X113.964_1.63,0.656971387
X474.249_2.887,0.164635304
X786.601_3.393,0.402487459
X128.118_4.636,0.465837179
X113.964_1.401,0.953135122
X678.398_3.039,0.701472598
X678.432_3.079,0.48379194
X660.424_3.08,0.164147345
X242.212_3.159,0.48379194
X694.429_3.054,0.48379194
X654.332_3.32,0.48379194
X416.337_2.79,0.824474935
X666.397_2.955,0.305482068
X414.14_2.772,0.48379194
X400.342_2.89,0.656971387
X212.165_2.546,0.971896493
X636.424_3.106,0.888810374
X801.313_2.768,0.128685727
X103.956_5.454,1
X991.673_2.928,0.430311216
X800.313_2.771,0.48379194
X668.413_2.991,0.48379194
X313.016_2.379,0.85436878
X538.315_2.977,0.560405316
X429.191_2.885,0.163956887
X606.378_3.022,0.829533296
X680.45_3.157,1
X692.414_2.985,0.647406078
X256.227_3.448,0.802430896
X1022.625_3.326,0.978720006
X254.212_2.739,0.829533296
X230.175_2.591,0.398917217
X180.175_2.611,0.48379194
X446.218_2.884,0.214273264
X620.393_3.029,0.701472598
X692.412_3.038,0.829533296
X313.144_3.062,0.265688733
X152.995_6.215,0.093842354
X397.379_3.191,0.326386158
X326.306_3.148,0.523198893
X790.558_3.336,0.911528515
X205.017_5.778,0.402487459
X172.133_3.109,0.48379194
X158.962_2.362,0.904095764
X460.269_2.772,0.214273264
X652.383_2.943,0.800558489
X374.303_3.189,0.402487459
X172.134_2.343,0.402487459
X670.393_2.893,0.13278466
X510.356_2.983,0.966772884
X109.023_5.881,0.51564821
X242.212_2.78,0.966772884
X654.398_2.907,0.261522554
X149.082_4.832,0.919690613
X153.041_0.336,0.326386158
X254.212_2.792,0.890448924
X402.358_2.884,1
X221.06_2.396,0.402487459
X650.403_3.074,1
X476.24_2.164,0.493160781
X688.455_3.179,0.807683258
X329.316_2.758,0.48379194
X123.079_4.851,1
X664.382_2.957,0.48379194
X787.668_3.596,1
X680.413_3.014,0.884656611
X156.011_2.395,0.656971387
X622.372_3.037,0.818609981
X705.225_2.339,0.213084479
X166.087_0.522,0.682922486
X371.327_2.803,0.48379194
X652.418_3.02,0.72865914
X676.419_3.043,0.889383398
X682.363_3.329,0.402487459
X141.959_6.151,1
X153.041_0.412,0.664559306
X370.332_3.032,0.402487459
X277.216_3.018,0.48379194
X306.279_2.989,0.29301699
X240.196_2.728,0.953135122
X518.322_2.93,0.375502852
X475.989_2.164,0.48379194
X705.141_2.339,0.054957853
X668.377_2.925,0.402487459
X596.393_3.06,0.656971387
X652.418_3.078,0.491222046
X554.288_2.924,0.877948335
X103.956_5.227,0.48379194
X367.336_3.39,0.845242311
X662.402_3.017,0.48379194
X676.454_3.145,0.214273264
X440.359_2.985,0.261522554
X226.081_2.237,0.261522554
X718.429_3.009,0.380455711
X120.102_0.391,0.48379194
X103.956_4.386,1
X142.035_0.315,0.48379194
X482.361_2.958,0.831138905
X426.358_2.916,0.867225538
X119.049_2.77,0.402487459
X383.331_3.501,0.48379194
X332.218_2.237,0.559954002
X149.082_4.735,0.627008444
X566.382_3.018,0.932896661
X285.217_3.322,0.906861537
X638.439_3.025,0.430311216
X368.316_2.962,0.602414998
X268.227_2.861,0.402487459
X682.429_3.009,0.374484611
X698.423_2.997,0.214273264
X142.948_0.306,0.48379194
X254.212_3.447,0.672061208
X289.014_2.395,0.665384948
X696.445_3.083,0.822069898
X638.366_2.95,0.48379194
X776.253_2.398,0.402487459
X311.221_2.932,0.80175903
X732.444_2.968,0.48379194
X296.146_2.932,0.48379194
