filename,RVB_75DPI
X137.046_0.35,0.125393857
X269.088_0.35,0.179334774
X169.036_0.375,0.03657295
X338.342_3.533,0.678099861
X387.181_2.767,0.139878555
X311.081_2.525,0.463318533
X228.196_2.71,0.580735432
X404.207_2.768,0.179334774
X496.341_2.926,0.011732452
X310.31_3.391,0.179334774
X228.196_3.321,0.161613652
X285.022_2.394,0.500280149
X336.326_3.156,0.463318533
X524.372_3.04,0.161613652
X596.357_2.948,0.03657295
X409.162_2.768,0.24071962
X244.191_2.61,0.26129673
X624.388_3.054,0.674914148
X226.181_2.61,0.260510786
X238.1_2.259,0.24071962
X226.181_3.32,0.125393857
X244.191_3.324,0.086418091
X638.403_3.073,0.660802131
X287.018_2.395,0.881458043
X489.228_2.768,0.26129673
X110.021_5.865,0.187671662
X610.372_2.951,0.362119939
X110.021_6.211,0.209438158
X183.15_2.549,0.519663917
X637.306_3.32,0.161613652
X146.981_3.86,0.385901433
X105.07_2.767,0.126711339
X352.321_3.187,0.608820757
X432.238_2.769,0.161613652
X200.165_3.207,0.76822628
X267.123_2.767,0.154880967
X200.165_2.552,0.359370773
X126.022_0.338,0.956251417
X608.393_3.098,0.26129673
X666.434_3.024,0.362119939
X123.056_0.323,0.463318533
X240.097_2.259,0.26129673
X522.357_2.957,0.03657295
X482.325_3.027,0.05026703
X308.295_3.045,0.553618884
X650.44_3.113,0.742977866
X333.063_2.524,0.335742689
X594.377_3,0.580735432
X282.279_3.26,0.02723714
X285.133_2.768,0.206703789
X790.38_2.768,0.223804139
X582.341_3.046,0.956251417
X622.409_3.109,0.050241137
X100.076_2.546,0.463318533
X401.342_3.422,0.385901433
X636.388_2.978,0.050241137
X214.181_2.634,0.312650888
X198.15_2.471,0.335742689
X132.102_0.307,0.014147135
X113.964_6.456,0.362119939
X110.021_5.953,0.927169556
X369.352_3.849,1
X369.17_2.767,0.26129673
X568.341_2.887,0.013925614
X221.111_2.312,0.047201925
X321.315_3.533,1
X208.17_3.328,0.107084181
X216.196_2.567,0.126711339
X313.077_2.525,0.362119939
X354.337_3.278,0.362119939
X216.16_2.471,0.26129673
X137.046_0.42,0.740867879
X111.092_5.384,0.577981605
X520.341_2.89,0.125393857
X425.136_2.773,0.26129673
X795.335_2.768,0.24071962
X256.264_3.225,0.169487884
X198.186_3.331,0.125393857
X113.964_6.627,0.463318533
X111.092_5.093,0.781494196
X256.227_2.847,0.725397178
X295.227_3.017,0.928770311
X111.092_4.634,0.634276227
X454.294_2.917,0.014042367
X122.072_5.438,0.924944897
X432.238_2.839,0.463318533
X554.31_2.942,0.179334774
X544.34_2.89,0.161613652
X103.956_5.525,0.463318533
X646.408_3.051,0.038062054
X232.191_2.63,0.463318533
X308.295_3.285,1
X680.414_3.051,0.597851517
X230.248_2.715,0.496834052
X224.084_2.236,0.634276227
X281.102_2.768,0.359370773
X526.294_2.877,0.005763888
X216.16_3.213,0.463318533
X375.199_2.868,0.725397178
X283.118_2.713,0.052019868
X664.419_3.086,0.204377271
X343.296_2.691,0.99981895
X608.393_3.002,0.048251536
X550.351_3.01,0.463318533
X324.29_3.082,0.463318533
X128.118_5.106,0.463318533
X175.148_2.71,0.463318533
X278.248_3.1,0.500280149
X266.173_2.61,0.359370773
X250.178_2.71,0.853925442
X198.149_3.205,1
X566.346_3.087,0.463318533
X607.227_2.771,0.463318533
X385.346_3.54,0.26129673
X272.222_2.957,0.179334774
X272.222_2.809,0.463318533
X340.285_3.14,0.927169556
X734.57_3.377,0.885809141
X191.143_3.329,0.065995946
X622.408_3.044,0.797723217
X113.964_6.749,0.463318533
X173.132_3.332,0.463318533
X324.326_3.469,0.362119939
X568.361_2.947,0.119573324
X319.3_3.156,0.463318533
X199.989_2.374,0.463318533
X678.471_3.228,0.8501625
X622.372_2.977,0.050241137
X334.311_3.335,0.26129673
X480.309_2.951,0.118055492
X502.294_2.879,0.097093228
X674.439_3.163,0.354409708
X184.074_0.312,0.26129673
X175.148_3.322,0.122244703
X385.346_3.401,0.463318533
X209.177_3.331,0.463318533
X387.192_2.843,0.726632079
X474.249_2.887,0.125393857
X786.601_3.393,0.26129673
X128.118_4.636,1
X678.398_3.039,0.463318533
X660.424_3.08,0.138592702
X242.212_3.159,0.634276227
X694.429_3.054,0.634276227
X654.332_3.32,0.125393857
X416.337_2.79,0.927169556
X414.14_2.772,0.362119939
X400.342_2.89,0.138592702
X212.165_2.546,0.463318533
X636.424_3.106,0.463318533
X801.313_2.768,0.363689508
X991.673_2.928,0.011732452
X800.313_2.771,0.362119939
X668.413_2.991,0.179334774
X313.016_2.379,0.260510786
X538.315_2.977,0.187671662
X429.191_2.885,0.179334774
X606.378_3.022,0.038062054
X680.45_3.157,0.740867879
X692.414_2.985,0.125393857
X256.227_3.448,0.26129673
X1022.625_3.326,0.362119939
X254.212_2.739,0.362119939
X230.175_2.591,0.726632079
X180.175_2.611,0.125393857
X446.218_2.884,0.087702273
X620.393_3.029,0.765602559
X313.144_3.062,0.553618884
X152.995_6.215,0.660802131
X397.379_3.191,0.927169556
X326.306_3.148,1
X205.017_5.778,0.645596642
X172.133_3.109,0.463318533
X158.962_2.362,0.463318533
X652.383_2.943,0.125393857
X374.303_3.189,0.471850574
X172.134_2.343,0.463318533
X670.393_2.893,0.02723714
X510.356_2.983,0.023253635
X109.023_5.881,0.859962095
X242.212_2.78,0.76822628
X654.398_2.907,0.02723714
X149.082_4.832,0.299788754
X153.041_0.336,1
X254.212_2.792,0.463318533
X402.358_2.884,0.463318533
X221.06_2.396,0.797723217
X650.403_3.074,0.187671662
X476.24_2.164,0.924944897
X688.455_3.179,0.083714868
X123.079_4.851,0.927169556
X622.372_3.037,0.03657295
X705.225_2.339,0.471850574
X166.087_0.522,0.463318533
X371.327_2.803,0.726632079
X652.418_3.02,0.020089089
X676.419_3.043,0.024549941
X682.363_3.329,0.634276227
X153.041_0.412,1
X370.332_3.032,0.362119939
X277.216_3.018,0.927169556
X306.279_2.989,1
X518.322_2.93,0.083714868
X475.989_2.164,1
X705.141_2.339,0.634276227
X596.393_3.06,1
X652.418_3.078,0.362119939
X554.288_2.924,2.27E-05
X367.336_3.39,0.227923807
X676.454_3.145,0.463318533
X440.359_2.985,0.787319327
X226.081_2.237,0.476180191
X718.429_3.009,0.083714868
X120.102_0.391,0.914756497
X142.035_0.315,0.853925442
X482.361_2.958,0.022382544
X426.358_2.916,0.107084181
X119.049_2.77,0.463318533
X149.082_4.735,0.26129673
X566.382_3.018,0.036134654
X285.217_3.322,0.059746154
X368.316_2.962,0.463318533
X268.227_2.861,0.107084181
X682.429_3.009,0.452254183
X158.962_2.581,0.389782676
X142.948_0.306,0.362119939
X254.212_3.447,0.03657295
X289.014_2.395,0.463318533
X696.445_3.083,0.362119939
X638.366_2.95,0.463318533
X776.253_2.398,0.465423053
X720.445_3.09,0.223804139
X272.222_3.45,0.362119939
X293.211_2.931,0.67630053
X192.125_4.749,1
X230.176_2.586,0.463318533
X238.142_2.469,0.956594027
X534.286_3.175,0.362119939
X158.962_2.089,0.462731495
X192.125_4.994,0.463318533
X396.332_2.991,0.500280149
X594.341_2.975,0.463318533
X428.374_2.971,0.856594369
X652.419_3.146,0.856594369
X368.316_3.329,0.362119939
X303.232_3.023,0.374528773
X478.294_2.879,0.402924678
X303.305_3.549,0.362119939
X114.092_2.075,0.600965016
X254.212_3.319,0.069182183
X632.393_3.152,0.050241137
X810.601_3.479,0.362119939
X186.15_2.46,0.362119939
X484.385_2.982,0.362119939
X708.409_2.912,0.028014346
X114.092_0.357,0.463318533
X150.059_0.3,0.014042367
X776.2_2.398,0.95516552
X245.175_3.33,0.03657295
X352.357_3.617,0.179334774
X819.378_2.399,0.389782676
X494.324_2.861,0.463318533
X120.066_0.596,0.634276227
X108.045_2.395,0.335742689
X138.995_6.301,1
X114.092_2.178,0.687829034
X245.175_2.611,0.463318533
X114.092_6.756,0.506666935
X125.016_2.257,0.24071962
X114.092_0.768,0.463318533
X620.356_2.913,0.596008093
X212.165_2.546.1,0.463318533
X718.428_2.956,0.362119939
X867.458_2.398,0.896394509
X638.367_3.032,0.223804139
X412.211_2.304,0.125393857
X564.331_3.008,0.292014823
X708.445_3.006,0.050241137
X114.092_1.405,0.283118733
X694.428_2.938,0.06376902
X666.399_2.952,0.179334774
X439.121_2.673,0.177786971
X114.092_1.255,0.156314343
X349.037_2.524,0.362119939
X444.369_2.876,0.463318533
X241.567_2.774,0.463318533
X107.061_4.811,0.463318533
X114.092_1.976,0.688758578
X114.092_1.058,0.96477982
X432.281_2.268,0.726632079
X716.45_3.129,0.125393857
X114.092_1.761,0.765395029
X818.59_3.473,0.463318533
X149.082_4.686,0.425700183
X441.136_2.721,0.927169556
X648.422_3.047,0.463318533
X350.305_3.132,0.463318533
X690.434_3.14,0.185087533
X819.267_2.398,0.95516552
X267.207_3.326,0.179334774
X192.125_4.795,0.463318533
X430.223_2.769,0.240711951
X158.922_0.304,0.678099861
X283.019_0.327,0.273191181
X704.45_3.153,0.463318533
X170.154_3.216,0.26129673
X674.439_3.065,0.745662742
X703.575_5.592,0.050241137
X618.339_2.931,0.463318533
X788.544_3.358,0.083714868
X437.374_2.96,0.927169556
X776.306_2.398,0.402924678
X114.092_2.607,0.792759123
X634.372_2.992,0.179334774
X536.335_2.767,0.430123766
X828.538_3.267,0.463318533
X165.983_5.608,0.463318533
X328.915_6.381,0.463318533
X277.216_2.857,0.396117932
X306.279_3.212,1
X224.012_5.885,0.496181773
X819.322_2.398,0.739174908
X289.945_0.301,0.463318533
X722.461_3.045,0.26129673
X207.058_2.248,0.179334774
X596.335_2.935,0.050241137
X169.978_2.574,0.463318533
X810.602_5.596,0.083714868
X351.253_2.927,0.179334774
X604.362_2.948,0.553618884
X552.33_2.721,0.463318533
X732.445_3.025,0.463318533
X526.432_3.181,1
X298.2_2.676,0.26129673
X353.269_2.902,0.200126191
X130.534_5.957,0.362119939
X155.991_6.367,0.935994845
X479.152_2.786,0.15801736
X748.439_2.944,0.02723714
X816.574_3.495,0.463318533
X114.092_2.659,0.978063482
X202.109_5.277,1
X159.969_1.167,0.726632079
X705.621_2.412,0.12302512
X159.969_1.214,1
X224.012_6.219,0.678099861
X224.012_6.019,0.463318533
X340.321_3.334,0.463318533
X155.991_6.023,0.362119939
X224.012_6.146,0.634276227
X224.012_6.302,0.726632079
X125.071_5.026,0.710661683
X159.969_1.264,0.362119939
X788.616_5.598,0.463318533
X482.406_3.188,1
X584.357_2.977,0.463318533
X177.114_5.324,0.463318533
X186.149_2.502,0.463318533
X130.534_5.896,0.26129673
X170.154_3.329,0.059746154
X486.097_2.773,0.156675401
X811.309_2.773,0.393451074
X223.056_2.398,0.463318533
X253.009_0.331,0.463318533
X640.382_3.01,0.26129673
X867.399_2.399,0.740424199
X339.032_2.412,0.642673332
