"","fch","pval","pAdj"
"X137.046_0.35",1.4204585716435,0.0145191723023937,0.125393857161387
"X269.088_0.35",1.56638155268236,0.0343774118070878,0.179334774304834
"X169.036_0.375",0,0.00152295328439113,0.0365729498072307
"X338.342_3.533",0.464459336093454,0.577155449664142,0.678099860753598
"X387.181_2.767",1.25168562402667,0.0209023068445138,0.139878555309294
"X311.081_2.525",1.10328441218651,0.232811909318818,0.463318532942829
"X228.196_2.71",0.930285472491703,0.460958749211566,0.580735432077563
"X404.207_2.768",1.24861115992486,0.0329436416982427,0.179334774304834
"X496.341_2.926",0.491304597531357,4.79701256973137e-05,0.0117324515460095
"X310.31_3.391",0.517659271646408,0.0328281500039048,0.179334774304834
"X228.196_3.321",0.780366111249861,0.026313790538109,0.161613651702104
"X285.022_2.394",1.07917926920653,0.389233298727313,0.500280148572127
"X336.326_3.156",1.10048858516362,0.267097024243296,0.463318532942829
"X524.372_3.04",0.581641041093588,0.0263540443400591,0.161613651702104
"X596.357_2.948",0.635344067582716,0.00118667446462527,0.0365729498072307
"X409.162_2.768",1.23233336351678,0.0555296397209032,0.240719620464999
"X244.191_2.61",0.775223079754568,0.0742044999172241,0.261296730253014
"X624.388_3.054",1.04152637388832,0.566774494589651,0.674914147819882
"X226.181_2.61",0.776791084788482,0.0612792417000994,0.260510785971437
"X238.1_2.259",0.618555289841685,0.0555296397209032,0.240719620464999
"X226.181_3.32",0.73079405285614,0.0164317222193857,0.125393857161387
"X244.191_3.324",0.685956187426606,0.00864180912639655,0.0864180912639655
"X638.403_3.073",1.06084652235812,0.55154450614939,0.660802131261353
"X287.018_2.395",0.984194418402923,0.80633377841523,0.881458043484972
"X489.228_2.768",1.39453069343906,0.0674961538838424,0.261296730253014
"X110.021_5.865",2.48525745789916,0.0405057124043336,0.187671662232889
"X610.372_2.951",0.75013813483091,0.126147401015694,0.36211993918563
"X110.021_6.211",6.27197141571968,0.0460525948666844,0.209438157533241
"X183.15_2.549",1.31869484901876,0.406577962641103,0.519663917391678
"X637.306_3.32",1.27729068523067,0.0263540443400591,0.161613651702104
"X146.981_3.86",1.46716362046562,0.17716383975607,0.385901433132034
"X105.07_2.767",1.27082704956385,0.0185537262328588,0.126711338517804
"X352.321_3.187",0.935477939562454,0.486364763954452,0.608820757154933
"X432.238_2.769",1.39733816514326,0.0263540443400591,0.161613651702104
"X200.165_3.207",0.990071407049923,0.682673807575057,0.768226279624105
"X267.123_2.767",1.25824012622819,0.0234961466635103,0.154880966770705
"X200.165_2.552",1.23679336726797,0.115978749531323,0.359370773195649
"X126.022_0.338",1.01219171873778,0.902462275054423,0.95625141727621
"X608.393_3.098",1.15699484993806,0.0674961538838424,0.261296730253014
"X666.434_3.024",0.549092869513089,0.133545957613565,0.36211993918563
"X123.056_0.323",Inf,0.350647889704459,0.463318532942829
"X240.097_2.259",0.608428215126575,0.0674961538838424,0.261296730253014
"X522.357_2.957",0.626074865254433,0.00118667446462527,0.0365729498072307
"X482.325_3.027",0.328924304956524,0.0036743109353476,0.0502670301242616
"X308.295_3.045",1.04266964002734,0.436289427525659,0.553618884243086
"X650.44_3.113",1.01275008115933,0.65287003041307,0.742977865576059
"X333.063_2.524",1.2126700311276,0.106445693561888,0.335742689370829
"X594.377_3",1.02540119545027,0.460958749211566,0.580735432077563
"X282.279_3.26",0.0890252584029333,0.000529120461801723,0.027237140212155
"X285.133_2.768",1.26805670908271,0.0453338990979227,0.206703788633015
"X790.38_2.768",1.306136350681,0.0502223733334571,0.223804139208338
"X582.341_3.046",0.950209242160056,0.902462275054423,0.95625141727621
"X622.409_3.109",1.47596875131971,0.0031553753566973,0.0502411368139535
"X100.076_2.546",1.36429126931471,0.31295857609281,0.463318532942829
"X401.342_3.422",0.617065500556879,0.17716383975607,0.385901433132034
"X636.388_2.978",0.639316808800209,0.00270187403718162,0.0502411368139535
"X214.181_2.634",0.778652481192847,0.0975257598239064,0.312650887595766
"X198.15_2.471",0.671999938839791,0.106445693561888,0.335742689370829
"X132.102_0.307",0.595691362573725,0.000112534032261475,0.0141471354842997
"X113.964_6.456",0,0.164394222391658,0.36211993918563
"X110.021_5.953",2.02722919729461,0.866717430312698,0.927169555530124
"X369.352_3.849",0.600225896681926,1,1
"X369.17_2.767",1.28445088132861,0.0742044999172241,0.261296730253014
"X568.341_2.887",0.471793005727374,7.12105247685755e-05,0.0139256137325214
"X221.111_2.312",0.667735022869872,0.00230645771025736,0.0472019252331738
"X321.315_3.533",0.518814783704326,0.972006675490599,1
"X208.17_3.328",0.46056886282501,0.0112236303549372,0.1070841813913
"X216.196_2.567",0.626939427684437,0.0185537262328588,0.126711338517804
"X313.077_2.525",1.12221837422017,0.148479991170565,0.36211993918563
"X354.337_3.278",0,0.164394222391658,0.36211993918563
"X216.16_2.471",0.641837624533669,0.0741730942009567,0.261296730253014
"X137.046_0.42",1.04917797743453,0.647838446890927,0.740867879485401
"X111.092_5.384",1.17657731119283,0.458116101646013,0.577981604944073
"X520.341_2.89",0.677130191395468,0.0145191723023937,0.125393857161387
"X425.136_2.773",0,0.0797251955374254,0.261296730253014
"X795.335_2.768",1.23311791206817,0.0555296397209032,0.240719620464999
"X256.264_3.225",0.233716329325826,0.0278306810035529,0.169487884312294
"X198.186_3.331",0.515861921290603,0.0143069814529673,0.125393857161387
"X113.964_6.627",Inf,0.350647889704459,0.463318532942829
"X111.092_5.093",0.696664377176515,0.695352222477702,0.78149419639895
"X256.227_2.847",0.962500640760729,0.623594278712037,0.725397178144868
"X295.227_3.017",1.02568743648777,0.870194456435353,0.928770311295465
"X111.092_4.634",0.482948714611218,0.522939793311869,0.634276227268982
"X454.294_2.917",0.434985716210691,8.97899863277855e-05,0.0140423671142995
