filename,RVT_75DPI
X137.046_0.35,0.349431239
X269.088_0.35,0.479480181
X338.342_3.533,0.760468593
X387.181_2.767,0.072313944
X311.081_2.525,0.127521147
X228.196_2.71,0.479480181
X404.207_2.768,0.033999104
X496.341_2.926,0.019875057
X228.196_3.321,0.806288922
X285.022_2.394,0.349431239
X336.326_3.156,0.019215057
X524.372_3.04,0.32420317
X596.357_2.948,0.229147465
X409.162_2.768,0.041924233
X244.191_2.61,0.409073995
X624.388_3.054,0.32801656
X226.181_2.61,0.409073995
X238.1_2.259,0.095737311
X226.181_3.32,0.546551383
X244.191_3.324,0.479480181
X638.403_3.073,0.324988493
X287.018_2.395,0.32801656
X489.228_2.768,0.168795987
X110.021_5.865,0.767024791
X610.372_2.951,0.760468593
X110.021_6.211,0.553959505
X183.15_2.549,0.914708158
X637.306_3.32,0.018850843
X146.981_3.86,0.742281267
X105.07_2.767,0.072313944
X352.321_3.187,0.32420317
X432.238_2.769,0.065224684
X200.165_3.207,0.479480181
X267.123_2.767,0.061674778
X200.165_2.552,0.409073995
X126.022_0.338,0.916860535
X608.393_3.098,0.040112247
X666.434_3.024,0.186228718
X240.097_2.259,0.095737311
X522.357_2.957,0.151985545
X482.325_3.027,0.095737311
X308.295_3.045,0.023073336
X650.44_3.113,0.02896759
X333.063_2.524,0.155652141
X594.377_3,0.019875057
X282.279_3.26,1
X285.133_2.768,0.086148029
X790.38_2.768,0.139645073
X582.341_3.046,0.521259983
X622.409_3.109,0.018850843
X100.076_2.546,0.902687259
X366.373_3.699,0.479480181
X401.342_3.422,0.968228564
X636.388_2.978,0.409073995
X214.181_2.634,0.428268641
X198.15_2.471,0.809951091
X132.102_0.307,0.040112247
X113.964_6.456,0.229147465
X110.021_5.953,1
X369.352_3.849,0.490105694
X369.17_2.767,0.139645073
X568.341_2.887,0.041924233
X221.111_2.312,0.02896759
X321.315_3.533,0.801182998
X208.17_3.328,0.760468593
X694.465_3.135,0.657687463
X216.196_2.567,0.409073995
X313.077_2.525,0.229147465
X354.337_3.278,0.742952488
X216.16_2.471,0.672453824
X137.046_0.42,0.573677035
X111.092_5.384,0.32420317
X652.382_2.947,0.479480181
X520.341_2.89,0.222457994
X795.335_2.768,0.155652141
X256.264_3.225,0.409073995
X198.186_3.331,0.977844115
X113.964_6.627,1
X111.092_5.093,0.801182998
X256.227_2.847,0.573677035
X295.227_3.017,0.239444969
X111.092_4.634,1
X454.294_2.917,0.072313944
X122.072_5.438,0.729731855
X432.238_2.839,0.842969326
X554.31_2.942,0.977913486
X544.34_2.89,0.409073995
X646.408_3.051,0.32420317
X232.191_2.63,0.409073995
X308.295_3.285,0.362475455
X680.414_3.051,0.32420317
X230.248_2.715,0.150714754
X224.084_2.236,0.349431239
X281.102_2.768,0.095737311
X526.294_2.877,0.02896759
X216.16_3.213,0.837643379
X375.199_2.868,0.409073995
X283.118_2.713,0.479480181
X664.419_3.086,1
X608.393_3.002,0.368181972
X550.351_3.01,0.479480181
X324.29_3.082,0.628894619
X175.148_2.71,0.477559053
X278.248_3.1,0.023073336
X266.173_2.61,0.409073995
X250.178_2.71,0.479480181
X198.149_3.205,0.699076322
X566.346_3.087,0.742952488
X607.227_2.771,1
X385.346_3.54,0.703525834
X272.222_2.957,0.890608664
X272.222_2.809,0.479480181
X340.285_3.14,0.409073995
X734.57_3.377,0.733109749
X191.143_3.329,0.703525834
X570.341_2.875,0.479480181
X622.408_3.044,0.066919365
X198.185_2.612,0.409073995
X113.964_6.749,1
X173.132_3.332,0.742952488
X324.326_3.469,0.479480181
X568.361_2.947,0.703525834
X319.3_3.156,0.066919365
X199.989_2.374,0.479480181
X678.471_3.228,0.229147465
X622.372_2.977,0.760468593
X334.311_3.335,0.806288922
X480.309_2.951,0.406774615
X502.294_2.879,0.409073995
X786.601_3.279,1
X674.439_3.163,0.968228564
X184.074_0.312,0.409073995
X175.148_3.322,0.848666863
X385.346_3.401,0.479480181
X209.177_3.331,0.479480181
X387.192_2.843,0.657687463
X474.249_2.887,0.477559053
X786.601_3.393,1
X128.118_4.636,0.479480181
X678.398_3.039,0.409073995
X660.424_3.08,0.806288922
X242.212_3.159,0.795366759
X694.429_3.054,0.479480181
X654.332_3.32,0.019875057
X416.337_2.79,0.834281481
X414.14_2.772,1
X400.342_2.89,0.506466052
X212.165_2.546,0.760468593
X636.424_3.106,0.428268641
X801.313_2.768,0.786984745
X991.673_2.928,0.010180657
X800.313_2.771,0.479480181
X313.016_2.379,0.127521147
X538.315_2.977,0.479480181
X429.191_2.885,0.061674778
X606.378_3.022,0.573677035
