"","fch","pval","pAdj"
"X137.046_0.35",1.29110731802277,0.0891947730984869,0.349431239232516
"X269.088_0.35",1.10696624771233,0.324548174828994,0.479480181448909
"X338.342_3.533",0.555261992773842,0.654481403615645,0.76046859280502
"X387.181_2.767",1.37671629929388,0.00426618476107663,0.0723139436729029
"X311.081_2.525",1.17554320150451,0.0127990313408827,0.127521146696096
"X228.196_2.71",0.817573087067909,0.267097024243296,0.479480181448909
"X404.207_2.768",1.37539934809336,0.000834090178852782,0.0339991044332372
"X496.341_2.926",0.624147118595726,0.000140358097525025,0.0198750573113856
"X228.196_3.321",1.05709163649215,0.708303228612127,0.80628892213883
"X285.022_2.394",1.15564009440768,0.0891947730984869,0.349431239232516
"X336.326_3.156",1.35229901712395,7.12105247685755e-05,0.0192150570741461
"X524.372_3.04",0.708301663463759,0.0612792417000994,0.324203170451478
"X596.357_2.948",0.809954402612139,0.0329436416982427,0.229147464703284
"X409.162_2.768",1.38066249963678,0.00166521486418813,0.0419242330513248
"X244.191_2.61",0.699825499546306,0.160685472537209,0.409073995253661
"X624.388_3.054",1.19286575199718,0.0814293446671917,0.328016560165252
"X226.181_2.61",0.685678232930869,0.160685472537209,0.409073995253661
"X238.1_2.259",0.578726823110519,0.00656805240310701,0.0957373105419802
"X226.181_3.32",0.923853570801321,0.412375778055245,0.546551383470229
"X244.191_3.324",0.947655011856113,0.262699945349632,0.479480181448909
"X638.403_3.073",2.12478969226532,0.0801081450080166,0.324988493492238
"X287.018_2.395",1.16410418965966,0.0814293446671917,0.328016560165252
"X489.228_2.768",1.52058411699254,0.0209023068445138,0.168795987348149
"X110.021_5.865",0.776291926387588,0.661738093472012,0.767024790808452
"X610.372_2.951",1.00940988470011,0.65287003041307,0.76046859280502
"X110.021_6.211",0.609423445806783,0.419028947823661,0.55395950476765
"X183.15_2.549",1.02126302886,0.835343541746091,0.914708158384975
"X637.306_3.32",1.45907909354202,3.43223641017469e-05,0.0188508428964053
"X146.981_3.86",1.59697756367276,0.618278672029981,0.742281266841043
"X105.07_2.767",1.34084365736707,0.00426618476107663,0.0723139436729029
"X352.321_3.187",1.14371015353771,0.0674961538838424,0.324203170451478
"X432.238_2.769",1.45915109091937,0.0031553753566973,0.06522468357164
"X200.165_3.207",1.15389145761691,0.290142802354035,0.479480181448909
"X267.123_2.767",1.37917260210642,0.00270187403718162,0.0616747780220657
"X200.165_2.552",1.20261112440704,0.160685472537209,0.409073995253661
"X126.022_0.338",1.02089696106855,0.838134776780856,0.916860535366662
"X608.393_3.098",1.34184050170664,0.00140811946967693,0.0401122465058094
"X666.434_3.024",1.46508876687156,0.0234961466635103,0.186228717999675
"X240.097_2.259",0.559551343008406,0.00754354504894096,0.0957373105419802
"X522.357_2.957",0.632504187336622,0.0164317222193857,0.151985545318778
"X482.325_3.027",0.491386790993799,0.00754354504894096,0.0957373105419802
"X308.295_3.045",1.27799744959075,0.000323457982051286,0.0230733360529917
"X650.44_3.113",1.54183029899924,0.000478140702610511,0.0289675901583466
"X333.063_2.524",1.25473672867989,0.0185537262328588,0.15565214072742
"X594.377_3",1.48703870844574,0.000140358097525025,0.0198750573113856
"X282.279_3.26",0.921470587485371,1,1
"X285.133_2.768",1.35704200359612,0.00570350789517522,0.0861480288942981
"X790.38_2.768",1.43170947151215,0.0145191723023937,0.139645072930888
"X582.341_3.046",1.08513348667018,0.389233298727313,0.52125998279329
"X622.409_3.109",1.73994093162724,4.40440254588908e-05,0.0188508428964053
"X100.076_2.546",1.06382950587666,0.818851234042438,0.9026872586482
"X366.373_3.699",0.130039342768803,0.261466305877338,0.479480181448909
"X401.342_3.422",0.87182361369463,0.900927629609061,0.968228563647653
"X636.388_2.978",0.832561048551321,0.115978749531323,0.409073995253661
"X214.181_2.634",0.669278629531851,0.173608899884423,0.428268640637078
"X198.15_2.471",1.02417292520167,0.712965124764759,0.80995109064185
"X132.102_0.307",0.722941034432658,0.00118667446462527,0.0401122465058094
"X113.964_6.456",0.0801154802034217,0.0335165782642333,0.229147464703284
"X110.021_5.953",0.921261449644715,0.972006675490599,1
"X369.352_3.849",0.851024605378821,0.36096164232305,0.490105693828598
"X369.17_2.767",1.42421312733303,0.0145191723023937,0.139645072930888
"X568.341_2.887",0.461439845763619,0.00166521486418813,0.0419242330513248
"X221.111_2.312",0.576770419569338,0.000478140702610511,0.0289675901583466
"X321.315_3.533",1.46897191241823,0.701503104397263,0.801182998484399
"X208.17_3.328",1.28584720541238,0.654749244038902,0.76046859280502
"X694.465_3.135",3.44755244755245,0.523998655936988,0.657687462583669
"X216.196_2.567",0.639685873016479,0.126147401015694,0.409073995253661
"X313.077_2.525",1.13782844934055,0.0329436416982427,0.229147464703284
"X354.337_3.278",0.764020700454743,0.632724724175418,0.742952488195004
"X216.16_2.471",0.923410519467112,0.539298539584697,0.672453823575383
"X137.046_0.42",1.09521911067842,0.436289427525659,0.573677035271835
"X111.092_5.384",0,0.0797251955374254,0.324203170451478
"X652.382_2.947",0,0.350647889704459,0.479480181448909
"X520.341_2.89",0.710591039460154,0.0294964746728803,0.222457994008683
"X795.335_2.768",1.41854586081225,0.0185537262328588,0.15565214072742
"X256.264_3.225",0,0.164394222391658,0.409073995253661
"X198.186_3.331",0.299986285061727,0.916157686803492,0.977844114593253
"X113.964_6.627",0.82037389394441,1,1
"X111.092_5.093",2.45738829156935,0.701503104397263,0.801182998484399
"X256.227_2.847",0.853790734984853,0.436289427525659,0.573677035271835
"X295.227_3.017",1.4507282899228,0.040839912860907,0.239444968554359
"X111.092_4.634",0.869658043250997,1,1
"X454.294_2.917",0.475035321447459,0.00426618476107663,0.0723139436729029
"X122.072_5.438",0.938626271895577,0.602710772836824,0.729731855089564
"X432.238_2.839",1.13812192591177,0.749415487420956,0.842969326192297
"X554.31_2.942",0.951253731893169,0.917402104815946,0.977913486011285
"X544.34_2.89",0.772776098909005,0.126147401015694,0.409073995253661
"X646.408_3.051",0.697545440793612,0.0612792417000994,0.324203170451478
"X232.191_2.63",1.20444244196882,0.136974224446085,0.409073995253661
"X308.295_3.285",1.30455367271803,0.0929478533562106,0.362475455457477
"X680.414_3.051",1.45318071854736,0.0678732279668645,0.324203170451478
"X230.248_2.715",0.40596952530609,0.0160222460051533,0.150714753630893
"X224.084_2.236",0.712228293447435,0.0891947730984869,0.349431239232516
"X281.102_2.768",1.40639285589395,0.00754354504894096,0.0957373105419802
"X526.294_2.877",0.583743559901621,0.000577781284796198,0.0289675901583466
"X216.16_3.213",0.946836476269692,0.743702065375981,0.837643378897157
"X375.199_2.868",1.37010574118401,0.148479991170565,0.409073995253661
"X283.118_2.713",0.784192254769817,0.317614518465392,0.479480181448909
"X664.419_3.086",1.02561013424591,0.967417297543179,1
"X608.393_3.002",0.646297103310195,0.0950073993862305,0.368181971611071
"X550.351_3.01",0,0.350647889704459,0.479480181448909
"X324.29_3.082",1.12765486229607,0.486364763954452,0.628894619252282
"X175.148_2.71",0.738960988961833,0.201679436339622,0.477559052577362
"X278.248_3.1",1.38323326320663,0.000323457982051286,0.0230733360529917
"X266.173_2.61",0.697538714226807,0.148479991170565,0.409073995253661
"X250.178_2.71",0.853885876078261,0.285440870895821,0.479480181448909
"X198.149_3.205",1.15044602560905,0.566774494589651,0.699076321856975
"X566.346_3.087",0.957735516955386,0.623594278712037,0.742952488195004
"X607.227_2.771",3.58316666666667,1,1
"X385.346_3.54",0.358783510882143,0.573621189165499,0.703525833794898
"X272.222_2.957",1.13545615047261,0.80633377841523,0.890608663643144
