filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,X137.046_0.35
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,50,RA,A1,P125,0.006664225
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,50,RA,A2,P125,0.002528584
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,503,Group1A,naive,50,RA,A3,P125,0.010854722
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,504,Group1A,naive,50,RA,A4,P125,0.005616741
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,505,Group1A,naive,50,RA,A5,P125,0.006228317
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,521,Group1A,naive,50,RA,A6,P125,0.007750137
X522_Group1A_50dpi_RA_257_B_A7_P125.mzXML,522,Group1A,naive,50,RA,A7,P125,0.003262967
X523_Group1A_50dpi_RA_258_B_A8_P125.mzXML,523,Group1A,naive,50,RA,A8,P125,0.004930184
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,50,RA,A9,P125,0.009444258
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,50,RA,A10,P125,0.003574735
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,50,RA,A11,P125,0.00343298
X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML,542,Group1A,naive,50,RA,A12,P125,0.009963139
X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML,543,Group1A,naive,50,RA,B1,P125,0.011603406
X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML,544,Group1A,naive,50,RA,B2,P125,0.013426255
X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML,545,Group1A,naive,50,RA,B3,P125,0.006359306
X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML,506,Group1B,naive,75,RA,C7,P125,0.003128465
X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML,507,Group1B,naive,75,RA,C8,P125,0.006742665
X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML,508,Group1B,naive,75,RA,C9,P125,0.006006596
X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML,509,Group1B,naive,75,RA,C10,P125,0.002034493
X510_Group1B_70dpi_RA_285_B_C11_P125.mzXML,510,Group1B,naive,75,RA,C11,P125,0.002740138
X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML,526,Group1B,naive,75,RA,C12,P125,0.004842806
X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML,527,Group1B,naive,75,RA,D1,P125,0.009507703
X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML,528,Group1B,naive,75,RA,D2,P125,0.004542685
X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML,529,Group1B,naive,75,RA,D3,P125,0.008215031
X530_Group1B_70dpi_RA_290_B_D4_P125.mzXML,530,Group1B,naive,75,RA,D4,P125,0.003985793
X546_Group1B_70dpi_RA_291_B_D5_P125.mzXML,546,Group1B,naive,75,RA,D5,P125,0.005537906
X547_Group1B_70dpi_RA_292_B_D6_P125.mzXML,547,Group1B,naive,75,RA,D6,P125,0.005108516
X548_Group1B_70dpi_RA_293_B_D7_P125.mzXML,548,Group1B,naive,75,RA,D7,P125,0.006089803
X549_Group1B_70dpi_RA_294_B_D8_P125.mzXML,549,Group1B,naive,75,RA,D8,P125,0.010509363
X550_Group1B_70dpi_RA_295_B_D9_P125.mzXML,550,Group1B,naive,75,RA,D9,P125,0.005751
X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,511,Group1C,naive,142,RA,A1,P124,0.017388134
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,512,Group1C,naive,142,RA,A2,P124,0.006245212
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,513,Group1C,naive,142,RA,A3,P124,0.00731098
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,514,Group1C,naive,142,RA,A4,P124,0.008845441
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,515,Group1C,naive,142,RA,A5,P124,0.009564851
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,531,Group1C,naive,142,RA,A6,P124,0.009178352
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,532,Group1C,naive,142,RA,A7,P124,0.010109724
