filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,DPI_50,LA,A1,P121,0.000569214
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,DPI_50,LV_bottom,A1,P133,0.002987575
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,DPI_50,LV_top,A1,P129,0.001364371
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,DPI_50,RA,A1,P125,0.000944156
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,DPI_50,RV_bottom,A1,P141,0.024538733
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,DPI_50,RV_top,A1,P137,0.000273748
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,DPI_50,LA,A2,P121,0.004448955
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,DPI_50,LV_bottom,A2,P133,0.000376124
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,DPI_50,LV_top,A2,P129,0.000359177
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,DPI_50,RA,A2,P125,0.003293008
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,DPI_50,RV_bottom,A2,P141,0.003565225
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,502,Group1A,naive,DPI_50,RV_top,A2,P137,0.000396923
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,DPI_50,LA,A3,P121,0.01088485
X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML,503,Group1A,naive,DPI_50,LV_bottom,A3,P133,0.000392436
X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML,503,Group1A,naive,DPI_50,LV_top,A3,P129,0.000934255
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,503,Group1A,naive,DPI_50,RA,A3,P125,0.002768824
X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML,503,Group1A,naive,DPI_50,RV_bottom,A3,P141,0.0003116
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,503,Group1A,naive,DPI_50,RV_top,A3,P137,0.0000406
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,504,Group1A,naive,DPI_50,LA,A4,P121,0.004549381
X504_Group1A_50dpi_LV_bottom_254_B_A4_P133.mzXML,504,Group1A,naive,DPI_50,LV_bottom,A4,P133,0.00029027
X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML,504,Group1A,naive,DPI_50,LV_top,A4,P129,0.000335982
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,504,Group1A,naive,DPI_50,RA,A4,P125,0.003315529
X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML,504,Group1A,naive,DPI_50,RV_bottom,A4,P141,0.00326234
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,504,Group1A,naive,DPI_50,RV_top,A4,P137,0.001474421
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,505,Group1A,naive,DPI_50,LA,A5,P121,0.006787306
X505_Group1A_50dpi_LV_bottom_255_B_A5_P133.mzXML,505,Group1A,naive,DPI_50,LV_bottom,A5,P133,0.000767165
X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML,505,Group1A,naive,DPI_50,LV_top,A5,P129,0.000662891
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,505,Group1A,naive,DPI_50,RA,A5,P125,0.002373393
X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML,505,Group1A,naive,DPI_50,RV_bottom,A5,P141,0.028324386
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,505,Group1A,naive,DPI_50,RV_top,A5,P137,0.000274512
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,521,Group1A,naive,DPI_50,LA,A6,P121,0.009900984
X521_Group1A_50dpi_LV_bottom_256_B_A6_P133.mzXML,521,Group1A,naive,DPI_50,LV_bottom,A6,P133,0.000740446
X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML,521,Group1A,naive,DPI_50,LV_top,A6,P129,0.001401562
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,521,Group1A,naive,DPI_50,RA,A6,P125,0.0001695
X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML,521,Group1A,naive,DPI_50,RV_bottom,A6,P141,0.012080991
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,521,Group1A,naive,DPI_50,RV_top,A6,P137,0.000128641
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,522,Group1A,naive,DPI_50,LA,A7,P121,0.009399541
X522_Group1A_50dpi_LV_bottom_257_B_A7_P133.mzXML,522,Group1A,naive,DPI_50,LV_bottom,A7,P133,0.000726133
X522_Group1A_50dpi_LV_top_257_B_A7_P129.mzXML,522,Group1A,naive,DPI_50,LV_top,A7,P129,0.000531056
X522_Group1A_50dpi_RA_257_B_A7_P125.mzXML,522,Group1A,naive,DPI_50,RA,A7,P125,0.00044544
X522_Group1A_50dpi_RV_bottom_257_B_A7_P141.mzXML,522,Group1A,naive,DPI_50,RV_bottom,A7,P141,0.000472773
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,522,Group1A,naive,DPI_50,RV_top,A7,P137,0.002324911
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,523,Group1A,naive,DPI_50,LA,A8,P121,0.001118359
X523_Group1A_50dpi_LV_bottom_258_B_A8_P133.mzXML,523,Group1A,naive,DPI_50,LV_bottom,A8,P133,0.000641371
X523_Group1A_50dpi_LV_top_258_B_A8_P129.mzXML,523,Group1A,naive,DPI_50,LV_top,A8,P129,0.00084642
X523_Group1A_50dpi_RA_258_B_A8_P125.mzXML,523,Group1A,naive,DPI_50,RA,A8,P125,0.000480412
X523_Group1A_50dpi_RV_bottom_258_B_A8_P141.mzXML,523,Group1A,naive,DPI_50,RV_bottom,A8,P141,0
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,523,Group1A,naive,DPI_50,RV_top,A8,P137,0.000072
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,524,Group1A,naive,DPI_50,LA,A9,P121,0.001817576
X524_Group1A_50dpi_LV_bottom_259_B_A9_P133.mzXML,524,Group1A,naive,DPI_50,LV_bottom,A9,P133,0.000641218
X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML,524,Group1A,naive,DPI_50,LV_top,A9,P129,0.000341689
X524_Group1A_50dpi_RA_259_B_A9_P125.mzXML,524,Group1A,naive,DPI_50,RA,A9,P125,0.000437603
X524_Group1A_50dpi_RV_bottom_259_B_A9_P141.mzXML,524,Group1A,naive,DPI_50,RV_bottom,A9,P141,0.000316815
X524_Group1A_50dpi_RV_top_259_B_A9_P137.mzXML,524,Group1A,naive,DPI_50,RV_top,A9,P137,0.010487334
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,525,Group1A,naive,DPI_50,LA,A10,P121,0.0008903
X525_Group1A_50dpi_LV_bottom_260_B_A10_P133.mzXML,525,Group1A,naive,DPI_50,LV_bottom,A10,P133,0.000491308
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,naive,DPI_50,LV_top,A10,P129,0.000410303
X525_Group1A_50dpi_RA_260_B_A10_P125.mzXML,525,Group1A,naive,DPI_50,RA,A10,P125,0.000565451
X525_Group1A_50dpi_RV_bottom_260_B_A10_P141.mzXML,525,Group1A,naive,DPI_50,RV_bottom,A10,P141,0.010119978
X525_Group1A_50dpi_RV_top_260_B_A10_P137.mzXML,525,Group1A,naive,DPI_50,RV_top,A10,P137,0.000652513
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,541,Group1A,naive,DPI_50,LA,A11,P121,0.006749407
X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML,541,Group1A,naive,DPI_50,LV_bottom,A11,P133,0.000390869
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,naive,DPI_50,LV_top,A11,P129,0.004450451
X541_Group1A_50dpi_RA_261_B_A11_P125.mzXML,541,Group1A,naive,DPI_50,RA,A11,P125,0.006066992
X541_Group1A_50dpi_RV_bottom_261_B_A11_P141.mzXML,541,Group1A,naive,DPI_50,RV_bottom,A11,P141,0.006528178
X541_Group1A_50dpi_RV_top_261_B_A11_P137.mzXML,541,Group1A,naive,DPI_50,RV_top,A11,P137,0.010065618
