number,group,well,burden,position,position_group
191,BNZ,C7,0.45663244,LVT,LVT_Group15
192,BNZ,C8,0.025155573,LVT,LVT_Group15
193,BNZ,C9,0,LVT,LVT_Group15
194,BNZ,C10,0.0035597,LVT,LVT_Group15
195,BNZ,C11,8.541528437,LVT,LVT_Group15
217,BNZ,E9,0,LVT,LVT_Group15
218,BNZ,E10,0.071621237,LVT,LVT_Group15
219,BNZ,E11,0.30514629,LVT,LVT_Group15
241,BNZ,G9,0.005955148,LVT,LVT_Group15
242,BNZ,G10,0,LVT,LVT_Group15
243,BNZ,G11,0.198735508,LVT,LVT_Group15
244,BNZ,G12,0.120849713,LVT,LVT_Group15
245,BNZ,H1,0.608614955,LVT,LVT_Group15
191,BNZ,C7,0.240732869,LVB,LVB_Group15
192,BNZ,C8,1.62E-05,LVB,LVB_Group15
193,BNZ,C9,0,LVB,LVB_Group15
194,BNZ,C10,0.903746032,LVB,LVB_Group15
195,BNZ,C11,0.353150111,LVB,LVB_Group15
216,BNZ,E8,0.327869835,LVB,LVB_Group15
217,BNZ,E9,0,LVB,LVB_Group15
218,BNZ,E10,0.144788611,LVB,LVB_Group15
219,BNZ,E11,0.006743645,LVB,LVB_Group15
220,BNZ,E12,0.021928913,LVB,LVB_Group15
241,BNZ,G9,2.22E-08,LVB,LVB_Group15
242,BNZ,G10,1.82E-08,LVB,LVB_Group15
243,BNZ,G11,0.003602461,LVB,LVB_Group15
244,BNZ,G12,4.08E-06,LVB,LVB_Group15
245,BNZ,H1,4.32E-06,LVB,LVB_Group15
631,BNZ,C7,0.183972821,RVT,RVT_Group15
632,BNZ,C8,0.001404988,RVT,RVT_Group15
633,BNZ,C9,2.300672752,RVT,RVT_Group15
634,BNZ,C10,0.080893281,RVT,RVT_Group15
635,BNZ,C11,0,RVT,RVT_Group15
716,BNZ,E8,1.619223568,RVT,RVT_Group15
717,BNZ,E9,0,RVT,RVT_Group15
718,BNZ,E10,0.020963446,RVT,RVT_Group15
719,BNZ,E11,0.013488648,RVT,RVT_Group15
720,BNZ,E12,0,RVT,RVT_Group15
801,BNZ,G9,0.048974899,RVT,RVT_Group15
802,BNZ,G10,0,RVT,RVT_Group15
803,BNZ,G11,0.15948951,RVT,RVT_Group15
804,BNZ,G12,0.045194757,RVT,RVT_Group15
805,BNZ,H1,9237.220521,RVT,RVT_Group15
631,BNZ,C7,0,RVB,RVB_Group15
632,BNZ,C8,0,RVB,RVB_Group15
633,BNZ,C9,0.355439581,RVB,RVB_Group15
634,BNZ,C10,0,RVB,RVB_Group15
635,BNZ,C11,0.582376224,RVB,RVB_Group15
716,BNZ,E8,0.738741647,RVB,RVB_Group15
717,BNZ,E9,0,RVB,RVB_Group15
718,BNZ,E10,0.006252732,RVB,RVB_Group15
719,BNZ,E11,0.668123983,RVB,RVB_Group15
720,BNZ,E12,0.308459167,RVB,RVB_Group15
801,BNZ,G9,6.673204456,RVB,RVB_Group15
802,BNZ,G10,0.295423991,RVB,RVB_Group15
803,BNZ,G11,0,RVB,RVB_Group15
804,BNZ,G12,13.92112183,RVB,RVB_Group15
805,BNZ,H1,0.805883004,RVB,RVB_Group15
181,combo,B9,71.96341065,LVT,LVT_Group9
182,combo,B10,17.25667406,LVT,LVT_Group9
183,combo,B11,2.84957486,LVT,LVT_Group9
184,combo,B12,35.77276909,LVT,LVT_Group9
185,combo,C1,0.11677423,LVT,LVT_Group9
206,combo,D10,32.13619122,LVT,LVT_Group9
207,combo,D11,317.304785,LVT,LVT_Group9
208,combo,D12,2176.01111,LVT,LVT_Group9
209,combo,E1,11888.91724,LVT,LVT_Group9
232,combo,F12,6.689335754,LVT,LVT_Group9
233,combo,G1,6.893174592,LVT,LVT_Group9
234,combo,G2,6.408549339,LVT,LVT_Group9
235,combo,G3,1077.05927,LVT,LVT_Group9
181,combo,B9,2.435549537,LVB,LVB_Group9
182,combo,B10,0.046976705,LVB,LVB_Group9
183,combo,B11,0,LVB,LVB_Group9
184,combo,B12,1.103177824,LVB,LVB_Group9
185,combo,C1,0,LVB,LVB_Group9
206,combo,D10,2366.132589,LVB,LVB_Group9
207,combo,D11,1200.223383,LVB,LVB_Group9
208,combo,D12,72.70608039,LVB,LVB_Group9
209,combo,E1,381.2153079,LVB,LVB_Group9
210,combo,E2,25668.01249,LVB,LVB_Group9
231,combo,F11,2.234211611,LVB,LVB_Group9
232,combo,F12,29179.92358,LVB,LVB_Group9
233,combo,G1,1.74573277,LVB,LVB_Group9
234,combo,G2,221.9937008,LVB,LVB_Group9
235,combo,G3,51.63551116,LVB,LVB_Group9
611,combo,B9,41.58557299,RVT,RVT_Group9
612,combo,B10,0.006434323,RVT,RVT_Group9
613,combo,B11,4.504776778,RVT,RVT_Group9
614,combo,B12,15.89505262,RVT,RVT_Group9
615,combo,C1,0.526709182,RVT,RVT_Group9
696,combo,D10,1976.941749,RVT,RVT_Group9
697,combo,D11,7.365602182,RVT,RVT_Group9
698,combo,D12,665.8613933,RVT,RVT_Group9
699,combo,E1,28.56445354,RVT,RVT_Group9
700,combo,E2,58.66228435,RVT,RVT_Group9
781,combo,F11,145.0347957,RVT,RVT_Group9
782,combo,F12,454.8946208,RVT,RVT_Group9
783,combo,G1,14.80573584,RVT,RVT_Group9
784,combo,G2,2.796442283,RVT,RVT_Group9
785,combo,G3,1180.626771,RVT,RVT_Group9
611,combo,B9,79.35438756,RVB,RVB_Group9
612,combo,B10,0,RVB,RVB_Group9
613,combo,B11,249.8623607,RVB,RVB_Group9
614,combo,B12,305.3931613,RVB,RVB_Group9
615,combo,C1,0,RVB,RVB_Group9
696,combo,D10,116.8069412,RVB,RVB_Group9
697,combo,D11,251.1686984,RVB,RVB_Group9
698,combo,D12,176.0093309,RVB,RVB_Group9
699,combo,E1,140.1631383,RVB,RVB_Group9
700,combo,E2,19138.81372,RVB,RVB_Group9
781,combo,F11,0.040537542,RVB,RVB_Group9
782,combo,F12,119.3885643,RVB,RVB_Group9
783,combo,G1,6340.732444,RVB,RVB_Group9
784,combo,G2,70.50812926,RVB,RVB_Group9
785,combo,G3,34.04612375,RVB,RVB_Group9
177,infected,B5,4728.70433,LVT,LVT_Group3E
