filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.31,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.361_2.989,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,50,LV_bottom,A1,P133,0.000113896,5.55E-05,0.001584755,0,0,0.000262579,0,0.012748645,0.016161359,0.000340765,0,0.000458951,0.000666852,0.004589512,0.001396467,0.000529559,0.000659007,0.000435415,0.000232857,0.000251524,0,3.08E-05,0,0.000263061,3.67E-05,0,0.000396189,3.69E-05,0,0,0.000175515,0.000144679,0.000127969,0,3.25E-05,0,5.57E-05,0.000431493,0.000400111,0,0.000203209,0,0.001212102,0.004314926,0,0,0.000404034,0.000180037,0.000261788,0,0,0.000386374,0,0.000235094,3.67E-05
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,50,LV_bottom,A2,P133,0.000107264,0.000105971,0.001721545,3.94E-05,0,0.000523215,0,0.010182993,0.010773719,0.000206336,0,0.000340371,0.000340371,0.001237712,0.001533075,0.000697619,0.001445873,0.000202745,0.000145738,0.000103882,0,0.000265289,0,0.000317867,3.40E-05,0.000115763,0.000169317,0,0,0,0.00024586,0.000187405,3.92E-05,2.23E-05,0,4.81E-05,7.13E-05,0.000368501,0.000399443,0,0.00045289,0,0.001538701,0.007735699,0,4.74E-05,0.000796074,0.000627295,0.000248807,0,0,0.000593539,0,0.00029255,9.75E-05
X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML,503,Group1A,50,LV_bottom,A3,P133,0.000187128,0.000170697,0.001970934,4.67E-05,6.51E-05,0.00048349,0,0.014732233,0.009356959,9.26E-05,0,0.000242785,0.000509087,0.001060835,0.001643867,0.000762208,0.001894144,0.000175412,0.000221745,7.11E-05,0,0.000773584,0,0.000449362,0.000115643,5.47E-05,0.000228047,0,0.000131723,0,0.000205308,0.00028378,0.000149127,5.36E-05,0,0.000131302,9.92E-05,0.000631381,0.00066551,0,0.000531839,0,0.001783226,0.007280795,0,0,0.00086175,0.000844686,0.000229072,0,0,0.000676886,0,0.000338443,0.000112702
X504_Group1A_50dpi_LV_bottom_254_B_A4_P133.mzXML,504,Group1A,50,LV_bottom,A4,P133,9.08E-05,3.87E-05,0.002576021,0,0,0.000619915,0,0.011884386,0.00857603,0.000372592,0,0.000199191,0.000719487,0.000777303,0.001891866,0.000937903,0.001837262,0.000214421,0.000187018,9.36E-05,0,0.001153107,0,0.000497859,0,2.31E-05,0.000220567,0,2.89E-05,0,0.00019947,0.000122073,3.73E-05,0.000102986,0,0,0,0.000185252,0.000191348,0,0.000774091,0,0.002248397,0.010310508,0,3.75E-05,0.001275162,0.000758031,0.000138566,0,0,0.000976447,0,0.000481799,0.000118108
X505_Group1A_50dpi_LV_bottom_255_B_A5_P133.mzXML,505,Group1A,50,LV_bottom,A5,P133,0.000276728,0.000378937,0.00255504,0,0,0.000601841,0,0.010225732,0.009696334,0.00016115,2.01E-05,0.000216316,0.000390082,0.00084425,0.002106445,0.001083872,0.001407083,0.000207954,0.000187123,0.000124612,0,0.000498748,0,0.000571192,0.000103689,2.48E-05,0.000147705,0,0.000143821,2.32E-05,0.000378937,0.000292562,0.00010406,8.40E-05,0,8.75E-05,4.63E-05,0.000540543,0.000579551,0,0.00073837,0,0.001783234,0.008637539,0,3.50E-05,0.001028146,0.000810814,0.000180128,0,0,0.001030932,0,0.000434663,0.000142849
X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML,506,Group1B,70,LV_bottom,C7,P133,0.001409797,0.001447644,0.004478549,0.000188592,0,0.000646551,0,0.007790152,0.007947848,0.000285994,6.00E-05,0.000299628,0.000558242,0.00082317,0.00343776,0.001772496,0.0011701,0.000184561,0.00026575,8.37E-05,0,0.000321699,0,0.001078636,0.000106734,5.16E-05,3.43E-05,0,7.18E-05,0,0.001677879,0.000190484,4.36E-05,0.000106304,0,3.45E-05,3.75E-05,0.000495164,0.000479394,0,0.002415893,0,0.001078636,0.011227912,0,0.000217525,0.00129941,0.000665475,0.000153074,0,0,0.002198274,2.84E-05,0.000990327,0.000223318
X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML,507,Group1B,70,LV_bottom,C8,P133,0.000515422,0.00083842,0.004432631,0.000143051,0,0.000632251,0,0.012713748,0.00766261,0.000195938,3.70E-05,0.000202361,0.000611634,0.000412338,0.003676678,0.001917371,0.001178599,0.000196342,0.000126724,2.81E-05,0,0.000429518,0,0.001116748,0,2.90E-05,0,0,0,0,0.000707846,8.30E-05,0,0.00012858,0,0,0,5.97E-05,9.96E-05,0,0.002278166,0,0.001127057,0.012473217,0,0.00016131,0.001291992,0.000542911,0.000112543,0,0,0.002041072,0,0.001041153,0.000200489
X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML,508,Group1B,70,LV_bottom,C9,P133,0.000774459,0.000849517,0.0035823,9.14E-05,0,0.000699402,0,0.011633947,0.01470449,0.00027666,8.20E-05,2.14E-05,0.000798341,0.000948457,0.00306372,0.001733151,0.001610329,0.000209444,0.000194275,0.000176685,0,0.000328648,0,0.000982574,0.000113091,3.78E-05,0.000134554,0,0.000107987,3.76E-05,0.001108807,0.000294297,4.94E-05,0.000127412,0,0.000158811,0.00010093,0.000583403,0.000614109,0,0.002671373,0.000655049,0.000822223,0.012179822,0,0.000188502,0.001163395,0.000771048,0.0001351,0,0,0.002101616,4.06E-05,0.000979162,0.000229303
X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML,509,Group1B,70,LV_bottom,C10,P133,0.000599557,0.000401556,0.004302703,0.000129528,0,0.000235595,0,0.013445945,0.011991138,0.000281516,0.000101256,0.000674502,0.000718587,0.001886841,0.003707554,0.001988237,0.000428182,0.000265511,0.00018071,9.12E-05,0,0,0,0.001137395,0,4.59E-05,0.000289316,0,0,0,0.000454076,0,0,0.00017969,3.77E-05,0,0,6.92E-05,0.000118887,0,0.003354874,0,0.000373292,0.008684758,0,0.000445259,0.00036321,5.82E-05,0.000149554,0,0,0.002794993,0.000105215,0.001613513,0.000164214
X510_Group1B_70dpi_LV_bottom_285_B_C11_P133.mzXML,510,Group1B,70,LV_bottom,C11,P133,0.000373626,0.000150701,0.004178753,0,0,0.000630918,0,0.01473583,0.013785131,0.000249025,3.96E-05,0.000483992,0.00063524,0.002735419,0.003184841,0.001620509,0.000881557,0.000224189,0.00029688,8.14E-05,0,0,0,0.001006876,0,3.54E-05,0.00028882,0,0,0,0.000176989,4.16E-05,0,0.000116573,0,0,0,0.000188969,0.000208063,0,0.001996467,0,0.000492635,0.008556288,0,0.000277267,0.000527206,0.000234896,0.000200001,0,0,0.001806328,3.52E-05,0.00101984,0.000220756
