filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X293.211_2.933,X440.337_2.765,X442.353_2.823,X141.091_1.54,X203.007_0.309,X240.116_2.324,X249.112_2.768,X272.222_2.957,X296.258_2.976,X311.221_2.932,X345.243_3.095,X366.373_3.699,X546.029_2.319,X607.227_2.771,X608.227_2.768,X690.434_3.14,X692.414_2.985,X708.445_3.006,X709.936_2.18,X720.445_3.09,X737.391_2.399,X776.042_2.398,X776.095_2.398,X776.148_2.398,X776.359_2.398,X819.433_2.399,X867.281_2.399
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,50,LV_top,A1,P129,0.000942504,0.000447375,0.000480049,0.000131098,0.000125275,0.00013234,0,0.000231074,0.000251334,0.000992771,0.000268928,0.000769083,4.33E-05,0,0,0.000138933,0.000235799,0.000653469,3.23E-05,2.33E-05,5.84E-05,4.93E-05,0.000138872,0.000253848,0.000171159,0.000136356,8.00E-05
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,50,LV_top,A2,P129,0.000650672,0.000230126,0.000174746,8.99E-05,0.000138598,0.000138131,0,0.000103791,0.000231446,0.00061469,0.000153024,0.000785604,4.27E-05,0,0,0,0.000206345,0.000449773,0,0,4.26E-05,4.65E-05,9.14E-05,0.000201915,0.000269092,0.000215898,0.000133221
X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML,503,Group1A,50,LV_top,A3,P129,0.000661073,0.000408493,0.000318063,9.12E-05,0.000218979,0,0,0.000106606,0,0.000654836,0.000146216,0.00095419,3.35E-05,0,0,0,0,0,0,2.45E-05,0,3.90E-05,7.75E-05,9.36E-05,9.59E-05,0.000142631,4.49E-05
X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML,504,Group1A,50,LV_top,A4,P129,0.000968471,0.00014124,0.000118863,0.000272425,0.000217896,3.17E-05,0,0.000339927,0.000241452,0.000971678,0.000215427,0.000583648,6.04E-05,0,0,8.63E-05,0.000493856,0.000830576,3.73E-05,0,0.000138596,0.000185464,0.00022702,0.00033672,0.000339927,0.000404064,0.000198435
X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML,505,Group1A,50,LV_top,A5,P129,0.001160561,0.00031697,0.000277037,0.000157981,0.00014075,0.000219801,0,0.000104933,0.000222219,0.001215469,0.000214737,0.00088602,4.48E-05,0,0,7.67E-05,0.000449249,0.000761228,2.26E-05,0.000183067,4.56E-05,4.40E-05,6.97E-05,0.000138405,0.000135024,0.000127188,5.28E-05
X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML,506,Group1B,70,LV_top,C7,P129,0.000848295,0.000806992,0.000927723,0.000209715,0.000278038,0.00021956,9.34E-05,0.00024057,0.000211591,0.000873712,0.00017998,0.000946786,4.70E-05,0,7.53E-05,0.00020864,0.000870535,0.000854649,0,0.000441622,0,0,0,4.97E-05,5.39E-05,4.39E-05,2.77E-05
X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML,507,Group1B,70,LV_top,C8,P129,0.000592176,0.000320887,0.000335046,0.00012848,0.00011225,0.000213081,9.11E-05,0.000151328,0.000279533,0.000592176,0,0.001271103,4.31E-05,4.09E-05,5.59E-05,0.000135173,0,0.000475249,0,0.000396041,0,0,0,0,0,0,0
X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML,508,Group1B,70,LV_top,C9,P129,0.000560827,0.000481035,0.00043088,0.000102451,0.000124345,0.000208119,2.84E-05,0.00015766,0.000239378,0,7.05E-05,0.001739477,0.000103688,0,2.53E-05,0.000232538,0.000355647,0.000510672,0,0.000284973,0,0,0,2.18E-05,0,2.93E-05,0
X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML,509,Group1B,70,LV_top,C10,P129,0.000791359,0.000550381,0.00083896,0.000138659,0.000241091,0.000264783,6.28E-05,0.000108034,0.000258241,0.000708058,0.000123307,0.001008537,0.000106076,0,3.26E-05,0.000166003,0.000722933,0.000714008,0,0.000213168,0,0,0,0,0,0,0
X510_Group1B_70dpi_LV_top_285_B_C11_P129.mzXML,510,Group1B,70,LV_top,C11,P129,0.000841378,0.000415621,0.00048658,6.01E-05,0.000121938,0.000302085,1.90E-05,0.000596061,0.000184571,0.000900173,0.000112858,0.000934639,8.37E-05,0,2.42E-05,0.000330469,0.000835296,0.000851515,3.01E-05,0.000462251,0,0,2.15E-05,2.98E-05,6.33E-05,3.38E-05,1.67E-05
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,Group1C,142,LV_top,A1,P128,0.000782811,6.66E-05,0,0.000150701,0.000253054,3.74E-05,0,0.00756717,0.000350953,0.000752368,0.000152189,0.000700181,8.11E-05,0,0,4.00E-05,0.000364239,0.000561014,0,0,8.32E-05,8.07E-05,0.00013599,0.000323401,0.000323462,0.000265376,9.90E-05
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,Group1C,142,LV_top,A2,P128,0.000543553,0,0,0.000360521,0.000326035,0,0,0.001526131,0.000377629,0.000448609,4.61E-05,0.000137152,7.10E-05,0,0,0,0.000333458,0.000621951,0,0,8.24E-05,0.000120213,0.000151179,0.000243702,0.000214309,0.000353256,0.000135352
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,Group1C,142,LV_top,A3,P128,0.000573921,0.000188732,5.51E-05,0.000115526,7.30E-05,0,0,0.003657633,0.000186536,0.000502553,0.000268739,0.001049711,0.000124626,0,0,5.71E-05,0.000198338,0.000582842,0,2.72E-05,4.20E-05,5.61E-05,0.000157763,0.000178871,0.000202296,0.000203821,9.23E-05
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,Group1C,142,LV_top,A4,P128,0.000671396,0,0,0.00024924,0.000333486,0,0,0.001514945,0.000306359,0.000682873,4.59E-05,6.30E-05,7.68E-05,0,0,5.34E-05,0.000369965,0.000774688,0,0.00015684,6.51E-05,7.42E-05,0.000248777,0.00030866,0.000307198,0.000339938,9.93E-05
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,Group1C,142,LV_top,A5,P128,0.000882907,9.16E-05,2.43E-05,0.000166425,0,3.27E-05,1.86E-05,0.001143819,0.000181573,0.000850293,0.000384379,0.000880578,0.000153374,0,0,0,4.75E-05,0.000321481,0,0,0.000196736,0.000188043,0.000370402,0.000512506,0.000582393,0.000442618,0.000209434
X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML,521,Group1A,50,LV_top,A6,P129,0.000858778,0.000378316,0.000324038,0.000242808,9.28E-05,5.02E-05,0,0.000238585,0.000194406,0.00088526,0.00012142,0.000979839,0,0,0,6.14E-05,0.000375008,0.000578824,3.78E-05,7.55E-05,0,3.17E-05,5.41E-05,0.000127113,0.000128715,7.36E-05,0
X522_Group1A_50dpi_LV_top_257_B_A7_P129.mzXML,522,Group1A,50,LV_top,A7,P129,0.000933724,0.000401229,0.000224486,0.000140639,0.000160574,0,3.95E-05,0.000359125,0,0.000938678,7.44E-05,0.000859423,3.20E-05,0,0,0.000220515,0,0,0,0.000284823,0,0,0,2.87E-05,2.64E-05,3.43E-05,0
X523_Group1A_50dpi_LV_top_258_B_A8_P129.mzXML,523,Group1A,50,LV_top,A8,P129,0.001359931,0.000338439,0.000390114,0.000205228,0.00037553,0,0,0.000169792,0.00025416,0.00129795,0.000353605,0.000437511,4.36E-05,0,0,7.57E-05,0,0.000714602,0,0.000358003,0,4.24E-05,4.99E-05,7.58E-05,7.66E-05,7.83E-05,5.18E-05
X524_Group1A_50dpi_LV_top_259_B_A9_P129.mzXML,524,Group1A,50,LV_top,A9,P129,0.001137261,0.000321292,0.000133367,0.000175559,0.000444113,0,0,0.000181441,0.00031742,0.001087454,0.000107205,0.000291726,0,0,0,8.83E-05,0.00078031,0.000489769,0,0.00024874,0,0,0,0,0,0,0
X525_Group1A_50dpi_LV_top_260_B_A10_P129.mzXML,525,Group1A,50,LV_top,A10,P129,0.000915151,0.000129635,5.22E-05,0.000139567,0.000174788,0.00011042,0,0.00016936,0.000212742,0.000874685,0.000143179,0.000594537,4.64E-05,0,0,9.04E-05,0.000687919,0.000585198,9.29E-05,0.000279163,3.32E-05,0,4.60E-05,6.76E-05,0.000117446,7.48E-05,3.86E-05
X526_Group1B_70dpi_LV_top_286_B_C12_P129.mzXML,526,Group1B,70,LV_top,C12,P129,0.000173129,0.000177823,0.000175163,0.000116706,0.000145214,0.000460539,0,0.000280197,0.000347864,0.00014086,0,0.000702517,0,0,0,0.0001167,0.00044883,0,0,8.75E-05,0.00011918,0.000108815,0.000314602,0.000425413,0.000405899,0.000456636,0.00024405
X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML,527,Group1B,70,LV_top,D1,P129,0.000766952,0.000303127,0.000392312,0,0.000133755,0.00015899,0,7.66E-05,0.000279297,0.000795226,0.000175783,0.000459464,4.21E-05,0,0,0,0.000228865,0.000445327,3.73E-05,0,0.000147554,0.00018995,0.000301477,0.000406449,0.000381709,0.000438258,0.000164828
X528_Group1B_70dpi_LV_top_288_B_D2_P129.mzXML,528,Group1B,70,LV_top,D2,P129,0.000745715,8.82E-05,0.000312504,0.000105746,0.000337291,5.32E-05,3.89E-05,0.000282947,0.000283087,0.000710622,0.000129052,0.000161883,0.000101703,0,0,0,0.000522,0.000345513,4.63E-05,5.13E-05,5.77E-05,5.94E-05,0.000125404,0.000145661,0.0001545,0.000136795,7.98E-05
X529_Group1B_70dpi_LV_top_289_B_D3_P129.mzXML,529,Group1B,70,LV_top,D3,P129,0.000609052,0,4.34E-05,0.000182847,0.000218295,0.000193287,4.47E-05,8.77E-05,0.000269896,0.000560773,3.33E-05,0.00071675,0,0,4.77E-05,0,0.00040851,0.000332767,5.13E-05,3.51E-05,4.90E-05,7.78E-05,9.79E-05,0.000254502,0.000220609,0.000195249,6.73E-05
X530_Group1B_70dpi_LV_top_290_B_D4_P129.mzXML,530,Group1B,70,LV_top,D4,P129,0.000518324,0.000994534,0.001221301,0.00021651,0.000165314,0.000112004,7.72E-05,0.000246728,0,0.000511845,0,0.001195385,0.000163792,0,3.22E-05,5.81E-05,0.000336911,0.000706216,0,0.000114409,0.000102819,0.000134885,0.0002005,0.00032383,0.000327192,0.000375785,0.000144607
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,531,Group1C,142,LV_top,A6,P128,0.000638694,7.23E-05,3.81E-05,0.000142641,0,3.77E-05,4.46E-05,0.004051929,0.000244947,0.000494473,0.000302178,0,0.000345673,2.02E-05,4.49E-05,7.50E-05,5.03E-05,0.000377722,0,0,0.000247236,0.000247236,0.000430374,0.000666165,0.000762312,0.00050363,0.000338805
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,532,Group1C,142,LV_top,A7,P128,0.00051052,0.000107743,4.79E-05,0.000148967,6.21E-05,0,0.00010948,0.000935383,0.000287227,0.000441994,6.58E-05,0.000493389,0,0,0.000138654,0.000400878,0.000465978,0,0,0.000326379,2.85E-05,0,6.77E-05,0.000117461,9.41E-05,0.000147904,4.28E-05
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,533,Group1C,142,LV_top,A8,P128,0.000350524,0.000112779,0.000128514,9.34E-05,0,0,6.53E-05,0.000541719,0.000184514,0.000307071,0,0.000938594,2.90E-05,0,8.30E-05,5.57E-05,0.000282801,0.000559101,3.47E-05,0,5.71E-05,0,0.000127218,0.000170687,0.00021334,0.0001741,7.82E-05
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,534,Group1C,142,LV_top,A9,P128,0.000555962,3.98E-05,0,0.000337194,0.00016656,0,0.000129534,0.000583531,0.000441417,0.00059272,8.39E-05,0.000234056,7.84E-05,0,0.000172031,0.000334229,0.000311522,0.000702994,0,0.000242589,4.90E-05,8.92E-05,0.000191145,0.000194474,0.000306018,0.000368797,0.000105409
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,535,Group1C,142,LV_top,A10,P128,0.000514501,0,0,0.000176902,0.000247122,0,0,0.000671746,0.000361244,0.000462607,0,0.000304768,0,0,4.73E-05,4.57E-05,0.000348892,0.000318932,0,0,7.35E-05,0.000160432,0.000190363,0.000308303,0.000324292,0.000337835,0.000196282
X541_Group1A_50dpi_LV_top_261_B_A11_P129.mzXML,541,Group1A,50,LV_top,A11,P129,0.000655818,0.00018661,0.000152808,0.00033006,0.000317511,7.92E-05,0,0.000437212,0.000353983,0,8.05E-05,0.00038419,0.000142267,0,0,3.46E-05,9.10E-05,4.35E-05,0,0,0,5.92E-05,6.34E-05,0.000166767,0.000201135,0.00013245,7.28E-05
X542_Group1A_50dpi_LV_top_262_B_A12_P129.mzXML,542,Group1A,50,LV_top,A12,P129,0.000579736,0.000122952,4.63E-05,0.000108039,0,2.84E-05,0,0.000132943,0.000239731,0,9.91E-05,0.001325992,3.38E-05,0,0,0.000218957,0.001190309,0.000952864,0,0.000638326,0,0,0,0,0,0,0
X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML,543,Group1A,50,LV_top,B1,P129,0.000932979,0.000239973,9.86E-05,6.25E-05,4.12E-05,9.55E-05,0,0.000136139,0,0.000946435,0.000123021,0.000522558,0.000121917,0,0,8.21E-05,0,0.000603296,0,8.53E-05,3.26E-05,3.58E-05,5.80E-05,0.00010255,0.000156674,7.50E-05,3.29E-05
X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML,544,Group1A,50,LV_top,B2,P129,0.000577189,0.000128438,7.92E-05,5.42E-05,9.87E-05,8.28E-05,0,0.000103186,0.000193372,0.000542557,0.000208505,0.001013543,0.000123691,0,0,9.06E-05,0.000293212,0.000641834,0,8.64E-05,3.65E-05,5.98E-05,7.65E-05,0.000178302,0.00014293,0.000141642,6.51E-05
X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML,545,Group1A,50,LV_top,B3,P129,0.000796806,0.000124365,4.26E-05,0.000129509,0.000106018,3.83E-05,1.87E-05,9.36E-05,0,0.000737584,2.22E-05,0.000726816,0.000136648,0,0,2.32E-05,0.000387635,0.00068913,0,5.67E-05,0,6.69E-05,7.88E-05,0.000109182,0.000174092,0.000170405,7.57E-05
X546_Group1B_70dpi_LV_top_291_B_D5_P129.mzXML,546,Group1B,70,LV_top,D5,P129,0.000347039,0.00064502,0.000465141,0.000169551,0,7.74E-05,3.80E-05,0.00011954,0,0.000392463,0,0,5.99E-05,1.84E-05,3.22E-05,0.000434253,0,0,1.67E-05,0.00029253,3.50E-05,3.58E-05,0.000187147,0.00016919,0.000147085,0.000134839,7.41E-05
X547_Group1B_70dpi_LV_top_292_B_D6_P129.mzXML,547,Group1B,70,LV_top,D6,P129,0,0,0,0,0,0,0.000314082,0.000197334,0.000655315,0,0,0,0,0.000226458,0.000380233,0,0,0,0,0,0,0,0,0,0,0,0
X548_Group1B_70dpi_LV_top_293_B_D7_P129.mzXML,548,Group1B,70,LV_top,D7,P129,0.000603496,4.89E-05,4.58E-05,0.000166176,0.000235974,0.000167804,0.000103072,0.00011842,0.000157157,0.000634287,0.000134789,0.000815952,3.98E-05,3.90E-05,0.000220619,0.000195948,0.000600417,0.00078824,3.54E-05,0.000409515,0,0,0,6.11E-05,6.57E-05,5.62E-05,0
X549_Group1B_70dpi_LV_top_294_B_D8_P129.mzXML,549,Group1B,70,LV_top,D8,P129,0.001005214,5.25E-05,5.04E-05,0.000117957,6.69E-05,0.000194236,9.13E-05,0.00016066,0.000264341,0.001081857,0.000104899,0.000666212,0,3.17E-05,0.000109441,0.000282579,0.0008195,0,0,0.000415645,0,0,0,3.38E-05,4.02E-05,4.16E-05,0
X550_Group1B_70dpi_LV_top_295_B_D9_P129.mzXML,550,Group1B,70,LV_top,D9,P129,0.000674094,0.000539275,0.000506819,0.000183496,0.000176981,0.000292107,6.92E-05,0.000126952,0.000272134,0.0006691,0,0.001073557,9.98E-05,2.22E-05,4.13E-05,0.000264644,0.000599194,0.000856349,0,0.000347033,0,0,0,0,0,0,0
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,551,Group1C,142,LV_top,A11,P128,0.000437632,7.20E-05,9.42E-05,0.000226969,6.50E-05,0,4.71E-05,0.000545247,0.000342466,0.000394586,0.000146066,0.00056677,0,2.69E-05,5.64E-05,0.000167903,0,0.000376651,0,0,5.85E-05,6.39E-05,0.000126389,0.000218605,0.000299814,0.000239741,0.000103383
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,552,Group1C,142,LV_top,A12,P128,0.000437429,0,0,0.000358059,0.000139934,0,0,0.000906517,0.000518914,0.000476836,8.31E-05,0,0,0,0,0.000294025,5.24E-05,0.00029165,0,0,0.000112275,0.000147264,0.00034958,0.000528022,0.000454245,0.000539593,0.000383944
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,553,Group1C,142,LV_top,B1,P128,0.000216699,5.76E-05,3.49E-05,0.000111176,2.11E-05,2.92E-05,0,0.000166369,0.000119757,9.12E-05,7.22E-05,0.001509903,0.000126154,0,0,1.48E-05,0,1.20E-05,1.61E-05,0,9.97E-05,0.000176155,0.000209709,0.000343922,0.000348116,0.00029499,0.000164971
X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML,554,Group1C,142,LV_top,B2,P128,0.000571513,0,0,0.000160133,0.000164546,7.27E-05,0,0.000585121,0.000246269,0.000521619,0.000126532,0.000188467,8.30E-05,0,5.35E-05,0.000113079,0.0002453,0.000675837,0,0,0.00013939,0.000286905,0.000512548,0.000625943,0.000807376,0.000625943,0.000319603
X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML,555,Group1C,142,LV_top,B3,P128,0.00055178,0.000135909,0.000106739,0.000141179,4.87E-05,3.47E-05,2.84E-05,0.000309823,0.000190907,0.000557681,0.00020216,0.001029793,9.39E-05,0,2.86E-05,7.87E-05,0.000182559,0.000460308,2.86E-05,0,6.03E-05,6.97E-05,0.000136097,0.000191824,0.000232803,0.000215891,6.57E-05
X561_Group3A_50dpi_LV_top_266_B_B4_P129.mzXML,561,Group3A,50,LV_top,B4,P129,0.000463869,0.000773726,0.000423532,0.000100079,7.75E-05,0.000254853,5.27E-05,0.000359361,0,0.000476703,1.39E-05,0.000616047,0.000107281,0,3.43E-05,0.000181803,0.0001822,0.000841564,2.39E-05,8.62E-05,0,0,0,2.28E-05,0,2.22E-05,2.46E-05
X562_Group3A_50dpi_LV_top_267_B_B5_P129.mzXML,562,Group3A,50,LV_top,B5,P129,0.000887612,0.000425442,0.000342802,0.000116717,2.32E-05,6.96E-05,2.41E-05,0.000119598,0.000181961,0.000912098,0.000258278,0.000909037,7.05E-05,0,0,0,0.000210471,0.000550932,0,0,2.69E-05,3.27E-05,4.64E-05,7.37E-05,0.000114256,9.68E-05,3.32E-05
X563_Group3A_50dpi_LV_top_268_B_B6_P129.mzXML,563,Group3A,50,LV_top,B6,P129,0.000638283,0.000467216,0.000297988,0.000112906,0.000116665,0.000229929,1.60E-05,3.62E-05,0,0.000627246,0,0.001839432,7.06E-05,0,0,0.000144034,0,0,0,8.10E-05,0,0,0,0,0,0,0
X564_Group3A_50dpi_LV_top_269_B_B7_P129.mzXML,564,Group3A,50,LV_top,B7,P129,0.000454363,0.000535019,0.000543084,0.000100069,0.000144047,0.00019073,5.00E-05,0.000107049,0.000236624,0.000510822,0.000191278,0.001099612,7.44E-05,0,0,0.000125104,0.000524265,0.000720528,2.58E-05,0.000208471,0,0,0,0,2.62E-05,0,0
