filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X268.105_0.35,X269.088_0.35,X111.044_2.768,X122.082_0.534,X130.087_0.452,X137.046_0.35,X142.035_0.315,X172.134_2.343,X175.148_2.71,X198.15_2.471,X200.165_3.207,X214.181_2.634,X216.16_2.471,X228.196_2.71,X230.176_2.586,X232.191_2.63,X242.212_2.78,X249.112_2.768,X256.227_2.847,X256.227_3.318,X258.207_2.775,X272.222_2.957,X278.248_3.1,X280.189_2.775,X280.264_3.159,X282.28_3.246,X296.259_2.971,X303.305_3.529,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X308.295_3.285,X324.327_3.455,X327.232_3.01,X333.063_2.524,X334.311_3.335,X352.321_3.187,X368.316_2.962,X368.317_3.315,X369.17_2.767,X399.394_3.159,X399.395_3.152,X489.228_2.768,X506.255_3.172,X530.289_2.929,X568.341_2.887,X570.357_2.934,X599.241_2.765,X602.344_2.984,X604.362_2.948,X637.306_3.32,X666.434_3.024,X705.141_2.339,X776.148_2.398,X776.253_2.398,X776.411_2.398,X792.329_2.764,X811.309_2.773,X811.31_2.767,X819.211_2.398,X819.322_2.398,X819.378_2.399
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,50,RV_top,A1,P137,0,0.004022035,0,0,0.003168378,0.016662716,0.0020931,0.000583324,0.001403608,0.000674741,0.004079492,0.004432447,0.000487634,0.07510534,9.86E-05,0.000522052,0.000474364,0,0.002076683,0,0.004810025,0.000248879,0.002355763,0.000224977,0.004030243,0.004079492,0.000968572,0,7.14E-05,8.86E-05,7.35E-05,0.004366781,0.001321526,0,0.000303299,0.010916952,0,0.004186199,0,0,0.000459645,7.42E-05,0,0.000540294,0.000102382,0.000195505,0.009357387,0.000521633,0,0.000202783,0.000389395,0.005893512,0.00022484,9.95E-05,0.000108608,0.000121317,0.000100891,0,0,0,0.000185438,9.76E-05,0.000122733
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,502,Group1A,50,RV_top,A2,P137,0,0.002537805,0,0.000350613,0.001833634,0.024332253,0.001478062,0.000157572,0.000794807,0.000222808,0.005026806,0.002656329,0.000121212,0.04824619,0.000158178,0.000360246,0.000282342,0,0.001408342,0,0.003618464,8.83E-05,0.00188941,0,0.002970069,0.004761871,0.000520155,0,8.32E-05,5.97E-05,0.000137603,0.003283808,0.001722082,6.82E-05,0.000456006,0.00927275,0.000193408,0.003353528,0,5.53E-05,0.001003967,0,0,0.001108547,6.67E-05,0.000211176,0.013734825,0.001080659,0.000158686,0.000244876,0.000630539,0.005466042,0.000421097,0.000114687,0.000149911,0.000120415,0.000156147,0,0.000137606,0,8.36E-05,0.000129866,8.79E-05
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,503,Group1A,50,RV_top,A3,P137,4.18E-05,0.001666071,0,0,0.002030699,0.012733944,0.001065837,0.000126896,0.000695599,0.000271035,0.003994083,0.002810443,0.000191759,0.04577488,0.000217731,0.000211733,0.000207074,0,0.00134071,0.000283533,0.004319444,0.00019984,0.001379978,7.69E-05,0.002485082,0.004145544,0.000462322,0,4.41E-05,5.75E-05,5.47E-05,0.002636543,0.001817532,0.000140835,0.000146562,0.007180374,0.000317432,0.003921157,0,0.000147865,0.000914376,4.75E-05,0,0.001408026,7.03E-05,0.00034307,0.008134017,0.000611454,0.000126982,0.000191454,0.00066755,0.004302615,0.000422097,9.13E-05,0.000163289,0.000240514,0,0,0.000124164,0,0.000138916,0.000310917,0.000187144
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,504,Group1A,50,RV_top,A4,P137,0,0.001933705,4.39E-05,0.000340542,0.002174604,0.019402159,0.001803489,0.000138332,0.000628443,0.000176097,0.003118669,0.001927194,9.60E-05,0.04140863,0.00015913,0.000329341,0.000238832,4.79E-05,0.001243561,0,0.003450719,0.000218223,0.001927194,0,0.003157734,0.003300971,0.000504229,0,6.90E-05,5.53E-05,0,0.002975432,0.00131518,0,0.000323278,0.007682734,7.17E-05,0.003418166,0,0,0.00123705,0,0,0.002109496,7.70E-05,6.56E-05,0.01341223,0.000963597,0.000277482,0.00015417,0.000536024,0.004694281,0.000266679,0.000156045,0.000182151,0.000254396,0.000185093,0,0.000225709,0,0.000100082,0.000227361,0.000125015
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,505,Group1A,50,RV_top,A5,P137,0,0.001262861,0,0.000421778,0.002513219,0.01425408,0.001519185,0.000132352,0.000609316,0.000173204,0.003776081,0.00178176,9.19E-05,0.03901117,7.06E-05,0.000319428,0.000191584,4.66E-05,0.001156581,0.00012569,0.00325093,0.00014053,0.001506681,0,0.002506968,0.003782333,0.000402499,0,0,5.46E-05,5.50E-05,0.002650759,0.001988069,9.29E-05,0.000235406,0.007814737,0.000362233,0.003475995,0,0,0.001569199,0,0,0.00303837,5.55E-05,0.000229192,0.008752505,0.000731459,0.000398342,0.00015688,0.000806481,0.00482013,0.000850243,8.75E-05,9.51E-05,9.47E-05,7.13E-05,5.04E-05,0.000220536,0,0,0.000108262,8.71E-05
X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML,506,Group1B,70,RV_top,C7,P137,0,0.001664146,0.00010005,0,0.00173718,0.014085245,0.001012051,0.000127748,0.000532109,0.000154247,0.002446659,0.0018989,0.000131966,0.03427409,5.82E-05,0.000185346,0.000190026,0.00016073,0.001022484,6.41E-05,0.002822266,0.00027697,0.002034535,0,0.003051803,0.003552612,0.000304338,0,0,5.64E-05,0.000105593,0.003124838,0.001669362,0.000148282,0.000284855,0.006364444,0.00054776,0.003735198,0,4.54E-05,0.002253639,0,0,0.006155774,0,0.000317888,0.00730346,0.000605144,0.000944233,0.000214951,0.000683395,0.003484794,0.000433537,0.000164377,0,0,0,0.000234177,0.000387281,0,0,6.48E-05,0
X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML,507,Group1B,70,RV_top,C8,P137,0,0.001313889,0.000134816,0,0.000649618,0.005714684,0.000605659,0.000217401,0.000659387,0.000227453,0.002256567,0.001089209,0.000147691,0.03306702,0.000108696,0.000183272,0.000239856,0.000229404,0.001030597,0,0.002207724,0.000173138,0.002085615,0,0.002769424,0.003389736,0.000462804,0,0,8.84E-05,9.13E-05,0.002764539,0.00138227,4.37E-05,0,0.005812371,0.000320006,0.001958622,0,0,0.00231518,0.000159929,0,0.006203118,5.11E-05,0.0002034,0.002618009,4.60E-05,0.000928026,0.000153885,0.000365841,0.003741408,0.000415414,0,0,0,0,0.000298306,0.000261819,0,0,0,0
X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML,508,Group1B,70,RV_top,C9,P137,0,0.002961197,9.61E-05,0,0.0011229,0.007335075,0.001181762,0.000154559,0.000446023,0.000144577,0.001879047,0.001675295,7.09E-05,0.03119671,6.69E-05,0.000254522,0.000177988,9.10E-05,0.000919148,0.000230097,0.002653305,0.00030129,0.001865464,0,0.002707639,0.002707639,0.000306773,3.99E-05,0,0.000103352,5.56E-05,0.002911391,0.001625489,0.000356749,0,0.005116441,0.000525228,0.002431442,3.59E-05,9.86E-05,0.001543988,0,0,0.003653954,0,0.000120631,0.006791736,0.000543339,0.000525228,0.000136382,0.000837647,0.003409452,0.000475422,0.000143674,0,4.17E-05,4.23E-05,0.000151305,0.000209392,0,0,0,0
X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML,509,Group1B,70,RV_top,C10,P137,0,0.002290794,9.72E-05,0.000416295,0.001793933,0.010983261,0.001072175,0.000198007,0.000549163,0.000197724,0.002316945,0.00169456,0.000172554,0.03614016,0.000151223,0.000225456,0.000189115,7.80E-05,0.001040795,0,0.003896443,0.000181377,0.002217573,5.02E-05,0.003430962,0.003875522,0.000360233,0,0,0.000127196,6.08E-05,0.002892259,0.001841004,7.67E-05,0.000236507,0.00674686,0.000332397,0.003530334,0,5.01E-05,0.001783472,6.50E-05,0,0.004984308,0,7.39E-05,0.006642258,0.000503327,0.000501574,0.000211651,0.000658996,0.003755229,0.000338764,5.35E-05,0,0,0,0.000122691,0.000101796,0,0,0,0
X510_Group1B_70dpi_RV_top_285_B_C11_P137.mzXML,510,Group1B,70,RV_top,C11,P137,0,0.001440534,3.38E-05,0.000386346,0.001928457,0.013104213,0.001180309,0.000110954,0.000599448,0.000214423,0.003141294,0.001514884,0.000142586,0.03173822,0.000117487,0.000348696,0.000169108,4.33E-05,0.000989786,0.000185597,0.002918243,0.000231359,0.001631056,3.37E-05,0.002407086,0.003178469,0.000311526,0,0,9.21E-05,5.28E-05,0.002620843,0.00122213,0.000136375,0,0.005529792,0.000202321,0.003303934,0,0.000139261,0.001319715,0,0,0.002737015,4.55E-05,0.000186664,0.004191489,0.000320363,0.00044949,1.00E-04,0.000529745,0.003522338,0.000272749,0.000115792,5.70E-05,0,0,0,0.00029922,0,5.21E-05,5.92E-05,5.39E-05
