filename,LA.x,LA.y,LA
X385.165_2.771,group9,group15,group9_group15
X114.092_1.761,group9,group15,group9_group15
X102.092_0.611,group9,group15,group9_group15
X430.223_2.769,group9,group15,group9_group15
X280.263_3.169,group9,group15,group9_group15
X387.192_2.843,group9,group15,group9_group15
X679.068_2.179,group9,group15,group9_group15
X377.146_2.225,group9,NA,group9
X258.111_0.302,NA,group15,group15
X616.308_2.766,NA,group15,group15
X608.393_3.098,NA,group15,group15
X604.442_3.001,NA,NA,not_restored
X664.463_2.992,NA,NA,not_restored
X620.437_2.993,NA,NA,not_restored
X708.489_2.982,NA,NA,not_restored
X516.39_3.018,NA,NA,not_restored
X488.359_3.01,NA,NA,not_restored
X560.416_3.006,NA,NA,not_restored
X137.046_0.35,NA,NA,not_restored
X648.468_2.995,NA,NA,not_restored
X532.385_3.004,NA,NA,not_restored
X576.411_2.999,NA,NA,not_restored
X666.433_3.092,NA,NA,not_restored
X752.515_2.977,NA,NA,not_restored
X472.363_3.023,NA,NA,not_restored
X650.403_3.014,NA,NA,not_restored
X898.581_3.224,NA,NA,not_restored
X428.205_2.248,NA,NA,not_restored
X444.332_3.016,NA,NA,not_restored
X166.053_0.305,NA,NA,not_restored
X368.389_3.90,group9,group15,group9_group15
