filename,RVB.x,RVB.y,RVB
X348.288_3.044,group9,group15,group9_group15
X278.186_2.23,group9,group15,group9_group15
X300.199_2.264,group9,NA,group9
X256.227_2.847,group9,group15,group9_group15
X214.181_2.634,group9,NA,group9
X236.163_2.635,group9,NA,group9
X281.102_2.768,group9,NA,group9
X298.2_2.676,group9,group15,group9_group15
X242.212_2.78,group9,NA,group9
X226.181_2.61,group9,group15,group9_group15
X132.102_0.307,group9,group15,group9_group15
X324.29_3.082,group9,NA,group9
X801.313_2.768,group9,NA,group9
X409.162_2.768,group9,NA,group9
X242.586_2.766,group9,NA,group9
X502.294_2.879,group9,group15,group9_group15
X795.335_2.768,group9,NA,group9
X506.255_3.172,group9,NA,group9
X801.815_2.767,group9,NA,group9
X142.035_0.315,group9,NA,group9
X308.295_3.045,group9,NA,group9
X295.227_3.017,NA,group15,group15
X327.232_3.01,NA,group15,group15
X277.216_3.018,NA,group15,group15
X522.357_2.957,NA,group15,group15
X604.362_2.948,NA,group15,group15
X544.34_2.89,NA,group15,group15
X568.341_2.887,NA,group15,group15
X590.322_2.887,NA,group15,group15
X790.38_2.768,NA,NA,not_restored
X489.228_2.768,NA,NA,not_restored
X608.227_2.768,NA,NA,not_restored
X637.306_3.32,NA,NA,not_restored
X137.046_0.35,NA,NA,not_restored
X792.329_2.764,NA,NA,not_restored
X105.07_2.767,NA,NA,not_restored
X387.181_2.767,NA,NA,not_restored
X249.112_2.768,NA,NA,not_restored
X267.123_2.767,NA,NA,not_restored
X303.648_2.884,NA,NA,not_restored
X369.17_2.767,NA,NA,not_restored
X570.357_2.934,NA,NA,not_restored
X111.044_2.768,NA,NA,not_restored
X528.311_2.928,NA,NA,not_restored
X404.207_2.768,NA,NA,not_restored
X285.133_2.768,NA,NA,not_restored
X511.21_3.171,NA,NA,not_restored
X599.241_2.765,NA,NA,not_restored
X415.14_2.768,NA,NA,not_restored
X280.264_3.159,NA,NA,not_restored
X306.279_2.989,NA,NA,not_restored
X430.223_2.768,NA,NA,not_restored
X150.059_0.3,NA,NA,not_restored
X486.098_2.765,NA,NA,not_restored
X406.154_2.765,NA,NA,not_restored
X654.332_3.32,NA,NA,not_restored
X476.24_2.164,NA,NA,not_restored
X278.248_3.1,NA,NA,not_restored
X306.279_3.212,NA,NA,not_restored
X446.218_2.884,NA,NA,not_restored
X475.989_2.164,NA,NA,not_restored
X200.165_3.207,NA,NA,not_restored
X268.105_0.35,NA,NA,not_restored
X269.088_0.35,NA,NA,not_restored
