filename,RVT.x,RVT.y,RVT
X792.329_2.764,group9,group15,group9_group15
X489.228_2.768,group9,group15,group9_group15
X111.044_2.768,group9,group15,group9_group15
X216.16_2.471,group9,group15,group9_group15
X333.063_2.524,group9,group15,group9_group15
X249.112_2.768,group9,group15,group9_group15
X602.344_2.984,group9,group15,group9_group15
X200.165_3.207,group9,group15,group9_group15
X369.17_2.767,group9,group15,group9_group15
X122.082_0.534,group9,group15,group9_group15
X506.255_3.172,group9,NA,group9
X599.241_2.765,group9,group15,group9_group15
X232.191_2.63,group9,group15,group9_group15
X303.305_3.529,group9,group15,group9_group15
X198.15_2.471,group9,group15,group9_group15
X303.648_2.884,group9,group15,group9_group15
X334.311_3.335,group9,group15,group9_group15
X142.035_0.315,group9,group15,group9_group15
X327.232_3.01,group9,group15,group9_group15
X776.148_2.398,group9,NA,group9
X175.148_2.71,group9,NA,group9
X604.362_2.948,group9,group15,group9_group15
X568.341_2.887,group9,group15,group9_group15
X324.327_3.455,group9,group15,group9_group15
X130.087_0.452,group9,NA,group9
X819.211_2.398,group9,NA,group9
X819.378_2.399,group9,NA,group9
X570.357_2.934,group9,group15,group9_group15
X280.189_2.775,group9,NA,group9
X637.306_3.32,group9,NA,group9
X368.317_3.315,NA,group15,group15
X242.212_2.78,NA,NA,not_restored
X256.227_2.847,NA,NA,not_restored
X137.046_0.35,NA,NA,not_restored
X811.31_2.767,NA,NA,not_restored
X258.207_2.775,NA,NA,not_restored
X399.394_3.159,NA,NA,not_restored
X296.259_2.971,NA,NA,not_restored
X228.196_2.71,NA,NA,not_restored
X278.248_3.1,NA,NA,not_restored
X399.395_3.152,NA,NA,not_restored
X308.295_3.285,NA,NA,not_restored
X811.309_2.773,NA,NA,not_restored
X280.264_3.159,NA,NA,not_restored
X308.295_3.045,NA,NA,not_restored
X306.279_2.989,NA,NA,not_restored
X530.289_2.929,NA,NA,not_restored
X368.316_2.962,NA,NA,not_restored
X172.134_2.343,NA,NA,not_restored
X230.176_2.586,NA,NA,not_restored
X306.279_3.212,NA,NA,not_restored
X272.222_2.957,NA,NA,not_restored
X819.322_2.398,NA,NA,not_restored
X705.141_2.339,NA,NA,not_restored
X776.411_2.398,NA,NA,not_restored
X282.28_3.246,NA,NA,not_restored
X214.181_2.634,NA,NA,not_restored
X352.321_3.187,NA,NA,not_restored
X666.434_3.024,NA,NA,not_restored
X776.253_2.398,NA,NA,not_restored
X256.227_3.318,NA,NA,not_restored
X268.105_0.35,NA,NA,not_restored
X269.088_0.35,NA,NA,not_restored
