organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X199.17_2.558,0.00E+00,0.00E+00,8.63E-06,0.00E+00,0.00E+00,0,0.00000863
X227.179_3.143,0.00E+00,0.00E+00,8.97E-06,0.00E+00,0.00E+00,0,0.00000897
X606.27_2.452,0.00E+00,0.00E+00,8.99E-06,0.00E+00,0.00E+00,0,0.00000899
X443.205_2.666,0.00E+00,0.00E+00,9.10E-06,0.00E+00,0.00E+00,0,0.0000091
X804.59_4,0.00E+00,0.00E+00,9.22E-06,0.00E+00,0.00E+00,0,0.00000922
X140.071_0.347,0.00E+00,0.00E+00,9.28E-06,0.00E+00,0.00E+00,0,0.00000928
X337.237_2.86,0.00E+00,0.00E+00,9.43E-06,0.00E+00,0.00E+00,0,0.00000943
X506.216_2.307,0.00E+00,0.00E+00,9.45E-06,0.00E+00,0.00E+00,0,0.00000945
X402.78_3.474,0.00E+00,0.00E+00,9.58E-06,0.00E+00,0.00E+00,0,0.00000958
X646.372_3,0.00E+00,0.00E+00,9.88E-06,0.00E+00,0.00E+00,0,0.00000988
X241.227_2.948,0.00E+00,0.00E+00,9.94E-06,0.00E+00,0.00E+00,0,0.00000994
X250.094_0.46,0.00E+00,0.00E+00,9.99E-06,0.00E+00,0.00E+00,0,0.00000999
X544.304_2.727,0.00E+00,0.00E+00,1.01E-05,0.00E+00,0.00E+00,0,0.0000101
X453.213_2.522,0.00E+00,0.00E+00,1.01E-05,0.00E+00,0.00E+00,0,0.0000101
X498.289_2.618,0.00E+00,0.00E+00,1.02E-05,0.00E+00,0.00E+00,0,0.0000102
X768.588_5.586,0.00E+00,0.00E+00,1.03E-05,0.00E+00,0.00E+00,0,0.0000103
X796.62_5.631,0.00E+00,0.00E+00,1.04E-05,0.00E+00,0.00E+00,0,0.0000104
X187.108_0.355,0.00E+00,0.00E+00,1.06E-05,0.00E+00,0.00E+00,0,0.0000106
X407.207_2.534,0.00E+00,0.00E+00,1.06E-05,0.00E+00,0.00E+00,0,0.0000106
X387.216_2.692,0.00E+00,0.00E+00,1.06E-05,0.00E+00,0.00E+00,0,0.0000106
X402.78_3.543,0.00E+00,0.00E+00,1.08E-05,0.00E+00,0.00E+00,0,0.0000108
X516.236_2.576,0.00E+00,0.00E+00,1.08E-05,0.00E+00,0.00E+00,0,0.0000108
X475.195_2.512,0.00E+00,0.00E+00,1.08E-05,0.00E+00,0.00E+00,0,0.0000108
X606.269_2.453,0.00E+00,0.00E+00,1.09E-05,0.00E+00,0.00E+00,0,0.0000109
X319.19_2.756,0.00E+00,0.00E+00,1.10E-05,0.00E+00,0.00E+00,0,0.000011
X838.594_3.65,0.00E+00,0.00E+00,1.12E-05,0.00E+00,0.00E+00,0,0.0000112
X766.574_4.106,0.00E+00,0.00E+00,1.12E-05,0.00E+00,0.00E+00,0,0.0000112
X566.273_2.608,0.00E+00,0.00E+00,1.13E-05,0.00E+00,0.00E+00,0,0.0000113
