DPI,DPI_50,DPI_75,DPI_142,sum
X756.553_3.87,0.00E+00,1.35E-05,0,0.0000135
X862.552_3.287,0.00E+00,1.39E-05,0,0.0000139
X249.149_2.529,0.00E+00,1.41E-05,0,0.0000141
X315.195_2.928,0.00E+00,1.46E-05,0,0.0000146
X552.297_2.54,0.00E+00,1.47E-05,0,0.0000147
X291.61_2.879,0.00E+00,1.49E-05,0,0.0000149
X199.17_2.558,0.00E+00,1.50E-05,0,0.000015
X787.432_2.247,0.00E+00,1.51E-05,0,0.0000151
X131.975_1.215,0.00E+00,1.54E-05,0,0.0000154
X552.403_3.173,0.00E+00,1.55E-05,0,0.0000155
X448.176_2.137,0.00E+00,1.55E-05,0,0.0000155
X188.067_0.349,0.00E+00,1.55E-05,0,0.0000155
X530.324_2.967,0.00E+00,1.55E-05,0,0.0000155
X180.022_5.922,0.00E+00,1.56E-05,0,0.0000156
X381.227_2.644,0.00E+00,1.56E-05,0,0.0000156
X131.975_1.032,0.00E+00,1.60E-05,0,0.000016
X442.389_3.008,1.60E-05,0.00E+00,0,0.000016
X352.291_5.59,0.00E+00,1.60E-05,0,0.000016
X740.522_3.791,0.00E+00,0.00E+00,0.0000164,0.0000164
X997.624_2.921,0.00E+00,1.64E-05,0,0.0000164
X834.6_4.685,0.00E+00,1.67E-05,0,0.0000167
X1215.295_3.559,0.00E+00,1.71E-05,0,0.0000171
X844.532_3.254,1.73E-05,0.00E+00,0,0.0000173
X550.351_3.121,0.00E+00,1.73E-05,0,0.0000173
X912.467_2.871,0.00E+00,0.00E+00,0.0000174,0.0000174
X794.532_3.407,0.00E+00,0.00E+00,0.0000174,0.0000174
X758.496_3.309,0.00E+00,0.00E+00,0.0000175,0.0000175
X127.039_0.656,0.00E+00,1.78E-05,0,0.0000178
X844.546_3.44,0.00E+00,0.00E+00,0.0000178,0.0000178
X809.588_4.195,0.00E+00,1.80E-05,0,0.000018
X364.357_3.287,0.00E+00,0.00E+00,0.0000181,0.0000181
X608.357_2.941,0.00E+00,1.82E-05,0,0.0000182
X357.213_2.178,0.00E+00,1.82E-05,0,0.0000182
X564.36_2.314,0.00E+00,1.83E-05,0,0.0000183
X888.559_3.236,0.00E+00,1.86E-05,0,0.0000186
X468.369_2.809,1.88E-05,0.00E+00,0,0.0000188
X167.107_1.768,0.00E+00,0.00E+00,0.0000194,0.0000194
X167.107_1.824,0.00E+00,0.00E+00,0.0000198,0.0000198
X275.273_3.395,0.00E+00,1.99E-05,0,0.0000199
X815.602_2.336,0.00E+00,1.99E-05,0,0.0000199
X159.969_1.214,0.00E+00,0.00E+00,0.0000201,0.0000201
X113_0.358,2.03E-05,0.00E+00,0,0.0000203
X562.327_3.046,0.00E+00,2.03E-05,0,0.0000203
X127.112_0.415,0.00E+00,0.00E+00,0.0000205,0.0000205
X703.574_4.167,0.00E+00,2.05E-05,0,0.0000205
X804.553_3.651,0.00E+00,0.00E+00,0.0000206,0.0000206
X576.33_2.943,0.00E+00,2.07E-05,0,0.0000207
X379.194_2.19,0.00E+00,2.07E-05,0,0.0000207
X129.066_3.574,0.00E+00,0.00E+00,0.0000208,0.0000208
X170.096_1.127,0.00E+00,2.09E-05,0,0.0000209
X824.579_3.738,2.09E-05,0.00E+00,0,0.0000209
X341.247_3.166,0.00E+00,2.09E-05,0,0.0000209
X226.216_3.571,0.00E+00,0.00E+00,0.000021,0.000021
X524.593_2.203,0.00E+00,0.00E+00,0.000021,0.000021
X781.644_2.924,0.00E+00,0.00E+00,0.000021,0.000021
X506.36_3.003,0.00E+00,2.11E-05,0,0.0000211
X469.252_2.661,0.00E+00,0.00E+00,0.0000212,0.0000212
X342.161_2.53,0.00E+00,0.00E+00,0.0000213,0.0000213
X696.407_2.929,0.00E+00,2.14E-05,0,0.0000214
X846.547_3.339,2.17E-05,0.00E+00,0,0.0000217
X368.389_3.87,0.00E+00,2.18E-05,0,0.0000218
X800.579_3.784,2.19E-05,0.00E+00,0,0.0000219
X606.294_2.892,0.00E+00,2.20E-05,0,0.000022
X163.031_2.26,0.00E+00,2.21E-05,0,0.0000221
X638.439_3.025,2.22E-05,0.00E+00,0,0.0000222
X684.408_2.918,0.00E+00,2.23E-05,0,0.0000223
X117.028_5.886,0.00E+00,0.00E+00,0.0000223,0.0000223
X217.159_3.081,2.23E-05,0.00E+00,0,0.0000223
X488.242_2.487,0.00E+00,2.27E-05,0,0.0000227
X185.115_2.424,0.00E+00,2.28E-05,0,0.0000228
X352.357_3.661,2.28E-05,0.00E+00,0,0.0000228
X593.276_2.234,2.32E-05,0.00E+00,0,0.0000232
X860.527_3.125,0.00E+00,2.32E-05,0,0.0000232
X612.351_2.913,0.00E+00,2.32E-05,0,0.0000232
X349.189_2.464,2.34E-05,0.00E+00,0,0.0000234
X590.793_2.315,0.00E+00,0.00E+00,0.0000237,0.0000237
X664.31_2.524,2.37E-05,0.00E+00,0,0.0000237
X802.595_3.622,2.38E-05,0.00E+00,0,0.0000238
X675.677_3.534,0.00E+00,0.00E+00,0.0000239,0.0000239
X221.17_2.115,0.00E+00,2.39E-05,0,0.0000239
X328.119_2.673,2.42E-05,0.00E+00,0,0.0000242
X758.459_2.977,0.00E+00,0.00E+00,0.0000242,0.0000242
X508.376_3.076,0.00E+00,2.42E-05,0,0.0000242
X323.097_0.307,0.00E+00,0.00E+00,0.0000243,0.0000243
X788.616_3.191,0.00E+00,0.00E+00,0.0000244,0.0000244
X218.985_0.461,0.00E+00,2.47E-05,0,0.0000247
X506.318_2.259,0.00E+00,2.48E-05,0,0.0000248
X362.255_2.406,2.48E-05,0.00E+00,0,0.0000248
X878.538_3.095,0.00E+00,2.50E-05,0,0.000025
X508.34_3.061,0.00E+00,2.50E-05,0,0.000025
X350.208_2.312,0.00E+00,2.51E-05,0,0.0000251
X315.205_5.607,2.51E-05,0.00E+00,0,0.0000251
X778.284_2.453,0.00E+00,0.00E+00,0.0000252,0.0000252
X834.601_4.851,0.00E+00,2.52E-05,0,0.0000252
X241.126_2.655,0.00E+00,0.00E+00,0.0000254,0.0000254
X272.088_2.17,2.56E-05,0.00E+00,0,0.0000256
X452.242_2.457,2.57E-05,0.00E+00,0,0.0000257
X764.433_2.927,2.58E-05,0.00E+00,0,0.0000258
X640.047_2.343,0.00E+00,0.00E+00,0.0000258,0.0000258
X784.584_4.489,2.61E-05,0.00E+00,0,0.0000261
X298.274_3.041,0.00E+00,0.00E+00,0.0000262,0.0000262
X326.305_3.162,0.00E+00,2.66E-05,0,0.0000266
X495.221_2.995,0.00E+00,0.00E+00,0.0000272,0.0000272
X792.554_4.53,2.72E-05,0.00E+00,0,0.0000272
X806.555_3.652,0.00E+00,0.00E+00,0.0000274,0.0000274
X131.975_1.077,0.00E+00,2.74E-05,0,0.0000274
X640.382_2.924,0.00E+00,2.74E-05,0,0.0000274
X383.243_2.8,0.00E+00,2.74E-05,0,0.0000274
X302.233_2.51,0.00E+00,0.00E+00,0.0000275,0.0000275
X614.443_2.769,0.00E+00,0.00E+00,0.0000275,0.0000275
X536.446_2.226,0.00E+00,0.00E+00,0.0000276,0.0000276
X269.165_2.867,2.79E-05,0.00E+00,0,0.0000279
X200.996_6.378,0.00E+00,2.79E-05,0,0.0000279
X447.232_2.538,0.00E+00,2.79E-05,0,0.0000279
X117.07_2.579,0.00E+00,2.80E-05,0,0.000028
X370.163_2.298,2.81E-05,0.00E+00,0,0.0000281
X516.236_2.576,0.00E+00,2.81E-05,0,0.0000281
X323.222_2.853,0.00E+00,2.84E-05,0,0.0000284
X111.969_6.705,0.00E+00,2.88E-05,0,0.0000288
X780.552_3.412,0.00E+00,2.88E-05,0,0.0000288
X678.434_3.156,0.00E+00,0.00E+00,0.0000288,0.0000288
X572.437_2.978,0.00E+00,0.00E+00,0.0000289,0.0000289
X344.255_2.329,0.00E+00,2.91E-05,0,0.0000291
X407.957_2.12,0.00E+00,0.00E+00,0.0000292,0.0000292
X264.078_2.788,0.00E+00,0.00E+00,0.0000295,0.0000295
X554.247_2.584,0.00E+00,2.95E-05,0,0.0000295
X115.076_2.075,2.99E-05,0.00E+00,0,0.0000299
X435.482_2.212,0.00E+00,2.99E-05,0,0.0000299
X155.988_6.046,0.00E+00,3.00E-05,0,0.00003
X284.294_3.354,0.00E+00,3.00E-05,0,0.00003
X384.237_2.464,0.00E+00,3.00E-05,0,0.00003
X800.578_3.49,0.00E+00,3.01E-05,0,0.0000301
X229.942_0.3,3.05E-05,0.00E+00,0,0.0000305
X328.915_6.305,3.06E-05,0.00E+00,0,0.0000306
X127.039_2.765,0.00E+00,0.00E+00,0.0000307,0.0000307
X432.278_2.561,0.00E+00,3.08E-05,0,0.0000308
X587.553_2.334,0.00E+00,3.09E-05,0,0.0000309
X266.152_2.71,0.00E+00,0.00E+00,0.000031,0.000031
X339.032_2.412,0.00E+00,0.00E+00,0.0000314,0.0000314
X790.574_4.314,0.00E+00,0.00E+00,0.0000314,0.0000314
X801.433_2.883,0.00E+00,0.00E+00,0.0000316,0.0000316
X347.224_2.763,0.00E+00,3.16E-05,0,0.0000316
X273.12_0.329,3.18E-05,0.00E+00,0,0.0000318
X383.367_3.962,0.00E+00,0.00E+00,0.0000319,0.0000319
X607.457_2.862,0.00E+00,3.19E-05,0,0.0000319
X370.295_2.792,0.00E+00,3.19E-05,0,0.0000319
X243.105_2.79,0.00E+00,0.00E+00,0.0000319,0.0000319
X256.3_3.382,0.00E+00,0.00E+00,0.0000319,0.0000319
X254.095_2.211,0.00E+00,3.20E-05,0,0.000032
X808.583_3.395,0.00E+00,0.00E+00,0.0000323,0.0000323
X412.342_2.872,3.29E-05,0.00E+00,0,0.0000329
X208.17_2.613,3.29E-05,0.00E+00,0,0.0000329
X490.819_5.635,0.00E+00,3.29E-05,0,0.0000329
X281.139_2.435,0.00E+00,3.29E-05,0,0.0000329
X254.211_3.32,0.00E+00,3.30E-05,0,0.000033
X768.553_4.333,0.00E+00,3.31E-05,0,0.0000331
X336.532_2.169,0.00E+00,0.00E+00,0.0000332,0.0000332
X247.17_2.74,0.00E+00,0.00E+00,0.0000332,0.0000332
X702.434_3.129,3.33E-05,0.00E+00,0,0.0000333
X462.891_2.131,0.00E+00,0.00E+00,0.0000333,0.0000333
X426.322_2.701,0.00E+00,3.40E-05,0,0.000034
X400.732_2.96,0.00E+00,0.00E+00,0.0000341,0.0000341
X261.65_2.248,0.00E+00,3.43E-05,0,0.0000343
X330.264_2.816,0.00E+00,3.44E-05,0,0.0000344
X159.117_2.781,0.00E+00,3.47E-05,0,0.0000347
X553.328_2.259,0.00E+00,0.00E+00,0.0000357,0.0000357
X516.272_2.72,0.00E+00,3.58E-05,0,0.0000358
X415.317_2.702,0.00E+00,0.00E+00,0.0000359,0.0000359
X397.219_2.065,0.00E+00,3.60E-05,0,0.000036
X225.135_0.472,0.00E+00,3.60E-05,0,0.000036
X436.779_5.727,0.00E+00,0.00E+00,0.0000362,0.0000362
X272.222_3.305,0.00E+00,3.63E-05,0,0.0000363
X672.423_3.234,0.00E+00,1.45E-05,0.0000219,0.0000364
X787.668_3.937,0.00E+00,0.00E+00,0.0000368,0.0000368
X561.38_2.951,0.00E+00,3.69E-05,0,0.0000369
X790.576_5.595,0.00E+00,0.00E+00,0.0000369,0.0000369
X275.935_0.337,3.70E-05,0.00E+00,0,0.000037
X340.285_3.189,0.00E+00,0.00E+00,0.0000371,0.0000371
X399.771_5.729,3.72E-05,0.00E+00,0,0.0000372
X336.169_5.622,3.75E-05,0.00E+00,0,0.0000375
X157.122_6.834,2.31E-05,1.46E-05,0,0.0000377
X319.19_2.857,2.27E-05,1.52E-05,0,0.0000379
X616.36_3.007,1.94E-05,1.89E-05,0,0.0000383
X449.252_2.742,0.00E+00,3.83E-05,0,0.0000383
X273.147_5.62,3.84E-05,0.00E+00,0,0.0000384
X149.024_2.698,0.00E+00,0.00E+00,0.0000385,0.0000385
X806.569_5.586,0.00E+00,0.00E+00,0.0000385,0.0000385
