DPI,DPI_50,DPI_75,DPI_142,sum
X792.589_4.299,1.22E-05,0.00E+00,0,0.0000122
X321.128_2.348,1.32E-05,0.00E+00,0,0.0000132
X189.124_0.452,1.34E-05,0.00E+00,0,0.0000134
X321.242_3.007,1.36E-05,0.00E+00,0,0.0000136
X379.248_2.828,1.37E-05,0.00E+00,0,0.0000137
X367.212_2.569,1.40E-05,0.00E+00,0,0.000014
X534.268_2.157,1.40E-05,0.00E+00,0,0.000014
X313.237_2.84,1.41E-05,0.00E+00,0,0.0000141
X446.196_2.386,1.41E-05,0.00E+00,0,0.0000141
X385.129_0.304,1.41E-05,0.00E+00,0,0.0000141
X336.253_2.869,1.45E-05,0.00E+00,0,0.0000145
X780.553_3.699,1.46E-05,0.00E+00,0,0.0000146
X784.511_3.335,1.46E-05,0.00E+00,0,0.0000146
X155.107_6.981,1.48E-05,0.00E+00,0,0.0000148
X317.211_2.701,1.49E-05,0.00E+00,0,0.0000149
X962.559_3.245,1.50E-05,0.00E+00,0,0.000015
X762.506_3.432,1.50E-05,0.00E+00,0,0.000015
X622.314_2.637,1.51E-05,0.00E+00,0,0.0000151
X801.497_2.976,1.52E-05,0.00E+00,0,0.0000152
X429.212_2.192,1.52E-05,0.00E+00,0,0.0000152
X370.259_2.81,1.54E-05,0.00E+00,0,0.0000154
X686.462_2.783,1.55E-05,0.00E+00,0,0.0000155
X740.522_3.883,1.56E-05,0.00E+00,0,0.0000156
X437.887_2.091,1.57E-05,0.00E+00,0,0.0000157
X396.275_2.709,1.59E-05,0.00E+00,0,0.0000159
X377.155_2.375,1.59E-05,0.00E+00,0,0.0000159
X427.741_2.879,1.61E-05,0.00E+00,0,0.0000161
X546.269_2.157,1.61E-05,0.00E+00,0,0.0000161
X718.465_3.24,1.62E-05,0.00E+00,0,0.0000162
X349.2_2.658,1.62E-05,0.00E+00,0,0.0000162
X423.573_2.295,1.62E-05,0.00E+00,0,0.0000162
X372.274_2.704,1.63E-05,0.00E+00,0,0.0000163
X553.315_3.018,1.65E-05,0.00E+00,0,0.0000165
X647.437_2.988,1.67E-05,0.00E+00,0,0.0000167
X331.263_3.302,1.67E-05,0.00E+00,0,0.0000167
X728.559_5.575,1.67E-05,0.00E+00,0,0.0000167
X337.237_2.687,1.67E-05,0.00E+00,0,0.0000167
X515.359_3.003,1.70E-05,0.00E+00,0,0.000017
X608.32_2.651,1.72E-05,0.00E+00,0,0.0000172
X471.432_5.599,1.72E-05,0.00E+00,0,0.0000172
X274.184_2.58,1.72E-05,0.00E+00,0,0.0000172
X309.206_2.654,1.73E-05,0.00E+00,0,0.0000173
X464.337_2.788,1.74E-05,0.00E+00,0,0.0000174
X428.205_2.248,1.75E-05,0.00E+00,0,0.0000175
X796.547_3.404,1.76E-05,0.00E+00,0,0.0000176
X332.244_2.494,1.77E-05,0.00E+00,0,0.0000177
X422.194_2.28,1.78E-05,0.00E+00,0,0.0000178
X366.785_2.164,1.79E-05,0.00E+00,0,0.0000179
X368.279_2.763,1.82E-05,0.00E+00,0,0.0000182
X559.385_2.999,1.84E-05,0.00E+00,0,0.0000184
X368.258_3.021,1.84E-05,0.00E+00,0,0.0000184
