MouseID,Ejection_Fraction,Fractional_Shortening,Diameter_s,Diameter_d,Volume_s,Volume_d,LVAW_s,LVAW_d,LVPW_s,LVPW_d,LV_Mass,LV_Mass_Cor,Cardiac_Index,Cardiac_Output,Stroke_Volume,R_Amplitude_(V),Heart_Rate,JT_Interval_(s),Tpeak_Tend_Interval_(s),QT_Interval_(s),QTc_(s),S_Amplitude_(V),QRS_Interval_(s),Q_Amplitude_(V),CD3+CD4+,CD3+CD4+IL-2+,CD3+CD4+IL-4+,CD3+CD4+IFNg+,CD3+CD4+IL-17+,CD3+CD4+TNFa+,CD3+CD8+,CD3+CD8+IL-2+,CD3+CD8+IL-4+,CD3+CD8+IFNg+,CD3+CD8+IL-17+,CD3+CD8+TNFa+,Liver_Weight_Body_Weight_ratio,Liver_Weight,Body_Weight,T_Amplitude_(V),Heart_Weight,Heart_Weight_Body_Weight_ratio,P_Amplitude_(V),RR_Interval_(s),P_Duration_(s),PR_Interval_(s)
511,62.285974,32.8067275,2.37155,3.529367,19.578252,51.9053645,1.4909095,1.0203165,1.159142,0.7806745,113.1833075,90.546646,0.595237567,13.3333215,32.327112,1.563,412.49493,0.01044,0.007768,0.01812,0.04772,-0.2017,0.00768,0.02023,0.014,-0.0044,-0.0046,0.0004,-0.0003,-0.0061,-0.01,0.0075,0.0003,0.0017,0.0005,0.0014,0.051785714,1.16,22.4,0.3853,0.15,0.006696429,0.1057,0.1444,0.01149,0.03963
512,17.061189,7.4666575,3.3164645,3.5840945,44.6703835,53.861112,1.0032835,0.862629,0.7473855,0.71503,96.34495,77.07596,0.13693879,3.4508575,9.1907285,1.327,375.8422695,0.008881,0.006751,0.01703,0.04549,-0.4016,0.008145,0.02328,0.016,0.0082,0.0045,-0.0014,-0.0017,0.0012,-0.031,0.0249,0.0007,0.0055,-0.0007,0.006,0.046428571,1.17,25.2,0.3877,0.13,0.00515873,0.2438,0.1401,0.01144,0.03691
513,69.058764,37.9039215,2.201071,3.5445505,16.228974,52.4441045,1.688853,1.1733345,1.3221775,0.888598,138.676054,110.9408435,0.665276949,16.8980345,36.2151305,1.21,466.586968,0.0082,0.006495,0.01647,0.0451,-0.1207,0.008267,0.0385,-0.027,0.0055,0.0023,0.0054,0.0017,-0.0054,-0.023,0.0328,0.0187,0.0206,0.0016,0.0262,0.054330709,1.38,25.4,0.3653,0.14,0.005511811,0.19,0.1334,0.01277,0.03464
514,53.7387055,27.185547,2.7117285,3.724145,27.3128125,59.038661,1.5311935,1.113861,1.1200345,0.7746095,131.7890145,105.4312115,0.546620522,14.64943,31.7258485,1.576,461.7718905,0.01073,0.007824,0.01713,0.04636,-0.05044,0.006397,0.004001,0.013,-0.0023,-0.0034,-0.0003,0.0006,0.0006,-0.011,0.0013,-0.0019,-0.0016,-0.0039,-0.0004,0.055223881,1.48,26.8,0.3117,0.19,0.007089552,0.205,0.1366,0.01435,0.03594
515,57.4564695,29.304458,2.2937065,3.244399,18.0221035,42.3547255,1.6061875,1.22671,1.1499675,0.8321835,121.0988705,96.8790965,0.449026633,11.0011525,24.332622,1.357,451.838083,0.011,0.008577,0.01863,0.04999,0.004335,0.007635,0.04517,0.013,-0.0029,-0.0044,0.00021,0.0012,-0.0008,-0.011,-0.0033,-0.0011,0.0009,0.0059,0,0.057959184,1.42,24.5,0.2204,0.15,0.006122449,0.175,0.1392,0.01464,0.03792
531,66.407978,35.9210845,2.334072,3.642773,18.8035555,56.0011455,1.601173,1.0713895,1.331311,0.8460645,130.1264435,104.101155,0.673242692,17.50431,37.19759,1.353,470.536629,0.007202,0.00521,0.01608,0.04349,-0.2815,0.008895,0.01546,0.01,0.0147,-0.0015,-0.0002,0.0002,0.0048,-0.017,0.0148,-0.0008,0.0046,0.0008,0.0076,0.056923077,1.48,26,0.3568,0.15,0.005769231,0.1463,0.1368,0.01479,0.03614
532,69.149937,38.2944455,2.4450115,3.962398,21.1194305,68.459695,1.8091155,1.0591765,1.158736,0.7881305,140.9850245,112.7880195,0.824968798,21.284195,47.340264,1.262,449.6652775,0.006898,0.005155,0.01481,0.04064,-0.5065,0.007908,-0.001997,0.009,0.0017,-0.0022,0.0003,0.0002,-0.0001,-0.018,0.0068,0.0025,0.0056,-0.0066,0.0055,0.051550388,1.33,25.8,0.4887,0.15,0.005813953,0.1658,0.1328,0.01256,0.03704
533,62.952434,33.314213,2.3638795,3.544506,19.4374805,52.4397985,1.5000295,1.0697085,1.0537505,0.788964,119.2090055,95.3672045,0.568998591,14.7370635,33.002318,0.8977,446.4478485,0.007657,0.005557,0.01678,0.04543,-0.5726,0.009124,0.01813,-0.009,0.0017,-0.0019,0.0017,0.0018,-0.002,-0.01,0.0042,0.0028,0.0031,0.0009,0.0044,0.055212355,1.43,25.9,0.3874,0.17,0.006563707,0.1537,0.1364,0.01358,0.03593
534,64.410019,34.330499,2.316016,3.526736,18.444193,51.819804,1.5450545,1.1427075,1.457168,0.895519,135.2812985,108.2250385,0.661426707,16.271097,33.375611,1.276,487.62313,0.006377,0.00453,0.01582,0.04473,-0.3583,0.009447,0.0165,0.005,0.0029,0.0023,0.0007,-0.0002,0.0027,-0.011,0.0057,0.0007,0.0029,-0.0082,0.005,0.050813008,1.25,24.6,0.5587,0.16,0.006504065,0.1688,0.1265,0.01361,0.03487
535,54.891958,28.0782865,2.869425,3.989782,31.391504,69.603072,1.449946,0.9749205,1.1713995,0.7014285,124.7244795,99.7795835,0.688721043,15.840584,38.211568,1.128,414.550735,0.007303,0.005372,0.01654,0.04602,-0.3516,0.009183,-0.03205,0.007,0.0034,-0.0015,0.00028,-0.0037,-0.0004,-0.009,0.0132,0.0026,0.0031,0.0045,0.0012,0.053913043,1.24,23,0.4206,0.18,0.007826087,0.1017,0.1293,0.0104,0.03327
551,53.4892915,27.0272205,2.7149035,3.720425,27.3939125,58.897291,1.5531785,1.128238,1.1056755,0.7762575,133.1864075,106.549126,0.592695813,14.2246995,31.5033785,1.431,451.4277935,0.009952,0.007279,0.01768,0.04681,-0.07304,0.007733,0.02607,0.72,0.0129,0.0049,0.00061,0.004,0.0017,0.233,0.024,0.0052,0.0056,0.0397,0.0089,0.053333333,1.28,24,0.444,0.16,0.006666667,0.1194,0.1428,0.01358,0.03422
552,54.5301705,27.55291,2.546896,3.515435,23.390797,51.4318885,1.265643,0.981047,1.0433865,0.739999,105.417144,84.3337155,0.41112349,10.483649,28.0410915,1.384,374.0788855,0.008858,0.007084,0.01658,0.04267,-0.01389,0.007719,0.005881,0.008,0.003,-0.0003,-0.0002,-0.0033,0,-0.012,0.0048,-0.0009,0.003,0.0073,0.0022,0.053333333,1.36,25.5,0.3263,0.18,0.007058824,0.1812,0.151,0.0126,0.03673
553,59.077865,30.9606395,2.681217,3.891905,26.5834765,65.7647245,1.702471,1.065768,1.0985505,0.767529,135.238802,108.1910415,0.645708044,16.0135595,39.181248,1.505,409.2574845,0.008015,0.006105,0.01707,0.04356,-0.49,0.009059,0.01264,-0.016,0.0388,-0.0084,0.0068,0.0341,0.0413,-0.013,0.0299,0.0004,0.0077,0.0198,0.0401,0.055241935,1.37,24.8,0.5783,0.18,0.007258065,0.05771,0.1536,0.009093,0.02874
