SubjectID1,SubjectID2,name,Distance
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.518379252
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.513453413
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.342236525
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.300650949
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.545210846
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.507880931
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.528501389
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.533585289
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.482565256
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.533430971
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.578254131
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.418039817
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.357727458
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.54121637
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.360404521
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.567887151
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.436125637
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.355769567
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.532200605
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.304021958
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.270481399
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.514914524
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.453573089
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.351761621
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.58165408
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.40926847
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.346420263
X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.341816323
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.534238177
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.375561197
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.312765629
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.586787255
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.42577035
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.309495336
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.339871374
X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.246109479
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.262892629
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.522364585
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.556064347
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.330936401
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.560974271
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.619454355
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.61108975
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.552210182
X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.569742875
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.37712891
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.488167812
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.46625181
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.347234459
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.49107987
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.512576748
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.464470007
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.58535008
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.574607473
X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,Group1A_Group1A,0.390145757
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.330746329
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.526554802
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.521657
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.310672351
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.519494173
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.573244114
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.545139078
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.598130071
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.597379249
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,Group1A_Group1A,0.341428565
X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,Group1A_Group1A,0.302650879
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.480164699
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.425321149
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.329078148
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.601144503
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.592716014
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.498187685
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.505132676
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.346153802
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.374132697
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,Group1A_Group1A,0.535032917
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,Group1A_Group1A,0.59963611
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,Group1A_Group1A,0.614136984
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.517790797
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.388009788
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.358182226
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.545213382
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.442314271
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.30176927
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.370238676
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.34267762
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.316161577
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X525_Group1A_50dpi_LA_260_B_A10_P121.mzXML,Group1A_Group1A,0.567605685
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X541_Group1A_50dpi_LA_261_B_A11_P121.mzXML,Group1A_Group1A,0.559160285
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X542_Group1A_50dpi_LA_262_B_A12_P121.mzXML,Group1A_Group1A,0.565758279
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,Group1A_Group1A,0.339891165
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,Group1A_Group1A,0.298983728
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,Group1A_Group1A,0.545621609
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,Group1A_Group1A,0.528399565
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,Group1A_Group1A,0.317328751
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,Group1A_Group1A,0.564565205
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,Group1A_Group1A,0.622115907
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,Group1A_Group1A,0.601705901
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X523_Group1A_50dpi_LA_258_B_A8_P121.mzXML,Group1A_Group1A,0.58206185
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,X524_Group1A_50dpi_LA_259_B_A9_P121.mzXML,Group1A_Group1A,0.598720236
