SubjectID1,SubjectID2,name,Distance
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,Group1A_Group1A,0.633318531
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,Group1A_Group1A,0.413873082
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,Group1A_Group1A,0.5325514
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,Group1A_Group1A,0.608651136
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,Group1A_Group1A,0.349150785
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,Group1A_Group1A,0.426507737
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,Group1A_Group1A,0.413426798
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,Group1A_Group1A,0.543499216
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,Group1A_Group1A,0.366431387
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,Group1A_Group1A,0.484369242
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,Group1A_Group1A,0.499657636
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,Group1A_Group1A,0.562041529
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,Group1A_Group1A,0.39055669
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,Group1A_Group1A,0.422941988
