SubjectID1,SubjectID2,name,Distance
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.290463386
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.318863491
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.251848974
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.31711258
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.234484477
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,Group1A_Group1A,0.275630015
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.378095622
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.287187569
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,Group1A_Group1A,0.262450579
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,Group1A_Group1A,0.218879506
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.442419058
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.387429021
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,Group1A_Group1A,0.353228508
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,Group1A_Group1A,0.419947816
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,Group1A_Group1A,0.397597818
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.369859995
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.251873911
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,Group1A_Group1A,0.296426143
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,Group1A_Group1A,0.275985777
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,Group1A_Group1A,0.230671166
X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,Group1A_Group1A,0.400247751
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,Group1A_Group1A,0.375872388
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,Group1A_Group1A,0.292565371
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,Group1A_Group1A,0.319412625
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,Group1A_Group1A,0.238671445
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,Group1A_Group1A,0.265075112
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,Group1A_Group1A,0.437477826
X523_Group1A_50dpi_RV_top_258_B_A8_P137.mzXML,X522_Group1A_50dpi_RV_top_257_B_A7_P137.mzXML,Group1A_Group1A,0.300611606
