	SubjectID1	SubjectID2	Group1	Group2	Distance
0	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.4213691913887295
1	X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.33542354929466495
2	X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	Group1C	Group1C	0.4508338136066705
3	X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.2337681395711561
4	X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	Group1C	Group1C	0.4345244368779034
5	X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML	X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML	Group1C	Group1C	0.23903567225122296
6	X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.24914750096887434
7	X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	Group1C	Group1C	0.43353106954648457
8	X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML	X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML	Group1C	Group1C	0.204576619528154
9	X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML	X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML	Group1C	Group1C	0.17808659390272272
10	X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.33467570086710546
11	X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	Group1C	Group1C	0.473392315179057
12	X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML	X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML	Group1C	Group1C	0.2121093567544877
13	X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML	X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML	Group1C	Group1C	0.24627478849337106
14	X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML	X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML	Group1C	Group1C	0.20741837978961913
15	X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML	X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML	Group1C	Group1C	0.2578497997582854
16	X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML	X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML	Group1C	Group1C	0.42009856047289607
