	SubjectID1	SubjectID2	Group1	Group2	Distance
0	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.281606934439543
1	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.3457342359096658
2	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.4639421056935709
3	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.3717947793461818
4	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.2797556587416244
5	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.4493787672075284
6	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.33775813310619524
7	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.46795039110616804
8	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.22764723210406063
9	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.48301442893635504
10	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.48413388396826834
11	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.5501191566007974
12	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.47980318158908325
13	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML	Group1C	Group1C	0.5705118364103908
14	X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML	X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML	Group1C	Group1C	0.41474396721609763
15	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML	Group1C	Group1C	0.5463372191218023
16	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML	Group1C	Group1C	0.5465745538703507
17	X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML	X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML	Group1C	Group1C	0.5967387392370809
