SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.364431311
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.505518367
X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.362121476
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.453373228
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.464527934
X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.501404939
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.348728596
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.337816956
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.385232341
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.442135099
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.686426688
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.691111562
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,X513_Group1C_142dpi_RA_163_G_A3_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.712877011
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,X514_Group1C_142dpi_RA_164_G_A4_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.442618709
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.67631906
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,X511_Group1C_142dpi_RA_161_G_A1_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.487371026
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,X512_Group1C_142dpi_RA_162_G_A2_P124.mzXML,Group1C,Group1C,Group1C_Group1C,0.619369964
