SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.421369191
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.335423549
X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.450833814
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.23376814
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.434524437
X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.239035672
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.249147501
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.43353107
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.20457662
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.178086594
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.334675701
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.473392315
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.212109357
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.246274788
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.20741838
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.2578498
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.42009856
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.27945298
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.201203394
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.242982633
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.281357635
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.243050683
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.416061109
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.224032301
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.19076918
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.153695754
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.197384203
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.226189603
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.328398896
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.418653987
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.301259539
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.264684115
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.247308529
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.288447327
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.210280394
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.270323101
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.373341928
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.533058451
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X513_Group1C_142dpi_LV_bottom_163_G_A3_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.360489711
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X514_Group1C_142dpi_LV_bottom_164_G_A4_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.330436564
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.331502479
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.323110906
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.300092394
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.303669633
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.332953854
X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML,X511_Group1C_142dpi_LV_bottom_161_G_A1_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.218194527
X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML,X512_Group1C_142dpi_LV_bottom_162_G_A2_P132.mzXML,Group1C,Group1C,naive_VS_naive,0.412086056
