SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.343622197
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.43340875
X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.387915317
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.328347549
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.313970717
X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.341418715
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.531962019
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.334895679
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.432996034
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.411570445
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.478816578
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.316152299
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.412432048
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.33861405
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.173194733
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.431541708
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.392422311
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.228128077
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.272619383
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.343632389
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.319400093
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.539979523
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.346780189
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.395664279
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.395602349
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.14694613
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.160029523
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.319229851
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.373261935
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.204681924
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.368304933
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.244551771
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.322161521
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.259316448
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.280719737
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.292635125
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.545774984
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.342328985
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.412580855
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.392197738
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.182842786
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.213632276
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.349759052
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.200083568
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.30898766
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.464569664
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.258818551
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.415232664
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.364214935
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.278194574
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.273931637
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.417050632
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.257107101
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.295472546
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.231437747
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.385382979
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.158553905
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.392297916
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.309177723
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.356710445
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.318524058
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.394403089
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.357016595
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.224070126
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.286549442
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.237252397
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X511_Group1C_142dpi_RV_bottom_161_G_A1_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.42564416
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X512_Group1C_142dpi_RV_bottom_162_G_A2_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.373675845
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X513_Group1C_142dpi_RV_bottom_163_G_A3_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.209337745
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X514_Group1C_142dpi_RV_bottom_164_G_A4_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.31137531
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.41185877
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.381193071
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.246642735
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.409196286
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.387966535
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,Group1C,Group1C,Group1C_Group1C,0.383861812
