SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.297226049
X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.285923474
X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.242054942
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.370974506
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.254526321
X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.262571336
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.354525154
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.236361265
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.227819756
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.318821683
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.359924786
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.295489438
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.318941758
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.294538979
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.362382359
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.337473017
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.31414681
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.338318709
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.318728389
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.34347096
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.196472995
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X511_Group1C_142dpi_RV_top_161_G_A1_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.326871751
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X512_Group1C_142dpi_RV_top_162_G_A2_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.303311701
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X513_Group1C_142dpi_RV_top_163_G_A3_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.313980285
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X514_Group1C_142dpi_RV_top_164_G_A4_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.341566642
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.350534213
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.202777725
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,Group1C,Group1C,Group1C_Group1C,0.174898282
