sample-id	ATTRIBUTE_tissue_or_QC	ATTRIBUTE_group	ATTRIBUTE_pos	ATTRIBUTE_rep
pos_vehicle_heart_A_rep1_m27.mzXML	1	vehicle	A	rep1
pos_benznidazole_heart_A_rep2_m73.mzXML	1	benznidazole	A	rep2
pos_uninfected_heart_A_rep2_m82.mzXML	1	uninfected	A	rep2
pos_vehicle_heart_A_rep1_m8.mzXML	1	vehicle	A	rep1
pos_carnitine_heart_A_rep1_m21.mzXML	1	carnitine	A	rep1
pos_uninfected_heart_A_rep2_m83.mzXML	1	uninfected	A	rep2
pos_vehicle_heart_A_rep1_m10.mzXML	1	vehicle	A	rep1
pos_carnitine_heart_A_rep2_m46.mzXML	1	carnitine	A	rep2
pos_uninfected_heart_A_rep2_m81.mzXML	1	uninfected	A	rep2
pos_uninfected_heart_A_rep1_m40.mzXML	1	uninfected	A	rep1
pos_vehicle_heart_A_rep2_m60.mzXML	1	vehicle	A	rep2
pos_benznidazole_heart_A_rep2_m74.mzXML	1	benznidazole	A	rep2
pos_vehicle_heart_A_rep2_m68.mzXML	1	vehicle	A	rep2
pos_vehicle_heart_A_rep2_m67.mzXML	1	vehicle	A	rep2
pos_uninfected_heart_A_rep2_m85.mzXML	1	uninfected	A	rep2
pos_benznidazole_heart_A_rep1_m11.mzXML	1	benznidazole	A	rep1
pos_vehicle_heart_A_rep1_m7.mzXML	1	vehicle	A	rep1
pos_carnitine_heart_A_rep1_m1.mzXML	1	carnitine	A	rep1
pos_benznidazole_heart_A_rep1_m13.mzXML	1	benznidazole	A	rep1
pos_vehicle_heart_A_rep1_m26.mzXML	1	vehicle	A	rep1
pos_uninfected_heart_A_rep1_m36.mzXML	1	uninfected	A	rep1
pos_vehicle_heart_A_rep2_m66.mzXML	1	vehicle	A	rep2
pos_benznidazole_heart_A_rep1_m14.mzXML	1	benznidazole	A	rep1
pos_uninfected_heart_A_rep1_m39.mzXML	1	uninfected	A	rep1
pos_carnitine_heart_A_rep2_m48.mzXML	1	carnitine	A	rep2
pos_uninfected_heart_A_rep2_m84.mzXML	1	uninfected	A	rep2
pos_uninfected_heart_A_rep1_m37.mzXML	1	uninfected	A	rep1
pos_uninfected_heart_A_rep1_m38.mzXML	1	uninfected	A	rep1
pos_benznidazole_heart_A_rep2_m71.mzXML	1	benznidazole	A	rep2
pos_carnitine_heart_A_rep2_m50.mzXML	1	carnitine	A	rep2
pos_carnitine_heart_A_rep1_m2.mzXML	1	carnitine	A	rep1
pos_carnitine_heart_A_rep1_m3.mzXML	1	carnitine	A	rep1
pos_vehicle_heart_A_rep1_m29.mzXML	1	vehicle	A	rep1
pos_benznidazole_heart_A_rep1_m12.mzXML	1	benznidazole	A	rep1
pos_benznidazole_heart_A_rep1_m15.mzXML	1	benznidazole	A	rep1
pos_uninfected_heart_A_rep1_m41.mzXML	1	uninfected	A	rep1
pos_vehicle_heart_A_rep2_m69.mzXML	1	vehicle	A	rep2
pos_carnitine_heart_A_rep2_m49.mzXML	1	carnitine	A	rep2
pos_carnitine_heart_B_rep1_m21.mzXML	1	carnitine	B	rep1
pos_uninfected_heart_B_rep1_m41.mzXML	1	uninfected	B	rep1
pos_uninfected_heart_B_rep1_m36.mzXML	1	uninfected	B	rep1
pos_carnitine_heart_B_rep2_m49.mzXML	1	carnitine	B	rep2
pos_vehicle_heart_B_rep2_m60.mzXML	1	vehicle	B	rep2
pos_uninfected_heart_B_rep2_m83.mzXML	1	uninfected	B	rep2
pos_uninfected_heart_B_rep2_m82.mzXML	1	uninfected	B	rep2
pos_benznidazole_heart_B_rep1_m14.mzXML	1	benznidazole	B	rep1
pos_uninfected_heart_B_rep2_m84.mzXML	1	uninfected	B	rep2
pos_benznidazole_heart_B_rep2_m71.mzXML	1	benznidazole	B	rep2
pos_carnitine_heart_B_rep1_m23.mzXML	1	carnitine	B	rep1
pos_vehicle_heart_B_rep2_m67.mzXML	1	vehicle	B	rep2
pos_uninfected_heart_B_rep1_m38.mzXML	1	uninfected	B	rep1
pos_vehicle_heart_B_rep2_m66.mzXML	1	vehicle	B	rep2
pos_uninfected_heart_B_rep1_m40.mzXML	1	uninfected	B	rep1
pos_uninfected_heart_B_rep1_m37.mzXML	1	uninfected	B	rep1
pos_vehicle_heart_B_rep2_m69.mzXML	1	vehicle	B	rep2
pos_uninfected_heart_B_rep1_m39.mzXML	1	uninfected	B	rep1
pos_vehicle_heart_B_rep1_m10.mzXML	1	vehicle	B	rep1
pos_carnitine_heart_B_rep2_m48.mzXML	1	carnitine	B	rep2
pos_benznidazole_heart_B_rep2_m73.mzXML	1	benznidazole	B	rep2
pos_benznidazole_heart_B_rep1_m11.mzXML	1	benznidazole	B	rep1
pos_vehicle_heart_B_rep1_m7.mzXML	1	vehicle	B	rep1
pos_vehicle_heart_B_rep1_m26.mzXML	1	vehicle	B	rep1
pos_benznidazole_heart_B_rep1_m15.mzXML	1	benznidazole	B	rep1
pos_uninfected_heart_B_rep2_m85.mzXML	1	uninfected	B	rep2
pos_vehicle_heart_B_rep1_m8.mzXML	1	vehicle	B	rep1
pos_vehicle_heart_B_rep1_m29.mzXML	1	vehicle	B	rep1
pos_carnitine_heart_B_rep1_m2.mzXML	1	carnitine	B	rep1
pos_benznidazole_heart_B_rep2_m74.mzXML	1	benznidazole	B	rep2
pos_vehicle_heart_B_rep2_m68.mzXML	1	vehicle	B	rep2
pos_carnitine_heart_B_rep2_m46.mzXML	1	carnitine	B	rep2
pos_carnitine_heart_B_rep1_m3.mzXML	1	carnitine	B	rep1
pos_vehicle_heart_B_rep1_m27.mzXML	1	vehicle	B	rep1
pos_carnitine_heart_B_rep1_m1.mzXML	1	carnitine	B	rep1
pos_benznidazole_heart_B_rep1_m13.mzXML	1	benznidazole	B	rep1
pos_uninfected_heart_B_rep2_m81.mzXML	1	uninfected	B	rep2
pos_benznidazole_heart_B_rep1_m12.mzXML	1	benznidazole	B	rep1
pos_carnitine_heart_B_rep2_m50.mzXML	1	carnitine	B	rep2
pos_carnitine_heart_C_rep1_m1.mzXML	1	carnitine	C	rep1
pos_carnitine_heart_C_rep1_m3.mzXML	1	carnitine	C	rep1
pos_vehicle_heart_C_rep1_m26.mzXML	1	vehicle	C	rep1
pos_vehicle_heart_C_rep1_m27.mzXML	1	vehicle	C	rep1
pos_carnitine_heart_C_rep2_m49.mzXML	1	carnitine	C	rep2
pos_vehicle_heart_C_rep1_m10.mzXML	1	vehicle	C	rep1
pos_uninfected_heart_C_rep1_m38.mzXML	1	uninfected	C	rep1
pos_carnitine_heart_C_rep1_m2.mzXML	1	carnitine	C	rep1
pos_carnitine_heart_C_rep2_m50.mzXML	1	carnitine	C	rep2
pos_benznidazole_heart_C_rep2_m74.mzXML	1	benznidazole	C	rep2
pos_uninfected_heart_C_rep1_m41.mzXML	1	uninfected	C	rep1
pos_uninfected_heart_C_rep2_m85.mzXML	1	uninfected	C	rep2
pos_carnitine_heart_C_rep1_m21.mzXML	1	carnitine	C	rep1
pos_vehicle_heart_C_rep2_m68.mzXML	1	vehicle	C	rep2
pos_uninfected_heart_C_rep1_m40.mzXML	1	uninfected	C	rep1
pos_benznidazole_heart_C_rep2_m73.mzXML	1	benznidazole	C	rep2
pos_vehicle_heart_C_rep2_m69.mzXML	1	vehicle	C	rep2
pos_benznidazole_heart_C_rep2_m71.mzXML	1	benznidazole	C	rep2
pos_uninfected_heart_C_rep1_m37.mzXML	1	uninfected	C	rep1
pos_vehicle_heart_C_rep1_m8.mzXML	1	vehicle	C	rep1
pos_uninfected_heart_C_rep2_m83.mzXML	1	uninfected	C	rep2
pos_uninfected_heart_C_rep2_m81.mzXML	1	uninfected	C	rep2
pos_benznidazole_heart_C_rep1_m12.mzXML	1	benznidazole	C	rep1
pos_carnitine_heart_C_rep2_m48.mzXML	1	carnitine	C	rep2
pos_uninfected_heart_C_rep2_m82.mzXML	1	uninfected	C	rep2
pos_vehicle_heart_C_rep2_m67.mzXML	1	vehicle	C	rep2
pos_vehicle_heart_C_rep1_m7.mzXML	1	vehicle	C	rep1
pos_vehicle_heart_C_rep2_m60.mzXML	1	vehicle	C	rep2
pos_vehicle_heart_C_rep1_m29.mzXML	1	vehicle	C	rep1
pos_vehicle_heart_C_rep2_m66.mzXML	1	vehicle	C	rep2
pos_uninfected_heart_C_rep2_m84.mzXML	1	uninfected	C	rep2
pos_benznidazole_heart_C_rep1_m13.mzXML	1	benznidazole	C	rep1
pos_benznidazole_heart_C_rep1_m14.mzXML	1	benznidazole	C	rep1
pos_benznidazole_heart_C_rep1_m15.mzXML	1	benznidazole	C	rep1
pos_carnitine_heart_C_rep1_m23.mzXML	1	carnitine	C	rep1
pos_uninfected_heart_C_rep1_m36.mzXML	1	uninfected	C	rep1
pos_uninfected_heart_C_rep1_m39.mzXML	1	uninfected	C	rep1
pos_benznidazole_heart_C_rep1_m11.mzXML	1	benznidazole	C	rep1
pos_carnitine_heart_C_rep2_m46.mzXML	1	carnitine	C	rep2
pos_vehicle_heart_D_rep1_m8.mzXML	1	vehicle	D	rep1
pos_benznidazole_heart_D_rep1_m13.mzXML	1	benznidazole	D	rep1
pos_carnitine_heart_D_rep1_m23.mzXML	1	carnitine	D	rep1
pos_carnitine_heart_D_rep2_m48.mzXML	1	carnitine	D	rep2
pos_uninfected_heart_D_rep1_m41.mzXML	1	uninfected	D	rep1
pos_uninfected_heart_D_rep2_m84.mzXML	1	uninfected	D	rep2
pos_carnitine_heart_D_rep1_m3.mzXML	1	carnitine	D	rep1
pos_vehicle_heart_D_rep2_m68.mzXML	1	vehicle	D	rep2
pos_benznidazole_heart_D_rep1_m11.mzXML	1	benznidazole	D	rep1
pos_uninfected_heart_D_rep1_m36.mzXML	1	uninfected	D	rep1
pos_uninfected_heart_D_rep1_m38.mzXML	1	uninfected	D	rep1
pos_benznidazole_heart_D_rep2_m74.mzXML	1	benznidazole	D	rep2
pos_carnitine_heart_D_rep1_m2.mzXML	1	carnitine	D	rep1
pos_benznidazole_heart_D_rep1_m12.mzXML	1	benznidazole	D	rep1
pos_vehicle_heart_D_rep1_m29.mzXML	1	vehicle	D	rep1
pos_uninfected_heart_D_rep2_m81.mzXML	1	uninfected	D	rep2
pos_vehicle_heart_D_rep1_m27.mzXML	1	vehicle	D	rep1
pos_carnitine_heart_D_rep2_m49.mzXML	1	carnitine	D	rep2
pos_carnitine_heart_D_rep2_m50.mzXML	1	carnitine	D	rep2
pos_vehicle_heart_D_rep2_m66.mzXML	1	vehicle	D	rep2
pos_uninfected_heart_D_rep2_m85.mzXML	1	uninfected	D	rep2
pos_carnitine_heart_D_rep2_m46.mzXML	1	carnitine	D	rep2
pos_vehicle_heart_D_rep2_m69.mzXML	1	vehicle	D	rep2
pos_benznidazole_heart_D_rep2_m71.mzXML	1	benznidazole	D	rep2
pos_uninfected_heart_D_rep1_m39.mzXML	1	uninfected	D	rep1
pos_uninfected_heart_D_rep1_m37.mzXML	1	uninfected	D	rep1
pos_vehicle_heart_D_rep2_m67.mzXML	1	vehicle	D	rep2
pos_carnitine_heart_D_rep1_m1.mzXML	1	carnitine	D	rep1
pos_uninfected_heart_D_rep2_m82.mzXML	1	uninfected	D	rep2
pos_benznidazole_heart_D_rep1_m14.mzXML	1	benznidazole	D	rep1
pos_vehicle_heart_D_rep1_m10.mzXML	1	vehicle	D	rep1
pos_vehicle_heart_D_rep1_m26.mzXML	1	vehicle	D	rep1
pos_uninfected_heart_D_rep1_m40.mzXML	1	uninfected	D	rep1
pos_benznidazole_heart_D_rep1_m15.mzXML	1	benznidazole	D	rep1
pos_benznidazole_heart_D_rep2_m73.mzXML	1	benznidazole	D	rep2
pos_vehicle_heart_D_rep1_m7.mzXML	1	vehicle	D	rep1
pos_vehicle_heart_D_rep2_m60.mzXML	1	vehicle	D	rep2
pos_uninfected_heart_D_rep2_m83.mzXML	1	uninfected	D	rep2
Pos_QC_1.mzXML	2	QC	QC	QC
Pos_QC_2.mzXML	2	QC	QC	QC
Pos_QC_3.mzXML	2	QC	QC	QC
Pos_QC_4.mzXML	2	QC	QC	QC
Pos_QC_5.mzXML	2	QC	QC	QC
Pos_QC_6.mzXML	2	QC	QC	QC
Pos_QC_7.mzXML	2	QC	QC	QC
Pos_QC_8.mzXML	2	QC	QC	QC
Pos_QC_9.mzXML	2	QC	QC	QC
Pos_QC_10.mzXML	2	QC	QC	QC
Pos_QC_11.mzXML	2	QC	QC	QC
Pos_QC_12.mzXML	2	QC	QC	QC
