filename,organ,CAR_long_chain
LA_FDR_pvalue_naive_VS_infected_50DPI,LA,0.211930179
LA_FDR_pvalue_naive_VS_infected_75DPI,LA,0.100444747
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.389233299
RA_FDR_pvalue_naive_VS_infected_50DPI,RA,0.774840302
RA_FDR_pvalue_naive_VS_infected_75DPI,RA,0.345310897
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.073435083
LVT_FDR_pvalue_naive_VS_infected_50DPI,LVT,0.589572968
LVT_FDR_pvalue_naive_VS_infected_75DPI,LVT,0.389233299
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.001402352
LVB_FDR_pvalue_naive_VS_infected_50DPI,LVB,0.83563292
LVB_FDR_naive_VS_infected_75DPI,LVB,0.512486352
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.000142674
RVT_FDR_pvalue_naive_VS_infected_50DPI,RVT,0.293062228
RVT_FDR_pvalue_naive_VS_infected_75DPI,RVT,0.708892328
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,1.10E-05
RVB_FDR_pvalue_naive_VS_infected_50DPI,RVB,1
RVB_FDR_pvalue_naive_VS_infected_75DPI,RVB,0.136974224
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.018096613
