filename,organ,CAR_long_chain
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.389233299
LA_FDR_pvalue_naive_VS_combo_142DPI,LA,0.111059279
LA_FDR_pvalue_naive_VS_BNZ_142DPI,LA,0.774840302
LA_FDR_pvalue_infected_VS_combo_142DPI,LA,0.232811909
LA_FDR_pvalue_infected_VS_BNZ_142DPI,LA,0.389233299
LA_FDR_pvalue_combo_VS_BNZ_142DPI,LA,0.164394222
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.073435083
RA_FDR_pvalue_naive_VS_combo_142DPI,RA,0.004612915
RA_FDR_pvalue_naive_VS_BNZ_142DPI,RA,0.682673808
RA_FDR_pvalue_infected_VS_combo_142DPI,RA,0.824751556
RA_FDR_pvalue_infected_VS_BNZ_142DPI,RA,0.090667798
RA_FDR_pvalue_combo_VS_BNZ_142DPI,RA,0.002373349
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.001402352
LVT_FDR_pvalue_naive_VS_combo_142DPI,LVT,0.000188881
LVT_FDR_pvalue_naive_VS_BNZ_142DPI,LVT,0.361442952
LVT_FDR_pvalue_infected_VS_combo_142DPI,LVT,0.806333778
LVT_FDR_pvalue_infected_VS_BNZ_142DPI,LVT,0.003674311
LVT_FDR_pvalue_combo_VS_BNZ_142DPI,LVT,0.00083409
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.000142674
LVB_FDR_pvalue_naive_VS_combo_142DPI,LVB,4.11E-06
LVB_FDR_pvalue_naive_VS_BNZ_142DPI,LVB,1.81E-05
LVB_FDR_pvalue_infected_VS_combo_142DPI,LVB,0.506867669
LVB_FDR_pvalue_infected_VS_BNZ_142DPI,LVB,0.061995828
LVB_FDR_pvalue_combo_VS_BNZ_142DPI,LVB,0.134992308
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,1.10E-05
RVT_FDR_pvalue_naive_VS_combo_142DPI,RVT,2.40E-06
RVT_FDR_pvalue_naive_VS_BNZ_142DPI,RVT,0.001571441
RVT_FDR_pvalue_infected_VS_combo_142DPI,RVT,1
RVT_FDR_pvalue_infected_VS_BNZ_142DPI,RVT,0.139344153
RVT_FDR_pvalue_combo_VS_BNZ_142DPI,RVT,0.124020705
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.018096613
RVB_FDR_pvalue_naive_VS_combo_142DPI,RVB,0.008257612
RVB_FDR_pvalue_naive_VS_BNZ_142DPI,RVB,0.001522953
RVB_FDR_pvalue_infected_VS_combo_142DPI,RVB,0.736814931
RVB_FDR_pvalue_infected_VS_BNZ_142DPI,RVB,0.409223801
RVB_FDR_pvalue_combo_VS_BNZ_142DPI,RVB,0.769789217
