filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,50,LA,A1,P121,0.128228814
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,50,LV_bottom,A1,P133,0.147512059
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,50,LV_top,A1,P129,0.219131399
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,50,RA,A1,P125,0.104956445
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,50,RV_bottom,A1,P141,0.099858154
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,50,RV_top,A1,P137,0.054119832
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,50,LA,A2,P121,0.165981693
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,50,LV_bottom,A2,P133,0.171038855
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,50,LV_top,A2,P129,0.224986195
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,50,RA,A2,P125,0.09581041
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,50,RV_bottom,A2,P141,0.189755945
X502_Group1A_50dpi_RV_top_252_B_A2_P137.mzXML,502,Group1A,naive,50,RV_top,A2,P137,0.082908653
X503_Group1A_50dpi_LA_253_B_A3_P121.mzXML,503,Group1A,naive,50,LA,A3,P121,0.149202562
X503_Group1A_50dpi_LV_bottom_253_B_A3_P133.mzXML,503,Group1A,naive,50,LV_bottom,A3,P133,0.211862988
X503_Group1A_50dpi_LV_top_253_B_A3_P129.mzXML,503,Group1A,naive,50,LV_top,A3,P129,0.233614992
X503_Group1A_50dpi_RA_253_B_A3_P125.mzXML,503,Group1A,naive,50,RA,A3,P125,0.055589564
X503_Group1A_50dpi_RV_bottom_253_B_A3_P141.mzXML,503,Group1A,naive,50,RV_bottom,A3,P141,0.135708063
X503_Group1A_50dpi_RV_top_253_B_A3_P137.mzXML,503,Group1A,naive,50,RV_top,A3,P137,0.07888846
X504_Group1A_50dpi_LA_254_B_A4_P121.mzXML,504,Group1A,naive,50,LA,A4,P121,0.102789081
X504_Group1A_50dpi_LV_bottom_254_B_A4_P133.mzXML,504,Group1A,naive,50,LV_bottom,A4,P133,0.215644234
X504_Group1A_50dpi_LV_top_254_B_A4_P129.mzXML,504,Group1A,naive,50,LV_top,A4,P129,0.206865419
X504_Group1A_50dpi_RA_254_B_A4_P125.mzXML,504,Group1A,naive,50,RA,A4,P125,0.049677008
X504_Group1A_50dpi_RV_bottom_254_B_A4_P141.mzXML,504,Group1A,naive,50,RV_bottom,A4,P141,0.078958456
X504_Group1A_50dpi_RV_top_254_B_A4_P137.mzXML,504,Group1A,naive,50,RV_top,A4,P137,0.081600668
X505_Group1A_50dpi_LA_255_B_A5_P121.mzXML,505,Group1A,naive,50,LA,A5,P121,0.179393158
X505_Group1A_50dpi_LV_bottom_255_B_A5_P133.mzXML,505,Group1A,naive,50,LV_bottom,A5,P133,0.172228305
X505_Group1A_50dpi_LV_top_255_B_A5_P129.mzXML,505,Group1A,naive,50,LV_top,A5,P129,0.208136381
X505_Group1A_50dpi_RA_255_B_A5_P125.mzXML,505,Group1A,naive,50,RA,A5,P125,0.068137024
X505_Group1A_50dpi_RV_bottom_255_B_A5_P141.mzXML,505,Group1A,naive,50,RV_bottom,A5,P141,0.05588815
X505_Group1A_50dpi_RV_top_255_B_A5_P137.mzXML,505,Group1A,naive,50,RV_top,A5,P137,0.078682548
X521_Group1A_50dpi_LA_256_B_A6_P121.mzXML,521,Group1A,naive,50,LA,A6,P121,0.167860773
X521_Group1A_50dpi_LV_bottom_256_B_A6_P133.mzXML,521,Group1A,naive,50,LV_bottom,A6,P133,0.184425549
X521_Group1A_50dpi_LV_top_256_B_A6_P129.mzXML,521,Group1A,naive,50,LV_top,A6,P129,0.212176253
X521_Group1A_50dpi_RA_256_B_A6_P125.mzXML,521,Group1A,naive,50,RA,A6,P125,0.051467966
X521_Group1A_50dpi_RV_bottom_256_B_A6_P141.mzXML,521,Group1A,naive,50,RV_bottom,A6,P141,0.056567229
X521_Group1A_50dpi_RV_top_256_B_A6_P137.mzXML,521,Group1A,naive,50,RV_top,A6,P137,0.049820013
X522_Group1A_50dpi_LA_257_B_A7_P121.mzXML,522,Group1A,naive,50,LA,A7,P121,0.187777588
