filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_400,mass_500,mass_600,mass_700,mass_800
X501_Group1A_50dpi_LA_251_B_A1_P121.mzXML,501,Group1A,naive,50,LA,A1,P121,0.036805406,5.72E-02,0.00076056,0.031205378,0.002291347
X501_Group1A_50dpi_LV_bottom_251_B_A1_P133.mzXML,501,Group1A,naive,50,LV_bottom,A1,P133,0.078923501,0.065306991,0.000970399,0.001945097,0.000366071
X501_Group1A_50dpi_LV_top_251_B_A1_P129.mzXML,501,Group1A,naive,50,LV_top,A1,P129,0.085203762,0.114249346,0.003061546,0.012707655,0.00390909
X501_Group1A_50dpi_RA_251_B_A1_P125.mzXML,501,Group1A,naive,50,RA,A1,P125,0.027834249,0.043995472,0.001158695,0.023595791,0.008372238
X501_Group1A_50dpi_RV_bottom_251_B_A1_P141.mzXML,501,Group1A,naive,50,RV_bottom,A1,P141,0.043428338,0.054974155,0.000742324,0.000115581,0.000597756
X501_Group1A_50dpi_RV_top_251_B_A1_P137.mzXML,501,Group1A,naive,50,RV_top,A1,P137,0.029713808,0.022202126,0.0000786,0.002125298,0
X502_Group1A_50dpi_LA_252_B_A2_P121.mzXML,502,Group1A,naive,50,LA,A2,P121,0.050302468,0.055799713,0.001677424,0.042509779,0.015692309
X502_Group1A_50dpi_LV_bottom_252_B_A2_P133.mzXML,502,Group1A,naive,50,LV_bottom,A2,P133,0.079242557,0.076174289,0.002993028,8.44E-03,0.004184386
X502_Group1A_50dpi_LV_top_252_B_A2_P129.mzXML,502,Group1A,naive,50,LV_top,A2,P129,0.096287286,0.107408683,0.001904863,9.86E-03,0.009529682
X502_Group1A_50dpi_RA_252_B_A2_P125.mzXML,502,Group1A,naive,50,RA,A2,P125,0.033785399,4.30E-02,0.000571394,0.015961516,0.002533112
X502_Group1A_50dpi_RV_bottom_252_B_A2_P141.mzXML,502,Group1A,naive,50,RV_bottom,A2,P141,0.050039889,0.101181452,0.00244645,0.013312979,0.022775175
