filename,organ,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_50DPI,LA,0.345310897,0.271070798,0.001970248,0.082359104,0.271070798
LA_FDR_pvalue_naive_VS_infected_75DPI,LA,0.028517539,0.475734785,0.475734785,0.674123174,0.9348872
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.967417298,0.967417298,0.868044499,0.967417298,0.967417298
RA_FDR_pvalue_naive_VS_infected_50DPI,RA,0.342435561,0.342435561,0.870194456,0.611458654,0.870194456
RA_FDR_pvalue_naive_VS_infected_75DPI,RA,0.018760013,0.018760013,0.067496154,0.036870593,0.018760013
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.50765136,0.838134777,0.50765136,0.50765136,0.64060794
LVT_FDR_pvalue_naive_VS_infected_50DPI,LVT,0.445161707,0.056280039,0.169223696,0.870194456,0.486541623
LVT_FDR_pvalue_naive_VS_infected_75DPI,LVT,0.648722165,0.929627582,0.542141597,0.967417298,0.226669495
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.082359104,0.148657955,0.324548175,0.082359104,0.324548175
LVB_FDR_pvalue_naive_VS_infected_50DPI,LVB,0.486364764,0.222986933,0.009316398,0.486364764,0.486364764
LVB_FDR_pvalue_naive_VS_infected_75DPI,LVB,0.009185777,0.008326074,0.092755625,0.366875192,0.092755625
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.171217781,0.018858863,0.009814752,0.902462275,0.123674167
RVT_FDR_pvalue_naive_VS_infected_50DPI,RVT,0.65287003,0.405685219,0.3710225,0.405685219,0.405685219
RVT_FDR_pvalue_naive_VS_infected_75DPI,RVT,0.00070179,0.004503123,0.184214736,0.031358392,0.004503123
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,0.682673808,0.512274875,0.682673808,0.512274875,0.512274875
RVB_FDR_pvalue_naive_VS_infected_50DPI,RVB,0.774840302,0.774840302,0.774840302,0.774840302,0.774840302
RVB_FDR_pvalue_naive_VS_infected_75DPI,RVB,2.40E-05,0.004163037,0.009985017,0.236687484,0.016305453
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.024687057,0.000102052,0.144991407,0.348944317,0.144991407
