filename,organ,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.967417298,0.967417298,0.868044499,0.967417298,0.967417298
LA_FDR_pvalue_naive_VS_combo_142DPI,LA,1,0.727149046,0.337480769,0.667742561,0.816087538
LA_FDR_pvalue_naive_VS_BNZ_142DPI,LA,0.228290374,0.113334748,0.113334748,0.271070798,0.285440871
LA_FDR_pvalue_infected_VS_combo_142DPI,LA,0.607955955,0.607955955,0.607955955,0.607955955,1
LA_FDR_pvalue_infected_VS_BNZ_142DPI,LA,0.052255767,0.052255767,0.460958749,0.38073852,0.336132394
LA_FDR_pvalue_combo_VS_BNZ_142DPI,LA,0.401713681,0.401713681,0.743604913,0.967417298,0.475734785
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.50765136,0.838134777,0.50765136,0.50765136,0.64060794
RA_FDR_pvalue_naive_VS_combo_142DPI,RA,0.011532289,0.336132394,0.113334748,0.917402105,0.917402105
RA_FDR_pvalue_naive_VS_BNZ_142DPI,RA,0.063995157,0.371199978,1,0.708468118,0.708468118
RA_FDR_pvalue_infected_VS_combo_142DPI,RA,0.371199978,0.65287003,0.306396209,0.445161707,0.607955955
RA_FDR_pvalue_infected_VS_BNZ_142DPI,RA,0.623594279,0.623594279,0.487628799,0.623594279,0.582029773
RA_FDR_pvalue_combo_VS_BNZ_142DPI,RA,0.85414392,0.870194456,0.028517539,0.85414392,0.870194456
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.082359104,0.148657955,0.324548175,0.082359104,0.324548175
LVT_FDR_pvalue_naive_VS_combo_142DPI,LVT,0.870194456,0.289946874,0.289946874,0.475734785,0.515469723
LVT_FDR_pvalue_naive_VS_BNZ_142DPI,LVT,0.028517539,0.102099782,0.50765136,0.712965125,0.712965125
LVT_FDR_pvalue_infected_VS_combo_142DPI,LVT,0.803427363,1,1,1,1
LVT_FDR_pvalue_infected_VS_BNZ_142DPI,LVT,0.540913625,0.9348872,0.9348872,0.2438144,0.2438144
LVT_FDR_pvalue_combo_VS_BNZ_142DPI,LVT,0.204199564,0.838134777,0.838134777,0.648722165,0.582029773
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.171217781,0.018858863,0.009814752,0.902462275,0.123674167
LVB_FDR_pvalue_naive_VS_combo_142DPI,LVB,0.674123174,0.2438144,0.032840262,0.870194456,0.674123174
LVB_FDR_pvalue_naive_VS_BNZ_142DPI,LVB,0.000985124,0.000985124,0.00139015,0.65287003,0.65287003
LVB_FDR_pvalue_infected_VS_combo_142DPI,LVB,0.743702065,0.743702065,0.743702065,0.743702065,0.743702065
LVB_FDR_pvalue_infected_VS_BNZ_142DPI,LVB,0.183587708,0.266114234,0.445161707,0.870194456,0.486541623
LVB_FDR_pvalue_combo_VS_BNZ_142DPI,LVB,0.043209046,0.2438144,0.81060794,0.891206406,0.950384432
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,0.682673808,0.512274875,0.682673808,0.512274875,0.512274875
RVT_FDR_pvalue_naive_VS_combo_142DPI,RVT,0.834686812,0.834686812,0.834686812,0.834686812,0.834686812
RVT_FDR_pvalue_naive_VS_BNZ_142DPI,RVT,0.454444529,0.454444529,0.454444529,1,0.454444529
RVT_FDR_pvalue_infected_VS_combo_142DPI,RVT,0.770020575,0.983451991,0.983451991,0.770020575,0.770020575
RVT_FDR_pvalue_infected_VS_BNZ_142DPI,RVT,0.407146723,0.620226027,0.693517929,0.606322748,0.620226027
RVT_FDR_pvalue_combo_VS_BNZ_142DPI,RVT,0.579893748,0.819525936,0.819525936,0.819525936,0.819525936
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.024687057,0.000102052,0.144991407,0.348944317,0.144991407
RVB_FDR_pvalue_naive_VS_combo_142DPI,RVB,0.267809121,0.004170451,0.069949369,0.746773045,0.798315205
RVB_FDR_pvalue_naive_VS_BNZ_142DPI,RVB,0.2438144,0.2438144,0.721444312,0.918507527,0.721444312
RVB_FDR_pvalue_infected_VS_combo_142DPI,RVB,0.388019849,0.388019849,0.491631042,0.491631042,0.388019849
RVB_FDR_pvalue_infected_VS_BNZ_142DPI,RVB,0.460958749,0.125555933,0.460958749,0.415360971,0.125555933
RVB_FDR_pvalue_combo_VS_BNZ_142DPI,RVB,0.838134777,0.458593991,0.458593991,0.458593991,0.458593991
