filename,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_50DPI,0.835687009,0.891206406,0.020954817,0.10451153400000002,0.036368898000000004
LA_FDR_pvalue_naive_VS_infected_75DPI,0.024978221999999998,0.891206406,0.64060794,1.0,0.50765136
LA_FDR_pvalue_naive_VS_infected_142DPI,0.76147704,0.891206406,0.38634728100000004,1.0,0.50765136
RA_FDR_pvalue_naive_VS_infected_50DPI,0.365570111,0.365570111,0.365570111,0.88444639,0.678167267
RA_FDR_pvalue_naive_VS_infected_75DPI,0.365570111,0.082158612,0.022844298000000002,0.024377502000000002,0.678167267
RA_FDR_pvalue_naive_VS_infected_142DPI,0.365570111,0.365570111,0.365570111,0.88444639,0.678167267
LVT_FDR_pvalue_naive_VS_infected_50DPI,0.2229869325,0.445973865,0.371699925,0.847835852,0.946975393
LVT_FDR_pvalue_naive_VS_infected_75DPI,0.708799549,0.717245066,0.787439197,0.847835852,0.946975393
LVT_FDR_pvalue_naive_VS_infected_142DPI,0.2229869325,0.717245066,0.787439197,0.847835852,0.946975393
LVB_FDR_pvalue_naive_VS_infected_50DPI,0.0925494,0.0577467375,0.0544468965,0.302366346,0.1866828555
LVB_FDR_pvalue_naive_VS_infected_75DPI,0.034596867,0.0577467375,0.06941205,0.302366346,0.115493475
LVB_FDR_pvalue_naive_VS_infected_142DPI,0.0370305855,0.103234334,0.010049628,0.708613726,0.708613726
RVT_FDR_pvalue_naive_VS_infected_50DPI,0.1762210995,0.2438144,0.271332211,0.759406454,0.759406454
RVT_FDR_pvalue_naive_VS_infected_75DPI,0.017298432000000002,0.017298432000000002,0.021363351,0.021363351,0.03162537000000001
RVT_FDR_pvalue_naive_VS_infected_142DPI,0.743702065,0.15319810500000003,0.144053715,0.144053715,0.308239167
RVB_FDR_pvalue_naive_VS_infected_50DPI,0.742808798,0.742808798,,0.742808798,
RVB_FDR_pvalue_naive_VS_infected_75DPI,0.11300033999999999,9.810000000000001e-05,,0.061137618000000005,
RVB_FDR_pvalue_naive_VS_infected_142DPI,0.11300033999999999,0.0940603815,,0.742808798,
