filename,organ,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_50DPI,LA,0.835687009,0.835687009,0.006984939,0.034837178,0.012122966
LA_FDR_pvalue_naive_VS_infected_75DPI,LA,0.008326074,0.64060794,0.64060794,0.682673808,0.4337665
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.50765136,0.891206406,0.257564854,1,0.50765136
RA_FDR_pvalue_naive_VS_infected_50DPI,RA,0.365570111,0.365570111,0.365570111,0.88444639,0.365570111
RA_FDR_pvalue_naive_VS_infected_75DPI,RA,0.200856841,0.027386204,0.007614766,0.008125834,0.523998656
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.315368503,0.315368503,0.359594433,0.678167267,0.678167267
LVT_FDR_pvalue_naive_VS_infected_50DPI,LVT,0.148657955,0.148657955,0.123899975,0.847835852,0.946975393
LVT_FDR_pvalue_naive_VS_infected_75DPI,LVT,0.708799549,0.708799549,0.708799549,0.708799549,0.708799549
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.117480733,0.717245066,0.787439197,0.352123554,0.717245066
LVB_FDR_pvalue_naive_VS_infected_50DPI,LVB,0.0925494,0.036297931,0.036297931,0.121458709,0.124455237
LVB_FDR_pvalue_naive_VS_infected_75DPI,LVB,0.011532289,0.038497825,0.06941205,0.201577564,0.038497825
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.024687057,0.103234334,0.003349876,0.708613726,0.708613726
RVT_FDR_pvalue_naive_VS_infected_50DPI,RVT,0.117480733,0.2438144,0.271332211,0.759406454,0.759406454
RVT_FDR_pvalue_naive_VS_infected_75DPI,RVT,0.005766144,0.005766144,0.007121117,0.007121117,0.01054179
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,0.743702065,0.10213207,0.09603581,0.09603581,0.205492778
RVB_FDR_pvalue_naive_VS_infected_50DPI,RVB,0.742808798,0.742808798,0.742808798,0.742808798,0.742808798
RVB_FDR_pvalue_naive_VS_infected_75DPI,RVB,0.067496154,3.27E-05,0.001522829,0.020379206,0.022620767
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.07533356,0.062706921,NA,0.523998656,NA
