filename,organ,mass_400,mass_500,mass_600,mass_700,mass_800
LA_FDR_pvalue_naive_VS_infected_142DPI,LA,0.50765136,0.891206406,0.257564854,1,0.50765136
LA_FDR_pvalue_naive_VS_combo_142DPI,LA,0.648722165,0.743702065,0.648722165,0.714870776,0.595188917
LA_FDR_pvalue_naive_VS_BNZ_142DPI,LA,0.183199885,0.183199885,0.183199885,0.661948,0.183199885
LA_FDR_pvalue_infected_VS_combo_142DPI,LA,0.967417298,0.967417298,0.967417298,0.967417298,0.967417298
LA_FDR_pvalue_infected_VS_BNZ_142DPI,LA,0.063995157,0.2438144,0.822934221,0.822934221,0.822934221
LA_FDR_pvalue_combo_VS_BNZ_142DPI,LA,0.063995157,0.883488005,0.883488005,0.883488005,0.883488005
RA_FDR_pvalue_naive_VS_infected_142DPI,RA,0.315368503,0.315368503,0.359594433,0.678167267,0.678167267
RA_FDR_pvalue_naive_VS_combo_142DPI,RA,0.609311636,0.609311636,0.609311636,0.609311636,0.609311636
RA_FDR_pvalue_naive_VS_BNZ_142DPI,RA,0.38701862,0.38701862,0.38701862,0.38701862,0.38701862
RA_FDR_pvalue_infected_VS_combo_142DPI,RA,0.64060794,0.64060794,0.245949626,0.64060794,0.972006675
RA_FDR_pvalue_infected_VS_BNZ_142DPI,RA,0.712965125,0.712965125,0.712965125,0.712965125,0.712965125
RA_FDR_pvalue_combo_VS_BNZ_142DPI,RA,0.967417298,0.967417298,0.917458526,0.967417298,0.967417298
LVT_FDR_pvalue_naive_VS_infected_142DPI,LVT,0.117480733,0.717245066,0.787439197,0.352123554,0.717245066
LVT_FDR_pvalue_naive_VS_combo_142DPI,LVT,0.092768631,0.222986933,0.53929854,0.53929854,0.53929854
LVT_FDR_pvalue_naive_VS_BNZ_142DPI,LVT,0.117480733,0.371199978,0.917319569,0.917319569,0.917319569
LVT_FDR_pvalue_infected_VS_combo_142DPI,LVT,0.838134777,0.838134777,0.838134777,0.838134777,0.838134777
LVT_FDR_pvalue_infected_VS_BNZ_142DPI,LVT,0.870194456,0.736966209,0.736966209,0.648056681,0.736966209
LVT_FDR_pvalue_combo_VS_BNZ_142DPI,LVT,0.870194456,0.870194456,0.870194456,0.870194456,0.870194456
LVB_FDR_pvalue_naive_VS_infected_142DPI,LVB,0.024687057,0.103234334,0.003349876,0.708613726,0.708613726
LVB_FDR_pvalue_naive_VS_combo_142DPI,LVB,0.102099782,0.124105715,0.00022022,0.347285331,0.361662741
LVB_FDR_pvalue_naive_VS_BNZ_142DPI,LVB,0.000660757,0.005377875,0.000660757,0.599690308,0.92934997
LVB_FDR_pvalue_infected_VS_combo_142DPI,LVB,0.667059133,1,0.667059133,0.494470621,0.494470621
LVB_FDR_pvalue_infected_VS_BNZ_142DPI,LVB,0.437036031,0.337480769,0.437036031,0.86793455,0.847092733
LVB_FDR_pvalue_combo_VS_BNZ_142DPI,LVB,0.104511534,0.247638435,0.533647307,0.247638435,0.290492521
RVT_FDR_pvalue_naive_VS_infected_142DPI,RVT,0.743702065,0.10213207,0.09603581,0.09603581,0.205492778
RVT_FDR_pvalue_naive_VS_combo_142DPI,RVT,0.389422616,0.321370945,0.153657295,0.389422616,NA
RVT_FDR_pvalue_naive_VS_BNZ_142DPI,RVT,0.798315205,0.798315205,0.153657295,0.798315205,NA
RVT_FDR_pvalue_infected_VS_combo_142DPI,RVT,0.219192297,0.324548175,NA,0.219192297,0.219192297
RVT_FDR_pvalue_infected_VS_BNZ_142DPI,RVT,0.162858689,0.267097024,NA,0.162858689,0.219192297
RVT_FDR_pvalue_combo_VS_BNZ_142DPI,RVT,0.695352222,0.695352222,NA,0.695352222,NA
RVB_FDR_pvalue_naive_VS_infected_142DPI,RVB,0.07533356,0.062706921,NA,0.523998656,NA
RVB_FDR_pvalue_naive_VS_combo_142DPI,RVB,0.038397094,0.35064789,NA,0.35064789,NA
RVB_FDR_pvalue_naive_VS_BNZ_142DPI,RVB,0.202488462,0.349217864,NA,0.35064789,NA
RVB_FDR_pvalue_infected_VS_combo_142DPI,RVB,0.9348872,0.246591334,NA,0.246591334,NA
RVB_FDR_pvalue_infected_VS_BNZ_142DPI,RVB,0.967417298,0.26041335,NA,0.26041335,NA
RVB_FDR_pvalue_combo_VS_BNZ_142DPI,RVB,0.9348872,0.9348872,NA,NA,NA
