filename,cluster_index,Metabolite_classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,Restoration_information
X102.092_0.611,1121,No matches,0,2.65332597,NA,NA,102.092,0.611,NA,NA,NA,No,NA,combo_BNZ
X114.092_1.761,826,No matches,0,2.372145986,3-Aminocaproic acid_C6H13NO2,0.876486,114.092,1.761,NA,NA,NA,No,Spectral Match to 6-Aminocaproic acid from NIST14,combo_BNZ
X137.046_0.35,58,Organoheterocyclic compounds,0.325,3.842882066,Hypoxanthine_C5H4N4O,2.189041,137.046,0.35,0.8225,5,9.16E-05,No,Spectral Match to Allopurinol from NIST14,not_restored
X166.053_0.305,1138,No matches,0,2.227041415,NA,NA,166.053,0.305,NA,NA,NA,Yes,Self-Loop,not_restored
X258.111_0.302,5747,Lipids and lipid-like molecules,0.714285714,2.802625336,NA,NA,258.111,0.302,NA,NA,NA,No,ReSpect:PM018116 sn-Glycero-3-phosphocholine,BNZ
X280.263_3.169,5285,No matches,0,2.142762876,NA,NA,280.263,3.169,NA,NA,NA,Yes,Spectral Match to 1-Linoleoylglycerol from NIST14,combo_BNZ
X368.389_3.90,6437,Organic acids and derivatives,0.142857143,3.632262241,Octadecanamide_C18H37NO_(M+H+C6H12),0.542904,368.389,3.9,0.920196,6,84.0937,Yes,Spectral Match to Octadecanamide from NIST14,combo_BNZ
X377.146_2.225,4292,No matches,0,2.36116505,Riboflavin_C17H20N4O6,0.265149,377.146,2.225,0.938568,14,0.000396729,No,RIBOFLAVIN - 50.0 eV,combo
X385.165_2.771,1915,No matches,0,3.363070058,NA,NA,385.165,2.771,NA,NA,NA,No,NA,combo_BNZ
X387.192_2.843,306,No matches,0,2.555657025,NA,NA,387.192,2.843,NA,NA,NA,No,MoNA:918587 Innovar,combo_BNZ
X428.205_2.248,4532,No matches,0,2.240653627,NA,NA,428.205,2.248,NA,NA,NA,Yes,Spectral Match to HEPC from NIST14,not_restored
X430.223_2.769,8304,No matches,0,2.122333783,NA,NA,430.223,2.769,NA,NA,NA,Yes,"ReSpect:PT101903 Cytidine-5'-diphosphate sodium salt hydrate,from yeast|CDP Sodium Salt|Cytidine 5'-Diphosphoric Acid|[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen p",combo_BNZ
X444.332_3.016,2000,No matches,0,2.227385142,NA,NA,444.332,3.016,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14,not_restored
X472.363_3.023,1899,No matches,0,2.65252101,NA,NA,472.363,3.023,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,not_restored
X488.359_3.01,1901,No matches,0,3.899923122,NA,NA,488.359,3.01,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14,not_restored
X516.39_3.018,8038,No matches,0,3.905018508,NA,NA,516.39,3.018,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,not_restored
