filename,LA
X137.046_0.35,not_restored
X166.053_0.305,not_restored
X428.205_2.248,not_restored
X444.332_3.016,not_restored
X472.363_3.023,not_restored
X488.359_3.01,not_restored
X516.39_3.018,not_restored
X532.385_3.004,not_restored
X560.416_3.006,not_restored
X576.411_2.999,not_restored
X604.442_3.001,not_restored
X620.437_2.993,not_restored
X648.468_2.995,not_restored
X650.403_3.014,not_restored
X664.463_2.992,not_restored
X666.433_3.092,not_restored
X708.489_2.982,not_restored
X752.515_2.977,not_restored
X898.581_3.224,not_restored
