filename,LVB
X119.049_2.765,group15
X251.037_0.323,group15
X291.146_2.39,group15
X386.717_2.856,group15
X494.325_2.865,group15
X620.356_2.913,group15
X105.07_2.767,group9
X249.112_2.768,group9
X258.207_2.775,group9
X267.123_2.767,group9
X352.306_2.997,group9
X369.17_2.767,group9
X396.332_2.991,group9
X430.223_2.769,group9
X440.359_2.985,group9
X484.385_2.982,group9
X489.228_2.768,group9
X599.241_2.765,group9
X604.362_2.948,group9
X790.38_2.768,group9
X795.335_2.768,group9
X387.193_2.842,group9_group15
X764.524_3.729,group9_group15
X792.329_2.764,group9_group15
X811.309_2.773,group9_group15
