filename,RVB
X277.216_3.018,group15
X295.227_3.017,group15
X327.232_3.01,group15
X522.357_2.957,group15
X544.34_2.89,group15
X568.341_2.887,group15
X590.322_2.887,group15
X604.362_2.948,group15
X142.035_0.315,group9
X214.181_2.634,group9
X236.163_2.635,group9
X242.212_2.78,group9
X242.586_2.766,group9
X281.102_2.768,group9
X300.199_2.264,group9
X308.295_3.045,group9
X324.29_3.082,group9
X409.162_2.768,group9
X506.255_3.172,group9
X795.335_2.768,group9
X801.313_2.768,group9
X801.815_2.767,group9
X132.102_0.307,group9_group15
X226.181_2.61,group9_group15
X256.227_2.847,group9_group15
X278.186_2.23,group9_group15
X298.2_2.676,group9_group15
X348.288_3.044,group9_group15
X502.294_2.879,group9_group15
