filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,LA
X102.092_0.611,0.570563282,0.967417298,0.000992936,group9_group15
X114.092_1.761,0.692411389,0.772358233,0.002279584,group9_group15
X137.046_0.35,0.014818868,0.101222229,7.81E-05,not_restored
X166.053_0.305,0.020557824,0.967417298,0.006544064,not_restored
X258.111_0.302,0.446568764,0.772358233,0.015158032,group15
X280.263_3.169,0.01791287,0.967417298,0.003912665,group9_group15
X368.389_3.90,0.42578106,0.772358233,0.03047969,group9_group15
X377.146_2.225,0.005132594,0.967417298,0.002086758,group9
X385.165_2.771,0.030159864,0.967417298,0.00241254,group9_group15
X387.192_2.843,0.408038602,0.43448902,0.001332916,group9_group15
X428.205_2.248,0.052383169,0.355904888,0.000698253,not_restored
X430.223_2.769,0.014818868,0.967417298,0.032943642,group9_group15
X444.332_3.016,0.020557824,0.191131657,0.001370152,not_restored
X472.363_3.023,0.014818868,0.355904888,0.000182793,not_restored
X488.359_3.01,0.042137821,0.191131657,8.92E-05,not_restored
X516.39_3.018,0.014818868,0.191131657,7.81E-05,not_restored
X532.385_3.004,0.014818868,0.109812139,5.13E-05,not_restored
X560.416_3.006,0.022586526,0.415926991,5.13E-05,not_restored
X576.411_2.999,0.022512015,0.109812139,5.13E-05,not_restored
X604.442_3.001,0.025944825,0.191131657,5.13E-05,not_restored
X608.393_3.098,0.014818868,0.43448902,8.87E-05,group15
X616.308_2.766,NA,NA,0.000698253,group15
X620.437_2.993,0.014818868,0.109812139,5.13E-05,not_restored
X648.468_2.995,0.025944825,0.231957499,5.13E-05,not_restored
X650.403_3.014,0.199876168,0.191131657,7.81E-05,not_restored
X664.463_2.992,0.022586526,0.109812139,5.37E-05,not_restored
X666.433_3.092,0.001361706,0.101222229,0.003811028,not_restored
X679.068_2.179,0.109460679,0.101222229,0.005840549,group9_group15
X708.489_2.982,0.014818868,0.109812139,7.81E-05,not_restored
X752.515_2.977,0.022512015,0.101222229,0.001083513,not_restored
X898.581_3.224,0.412571213,0.562758213,0.008637893,not_restored
