filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,LVB
X105.07_2.767,6.47E-05,0.280837926,7.87E-05,group9
X119.049_2.765,0.045417565,0.664597275,0.000196176,group15
X128.018_0.344,0.21092977,0.022701524,2.38E-05,not_restored
X136.062_0.301,0.000581466,8.62E-05,5.03E-05,not_restored
X136.097_0.551,0.002538255,0.000976804,0.000129724,not_restored
X137.046_0.35,0.00056326,4.75E-05,3.73E-05,not_restored
X137.046_0.42,6.47E-05,6.74E-05,9.32E-05,not_restored
X203.007_0.309,0.00056326,7.64E-05,0.000304079,not_restored
X249.112_2.768,0.00099273,0.373351116,2.84E-05,group9
X251.037_0.323,0.00475765,0.003753594,0.000602262,group15
X256.264_3.225,0.295056462,0.047028579,6.44E-05,not_restored
X258.207_2.775,0.52197684,0.343139768,5.03E-05,group9
X267.123_2.767,0.000104294,0.299793757,0.000104979,group9
X285.133_2.768,6.47E-05,0.267809121,6.93E-05,not_restored
X291.146_2.39,0.000188011,6.74E-05,0.000778274,group15
X296.258_2.976,0.037336701,0.040814538,5.03E-05,not_restored
X301.115_0.328,4.08E-05,9.93E-05,0.000486912,not_restored
X301.115_0.413,4.08E-05,9.93E-05,0.000375742,not_restored
X324.327_3.455,0.166569057,0.000976804,6.93E-05,not_restored
X351.217_2.741,0.007078569,0.502746587,0.000653012,not_restored
X352.306_2.997,0.363879886,0.156603063,0.000115318,group9
X369.17_2.767,5.29E-05,0.294278916,2.84E-05,group9
X380.993_2.164,0.000188011,0.021676171,2.84E-05,not_restored
X386.717_2.856,0.000267079,0.00197072,0.000690257,group15
X387.193_2.842,0.018763541,0.866184427,0.000318053,group9_group15
X396.332_2.991,0.18321982,0.749889652,0.000129142,group9
X397.22_2.071,0.001114222,0.337546687,0.00023477,not_restored
X400.97_2.127,0.104402042,0.419252912,0.000129724,not_restored
X416.337_2.79,0.15664098,0.6116274,0.000104979,not_restored
X420.899_2.103,0.000747453,0.17663662,0.000153229,not_restored
X426.484_2.164,0.001114222,0.205794255,0.000104979,not_restored
X430.223_2.769,0.002538255,0.365098788,0.000138862,group9
X440.337_2.765,0.225464698,0.712863658,8.61E-05,not_restored
X440.359_2.985,0.036529991,0.910587565,0.000207129,group9
X442.353_2.823,0.129184538,0.782685828,3.73E-05,not_restored
X458.23_2.165,0.000577202,0.299793757,3.63E-05,not_restored
X466.25_2.226,0.001114222,0.059329793,3.73E-05,not_restored
X475.989_2.164,7.98E-05,0.001470235,2.84E-05,not_restored
X476.24_2.164,7.98E-05,0.001344251,2.84E-05,not_restored
X484.385_2.982,0.184524127,0.916157687,0.000138862,group9
X489.228_2.768,0.000104294,0.349769913,2.38E-05,group9
X494.325_2.865,0.166569057,0.000482859,0.006014996,group15
X570.357_2.934,0.113678339,0.03471976,0.000375742,not_restored
X580.362_2.984,0.005009488,0.040814538,0.000115318,not_restored
X599.241_2.765,0.000460984,0.349769913,9.77E-05,group9
X604.362_2.948,0.000581466,0.00197072,0.000323037,group9
X620.356_2.913,0.000581466,0.018062144,0.00120865,group15
X682.363_3.329,4.08E-05,6.74E-05,3.73E-05,not_restored
X682.364_3.313,4.08E-05,6.74E-05,6.93E-05,not_restored
X764.524_3.729,0.68235211,0.002303626,0.000358812,group9_group15
X790.38_2.768,6.47E-05,0.267809121,2.84E-05,group9
X792.329_2.764,0.001114222,0.174669122,7.54E-05,group9_group15
X795.335_2.768,6.47E-05,0.419252912,5.03E-05,group9
X811.309_2.773,0.045297507,0.313871451,0.000137179,group9_group15
