filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,RA
X105.07_2.767,0.931260863,0.063995157,0.001209477,group9_group15
X111.044_2.768,0.325434864,0.198632438,0.002082737,group9_group15
X137.046_0.35,0.056221417,0.00134685,0.000710209,group15
X141.959_6.859,0.056221417,0.579642438,0.058053257,group9_group15
X142.027_0.328,0.553654563,0.036253548,0.000710209,group9_group15
X192.125_4.643,0.449008054,0.628488101,0.002358828,group9_group15
X249.112_2.768,0.41548234,0.103517521,0.003037069,group9_group15
X263.091_2.771,0.056221417,0.297165622,0.000343224,group9_group15
X263.2_2.895,0.654451574,0.32076889,0.024089893,group9_group15
X276.02_2.431,0.813149716,0.297505338,0.002202065,group9_group15
X281.102_2.768,0.535201633,0.492658134,0.001333341,group9_group15
X285.133_2.768,1,0.063995157,0.001209477,group9_group15
X295.227_3.017,0.285022198,0.297165622,0.00434573,group9_group15
X296.258_2.976,0.002200092,0.198632438,0.001209477,group9_group15
X305.248_3.26,0.654451574,0.132649671,0.009520066,group9_group15
X369.17_2.767,0.743604913,0.067862301,0.009520066,group9_group15
X400.342_2.89,1,0.614983623,0.001209477,group15
X409.162_2.768,0.930385129,0.155760355,0.001209477,group9_group15
X425.136_2.773,1,0.692882532,0.000343224,group9_group15
X440.337_2.765,0.553654563,0.116923603,0.00548572,group9_group15
X448.342_2.867,0.680358077,0.155760355,0.014575923,group9_group15
X489.228_2.768,0.535201633,0.063995157,0.000343224,group9_group15
X538.315_2.977,0.042507498,0.546559497,0.001919281,group9_group15
X596.357_2.948,0.056221417,0.492658134,0.001209477,group9_group15
X650.978_2.339,0.449008054,0.00134685,0.081460745,group9_group15
X664.419_3.086,0.009827023,0.32076889,0.014575923,group9_group15
X668.414_2.975,0.736342481,0.9501802,0.004834677,group9_group15
X696.443_3.1,0.265750652,0.067862301,0.002404663,group9_group15
X696.445_3.083,0.115075002,0.777223504,0.001209477,group15
X748.439_2.944,0.553654563,1,0.002404663,group9_group15
