filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,RVB
X105.07_2.767,0.187309024,0.085997408,7.17E-06,not_restored
X111.044_2.768,0.10573266,0.172759917,2.17E-05,not_restored
X132.102_0.307,0.403129237,0.002325703,0.000475834,group9_group15
X137.046_0.35,0.021909827,0.050902406,3.14E-06,not_restored
X142.035_0.315,0.053753928,0.889631458,9.22E-05,group9
X150.059_0.3,0.283461801,0.002325703,4.85E-05,not_restored
X200.165_3.207,0.289233851,0.798599548,0.000232185,not_restored
X214.181_2.634,0.352939014,0.172759917,3.55E-05,group9
X226.181_2.61,0.528974427,0.130773798,0.002262003,group9_group15
X236.163_2.635,0.645732804,0.279722729,3.14E-06,group9
X242.212_2.78,0.283461801,0.798599548,0.000660321,group9
X242.586_2.766,0.625326125,0.085997408,0.01158066,group9
X249.112_2.768,0.102216194,0.130773798,6.72E-06,not_restored
X256.227_2.847,0.403129237,0.758095005,0.00128724,group9_group15
X267.123_2.767,0.183216026,0.085997408,8.47E-06,not_restored
X268.105_0.35,0.067350163,0.085997408,4.88E-06,not_restored
X269.088_0.35,0.080473746,0.012420831,3.55E-05,not_restored
X277.216_3.018,0.050820916,0.930207867,0.00992111,group15
X278.186_2.23,NA,NA,0.00105463,group9_group15
X278.248_3.1,0.865614606,0.536276989,3.55E-05,not_restored
X280.264_3.159,0.410417379,0.516960498,6.72E-06,not_restored
X281.102_2.768,0.159016696,0.19974118,4.85E-05,group9
X285.133_2.768,0.110686986,0.11242807,7.17E-06,not_restored
X295.227_3.017,0.029570509,0.930207867,0.000111158,group15
X298.2_2.676,0.759608265,0.130773798,0.082721874,group9_group15
X300.199_2.264,0.513739931,NA,4.85E-05,group9
X303.648_2.884,0.865614606,0.00371534,3.96E-05,not_restored
X306.279_2.989,0.183406485,1,0.00011948,not_restored
X306.279_3.212,0.865614606,1,3.14E-05,not_restored
X308.295_3.045,0.525298571,0.563540511,7.17E-06,group9
X324.29_3.082,0.102216194,0.449634062,0.000398102,group9
X327.232_3.01,0.410417379,0.089312486,0.000101909,group15
X348.288_3.044,0.513739931,0.951545745,0.098888015,group9_group15
X369.17_2.767,0.150317665,0.139414515,4.13E-06,not_restored
X387.181_2.767,0.183216026,0.085997408,7.17E-06,not_restored
X404.207_2.768,0.216325119,0.09726218,5.53E-06,not_restored
X406.154_2.765,0.182223643,0.105503108,4.64E-06,not_restored
X409.162_2.768,0.183216026,0.122958488,0.000153238,group9
X415.14_2.768,0.528974427,0.312603126,2.52E-05,not_restored
X430.223_2.768,0.720867684,0.098480512,0.000120075,not_restored
X446.218_2.884,0.966460539,0.060760401,0.000660321,not_restored
X475.989_2.164,0.102216194,1,6.47E-05,not_restored
X476.24_2.164,0.127249733,0.930207867,2.23E-05,not_restored
X486.098_2.765,0.183216026,0.363036005,0.000120075,not_restored
X489.228_2.768,0.102216194,0.130773798,8.25E-07,not_restored
X502.294_2.879,0.528974427,0.0612239,0.000398102,group9_group15
X506.255_3.172,0.531411493,0.913416897,0.001011726,group9
X511.21_3.171,0.670328482,0.556740284,0.000132553,not_restored
X522.357_2.957,0.865614606,0.012262303,0.00027528,group15
X528.311_2.928,0.966460539,0.693145961,4.85E-05,not_restored
X544.34_2.89,0.720724762,0.085997408,8.47E-06,group15
X568.341_2.887,0.856402439,0.002325703,4.64E-06,group15
X570.357_2.934,0.720867684,0.063442953,4.80E-05,not_restored
X590.322_2.887,0.802085765,0.008850925,0.000253561,group15
X599.241_2.765,0.142939695,0.105503108,2.52E-05,not_restored
X604.362_2.948,0.016490547,0.563540511,0.000153238,group15
X608.227_2.768,0.159016696,0.674302792,4.62E-05,not_restored
X637.306_3.32,0.369242385,0.085997408,3.14E-06,not_restored
X654.332_3.32,0.159016696,0.075015724,9.22E-05,not_restored
X790.38_2.768,0.10573266,0.119761044,8.25E-07,not_restored
X792.329_2.764,0.102216194,0.279722729,7.36E-06,not_restored
X795.335_2.768,0.116142369,0.122958488,3.55E-05,group9
X801.313_2.768,0.182223643,0.277011665,6.47E-05,group9
X801.815_2.767,0.287641102,0.46091784,0.000491994,group9
