filename,X3A1A_pAdj,X3B1B_pAdj,X3E1C_pAdj,RVT
X111.044_2.768,0.014924754,0.090816168,0.000196398,group9_group15
X122.082_0.534,0.261020703,0.644329509,0.014336172,group9_group15
X130.087_0.452,0.983451991,0.227088846,0.004886721,group9
X137.046_0.35,0.001772411,0.045976367,8.12E-07,not_restored
X142.035_0.315,0.027221699,0.714298901,0.001460285,group9_group15
X172.134_2.343,0.287825281,0.26041335,0.000599349,not_restored
X175.148_2.71,0.317720192,0.294656478,1.98E-05,group9
X198.15_2.471,0.875845311,0.774427636,5.70E-05,group9_group15
X200.165_3.207,0.365806794,0.38891482,0.001351603,group9_group15
X214.181_2.634,0.078205349,0.26041335,0.000179451,not_restored
X216.16_2.471,0.875845311,0.645823246,0.000759139,group9_group15
X228.196_2.71,0.08872119,0.365806794,1.22E-05,not_restored
X230.176_2.586,0.374641143,0.227088846,0.000145617,not_restored
X232.191_2.63,0.003330216,0.227088846,0.017067322,group9_group15
X242.212_2.78,0.509004332,0.227088846,1.36E-05,not_restored
X249.112_2.768,0.027221699,0.227088846,5.33E-05,group9_group15
X256.227_2.847,0.120643507,0.572629874,1.22E-05,not_restored
X256.227_3.318,0.310805572,0.714298901,0.002085784,not_restored
X258.207_2.775,0.30989767,0.141741923,1.98E-05,not_restored
X268.105_0.35,0.078205349,1,0.000163976,not_restored
X269.088_0.35,0.019878865,0.303599294,0.000179451,not_restored
X272.222_2.957,0.714298901,0.846650467,0.002232097,not_restored
X278.248_3.1,0.441816341,0.004075571,3.90E-05,not_restored
X280.189_2.775,0.509004332,0.817840464,0.001144513,group9
X280.264_3.159,0.357319097,0.002828385,1.88E-05,not_restored
X282.28_3.246,0.102064823,0.049613344,0.000145617,not_restored
X296.259_2.971,0.038112827,0.10291658,1.88E-05,not_restored
X303.305_3.529,0.279914487,0.228988846,0.002085784,group9_group15
X303.648_2.884,0.963860065,0.004358755,0.003242938,group9_group15
X306.279_2.989,0.297419817,0.173854381,0.000120128,not_restored
X306.279_3.212,0.982435178,0.645823246,3.37E-05,not_restored
X308.295_3.045,0.480817604,0.004075571,0.000285244,not_restored
X308.295_3.285,0.365806794,0.177445902,8.04E-05,not_restored
X324.327_3.455,0.240558158,0.928591322,0.002922374,group9_group15
X327.232_3.01,0.027221699,0.05834712,0.014337752,group9_group15
X333.063_2.524,0.203214506,0.06152025,0.004301243,group9_group15
X334.311_3.335,0.279914487,0.774427636,0.001192377,group9_group15
X352.321_3.187,0.029624468,0.141741923,0.000179451,not_restored
X368.316_2.962,0.441816341,0.645823246,0.00023842,not_restored
X368.317_3.315,0.910338219,0.645823246,0.002085784,group15
X369.17_2.767,0.038112827,0.05834712,0.002576372,group9_group15
X399.394_3.159,0.30989767,0.05834712,0.000247285,not_restored
X399.395_3.152,0.027221699,0.2589209,0.000192621,not_restored
X489.228_2.768,0.027221699,0.065842267,6.53E-05,group9_group15
X506.255_3.172,0.092232122,1,0.00070267,group9
X530.289_2.929,0.875845311,0.294656478,0.000188262,not_restored
X568.341_2.887,0.509004332,0.013113567,0.012226353,group9_group15
X570.357_2.934,0.082614469,0.049832957,0.016919379,group9_group15
X599.241_2.765,0.019878865,0.090816168,6.53E-05,group9_group15
X602.344_2.984,0.027221699,0.768008034,0.014995211,group9_group15
X604.362_2.948,0.000278572,0.003656918,0.004301243,group9_group15
X637.306_3.32,0.025604436,0.002162309,0.004301243,group9
X666.434_3.024,0.374641143,0.07048844,0.008161346,not_restored
X705.141_2.339,0.891275748,0.10832978,0.005747364,not_restored
X776.148_2.398,0.025604436,0.090816168,0.000386308,group9
X776.253_2.398,0.01490235,0.05834712,0.000599349,not_restored
X776.411_2.398,0.032954287,0.049613344,0.001081954,not_restored
X792.329_2.764,0.014924754,0.173854381,0.000119464,group9_group15
X811.309_2.773,8.00E-05,0.005262871,0.000163976,not_restored
X811.31_2.767,4.33E-05,0.049832957,3.90E-05,not_restored
X819.211_2.398,0.038916063,0.11526346,0.000785751,group9
X819.322_2.398,0.025604436,0.049832957,0.001192377,not_restored
X819.378_2.399,0.025648508,0.133959874,0.00341533,group9
