"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","X102.092_0.611","X105.07_2.767","X111.044_2.768","X114.092_1.761","X119.049_2.765","X122.082_0.534","X128.018_0.344","X130.087_0.452","X132.102_0.307","X136.062_0.301","X136.097_0.551","X137.046_0.35","X137.046_0.42","X141.091_1.54","X141.959_6.859","X142.027_0.328","X142.035_0.315","X150.059_0.3","X166.053_0.305","X172.134_2.343","X175.148_2.71","X192.125_4.643","X198.15_2.471","X200.165_3.207","X203.007_0.309","X214.181_2.634","X216.16_2.471","X226.181_2.61","X228.196_2.71","X230.176_2.586","X232.191_2.63","X236.163_2.635","X240.116_2.324","X242.212_2.78","X242.586_2.766","X249.112_2.768","X251.037_0.323","X256.227_2.847","X256.227_3.318","X256.264_3.225","X258.111_0.302","X258.207_2.775","X263.091_2.771","X263.2_2.895","X267.123_2.767","X272.222_2.957","X276.02_2.431","X277.216_3.018","X278.186_2.23","X278.248_3.1","X280.189_2.775","X280.263_3.169","X280.264_3.159","X281.102_2.768","X282.28_3.246","X285.133_2.768","X291.146_2.39","X295.227_3.017","X296.258_2.976","X296.259_2.971","X298.2_2.676","X300.199_2.264","X301.115_0.328","X301.115_0.413","X303.305_3.529","X303.648_2.884","X305.248_3.26","X306.279_2.989","X306.279_3.212","X308.295_3.045","X308.295_3.285","X311.221_2.932","X324.29_3.082","X324.327_3.455","X327.232_3.01","X333.063_2.524","X334.311_3.335","X345.243_3.095","X348.288_3.044","X351.217_2.741","X352.306_2.997","X352.321_3.187","X366.373_3.699","X368.316_2.962","X368.317_3.315","X369.17_2.767","X377.146_2.225","X380.993_2.164","X385.165_2.771","X386.717_2.856","X387.181_2.767","X387.192_2.843","X387.193_2.842","X396.332_2.991","X397.22_2.071","X399.394_3.159","X399.395_3.152","X400.342_2.89","X400.97_2.127","X404.207_2.768","X406.154_2.765","X409.162_2.768","X415.14_2.768","X416.337_2.79","X420.899_2.103","X425.136_2.773","X426.484_2.164","X428.205_2.248","X430.223_2.768","X430.223_2.769","X440.359_2.985","X444.332_3.016","X446.218_2.884","X448.342_2.867","X458.23_2.165","X466.25_2.226","X472.363_3.023","X475.989_2.164","X476.24_2.164","X484.385_2.982","X486.098_2.765","X488.359_3.01","X489.228_2.768","X494.325_2.865","X502.294_2.879","X506.255_3.172","X511.21_3.171","X516.39_3.018","X522.357_2.957","X528.311_2.928","X530.289_2.929","X532.385_3.004","X538.315_2.977","X544.34_2.89","X546.029_2.319","X560.416_3.006","X568.341_2.887","X570.357_2.934","X576.411_2.999","X580.362_2.984","X590.322_2.887","X596.357_2.948","X599.241_2.765","X602.344_2.984","X604.362_2.948","X604.442_3.001","X607.227_2.771","X608.227_2.768","X608.393_3.098","X616.308_2.766","X620.356_2.913","X620.437_2.993","X637.306_3.32","X648.468_2.995","X650.403_3.014","X650.978_2.339","X654.332_3.32","X664.419_3.086","X664.463_2.992","X666.433_3.092","X666.434_3.024","X668.414_2.975","X679.068_2.179","X682.363_3.329","X682.364_3.313","X690.434_3.14","X692.414_2.985","X696.443_3.1","X696.445_3.083","X705.141_2.339","X708.445_3.006","X708.489_2.982","X709.936_2.18","X720.445_3.09","X737.391_2.399","X748.439_2.944","X752.515_2.977","X764.524_3.729","X776.042_2.398","X776.095_2.398","X776.148_2.398","X776.253_2.398","X776.359_2.398","X776.411_2.398","X790.38_2.768","X792.329_2.764","X795.335_2.768","X801.313_2.768","X801.815_2.767","X811.309_2.773","X811.31_2.767","X819.211_2.398","X819.322_2.398","X819.378_2.399","X819.433_2.399","X867.281_2.399","X898.581_3.224","X268.105_0.35","X269.088_0.35","X293.211_2.933","X368.389_3.90","X440.337_2.765","X442.353_2.823"
"X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML",631,"Group15","142dpi","LV_bottom","C7","P132",0,0.005239874,7.35e-05,0.000138521,0.000193567,0.000154169,0,0.001484045,0.00805323,0.000135214,0,0.013996443,0.00724439,0,0.00040442,0,0.000759606,0.000794773,0,3.15e-05,0.000411453,0,4.32e-05,0.002289368,6.76e-05,0.000960058,0,0,0.021803504,0,0.000238714,0,0.000187053,0.000232368,0.000136241,0.000160405,0,0.000717406,0.00045717,0,0.00022739,0.001262493,2.4e-05,0,0.004395868,0.001083142,0.000132087,0.000534538,0,0.002141667,0,0,0.00338306,0.00085104,0,0.002634004,0.000622455,0.002008032,0,0.000303633,0.000103524,0,0.000153428,0,0,0.000109355,8.2e-05,0.000137059,0.000326567,0.00252147,0.001364477,0,0.000369253,0.000801806,0.000618938,0.003622195,0.00174428,0,0,3.9e-05,6.74e-05,0.002433552,0,0,0.0002795,0.001536795,0,8.73e-05,0,7.98e-05,0.085103999,7e-05,0,0.000126836,3.73e-05,0,0,0,4.06e-05,0.032529421,0.00086159,0.021240833,0.000348874,0.000534538,0.000121747,0,0.000101805,3.41e-05,0,0.000214529,0.00012043,0,3.34e-05,0,0.00010927,5.65e-05,0,0.000439587,0.000464204,0.000113126,0,0,0.004993706,0.000310167,0.001716147,0,0,0,0.003692529,0.00034535,0.000181775,0,0.000562671,0.004044198,3.24e-05,0,0.019271484,0.001062042,0,0.009811577,0.000492337,0.006013547,0.000481787,0.000124456,0.000611905,0,2.86e-05,0.000230181,0.005028873,0,0.00039387,0,0.003112274,0,0,0.000281461,0.000573221,0.00045717,0,0,0.000218195,0.001290627,0,0,7.16e-05,0.000418487,0.00081939,0,0.000643555,0.000270706,0.000615421,0,3.36e-05,0.000400903,0,0.00040442,0,0.000812356,0,0,0,3.73e-05,3.87e-05,0,0.003150958,0.000176765,0.002022099,0.00011479,0,0.000231479,0,0,6.54e-05,0,0,0,0.000407937,0,0.001139409,0.000386836,3.32e-05,0.000286429,0.000271626
"X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML",632,"Group15","142dpi","LV_bottom","C8","P132",0,0.00443898,5.95e-05,0.000184664,0.000184756,4.42e-05,0.00012669,0.001072753,0.003443055,0.000352842,0.000304468,0.010129979,0.009845429,9.36e-05,0.000153739,0,0.000839422,0.000779667,0,5.96e-05,0.000415443,0,6.35e-05,0.001570716,0,0.00094186,2.5e-05,0.001653235,0.019548584,0,0.000224406,2.68e-05,0.00014936,0.00017366,0.000199748,0.000107326,0,0.00068292,0.000239039,0,0.000254578,0.001152427,0,0,0.003670695,0.000150812,7.38e-05,0.000395524,0,0.001823965,0,0,0.002532495,0.000734139,0,0.002014614,0.000472353,0.001428441,0,0.000239914,9.3e-05,0,0.000183308,0.0001328,0,0.000122688,8.45e-05,9.37e-05,0.000263287,0.00210567,0.001345921,0,0.000295932,0.000406906,0.000628855,0.00295932,0.001172346,7.33e-05,0,4.95e-05,2.45e-05,0.00159348,0,0,0.000154911,0.00125202,0,3.28e-05,0,6.24e-05,0.070852945,5.54e-05,0,6.31e-05,0,0,0,0,0,0.024784303,0.000648774,0.016333169,0.000253766,0.000330078,8.7e-05,0,4.3e-05,0,0,0.000161892,0.000101067,0,2.17e-05,0,3.75e-05,0,0,0.000257359,0.000355687,3.34e-05,0,0,0.003556875,0.00037276,0.001789819,0,0,0,0.00335769,0.000404061,0.000181743,0,0.000497962,0.004410525,8.21e-05,0,0.018723389,0.001291857,0,0.008166584,0.000412597,0.00466662,0.000395524,8.45e-05,0.000520726,0,0,8.25e-05,0.004353615,0,0.00031585,0,0.00290241,0,0,0.000209837,0.000574791,0.000392679,0,0,0.000114882,0.000956088,0,0,0.000190062,0.000218683,0.00045528,7.84e-05,0.000386988,0.000232835,0.000367069,0,0,0.000209025,0,0.000274435,0,0.001266247,0,0,3.51e-05,2.4e-05,0,2.4e-05,0.002259327,7.59e-05,0.001573561,2.57e-05,0,0.000242717,0,0,5.34e-05,3.23e-05,2.62e-05,0,0.000287395,0,0.00125771,0.000318696,6.88e-05,0.000153336,0.000179447
"X633_Group15_142dpi_LV_bottom_193_G_C9_P132.mzXML",633,"Group15","142dpi","LV_bottom","C9","P132",0,0.00398613,6.5e-05,0.00012192,0,5.02e-05,5.22e-05,0.00148837,0.007361483,0.000475764,0.000206789,0.009868887,0.014401504,0.00025951,0,0,0.001006176,0.000842231,0.000267858,3.51e-05,0.000453262,0,8.37e-05,0.001610525,0.000253538,0.001195839,4.45e-05,0.002092718,0.023048835,0,0.000279563,3.14e-05,0.000124963,0.000250639,0.000117997,8.77e-05,0.000401828,0.000720075,0.000289539,0.000912952,0.000501481,0.00106404,2.67e-05,0,0.003050676,0.000143881,3.32e-05,0.000697573,0,0.00173911,0,0,0.002153796,0.00050791,0,0.001620169,0.000655783,0.002549195,0,0.000220021,5.35e-05,0,0.000306893,0.000283549,0,0.000171475,7.99e-05,9.44e-05,0.000237048,0.002317742,0.002340244,0,0.000379325,0,0.000511125,0.0030121,0.0012312,3.19e-05,0,8.14e-05,3.83e-05,0.001999494,0,0,0,0.000916167,0,0,2.76e-05,8.95e-05,0.064292427,5.56e-05,0,5.38e-05,0,0,0,0,0,0.029349493,0.000456476,0.014594381,0.000216874,0.000209134,5.91e-05,0,0,3.04e-05,0,0.000174929,8.72e-05,0,2.99e-05,0,0,2.97e-05,0,0.000298379,0.0003158,4.28e-05,0,0,0.002391678,0,0.001748754,2.62e-05,0,0,0.004339739,0,0.000210167,0,0.000488622,0.004693347,3.48e-05,0,0.022405911,0.001269775,0,0.008872355,0.000343964,0.005979196,0.000304929,0,0.000739363,0,0.0001094,0.000124381,0.003793253,0,0.000427545,0,0.002709926,0,0,0.000385755,0.000372896,0.000421115,0,0,0.000253504,0.001019035,0,0,7.49e-05,0.000292418,0.00084866,0,0.000446832,0.000309448,0.000559344,0,0,0.00038254,0,0.000440403,0,0,0,0,5.13e-05,5.96e-05,0.000113317,3.45e-05,0.00258777,9.78e-05,0.001202268,9.19e-05,5.2e-05,0.000195685,0,0,6.89e-05,7.29e-05,3.77e-05,3.33e-05,0.000257501,0,0.001764827,0.000482193,0,0.000142754,0.000129207
"X634_Group15_142dpi_LV_bottom_194_G_C10_P132.mzXML",634,"Group15","142dpi","LV_bottom","C10","P132",0,0.004361477,5.93e-05,0.00019824,0.000155738,8.02e-05,0.000133498,0,0.006542216,0.000139805,0.000380764,0.013049817,0.007303744,0.000114767,0.000110977,0,0.000737297,0.000661145,0,7.53e-05,0.000533069,0,4.57e-05,0.001107677,0,0.001391519,3.82e-05,0.002468042,0.024749653,3.31e-05,0.000211631,7.86e-05,3.41e-05,0.000204855,0,9.49e-05,0,0.000778835,0,0.000356533,7.71e-05,0.001806898,0,0,0.003703794,0.000160808,0.000257173,0.000529608,0,0.001941896,0,0,0.002637655,0.000699221,0,0.001959203,0.000322369,0.001841513,0,0.000325123,1e-04,0,0.000185565,0,0,0.000138949,0.000120632,0.0001115,9.13e-05,0.002478427,0.001024601,0,0.000432686,8.82e-05,0.000768451,0.003773024,0.000854988,6.45e-05,0,3.21e-05,2.65e-05,0.002135739,0,0,2.78e-05,0.00113883,0,0,0,0,0.070960545,0,9.48e-05,6.48e-05,0,0,0,0,0,0.028141914,0.000595376,0.016649767,0.000234846,0.000274104,4.56e-05,0,0,3.07e-05,0,0.00014616,6.35e-05,0,3.36e-05,0,0,3.53e-05,0,0.000322937,0.000339101,5.91e-05,0,0,0.002260353,0.00039461,0.001817282,0,0,0,0.003876869,0.000329179,0.00016291,0,0.000377302,0.004396092,0,0,0.019626648,0.001259982,0,0.007822967,0.000391148,0.004396092,0.000294998,0.000109963,0.000799604,0,0,7.6e-05,0.003911484,0,0.000253196,0,0.002409197,0,0,0.00024671,0.000366918,0.000359995,0,0,0.000138948,0.000809989,0,0,0.000206465,0.000196421,0.000494993,0,0.00039461,0.000174456,0.000422302,0,0,0.000125145,0,0.000226016,0,0.00048807,0,0,8.77e-05,0.000135255,7.59e-05,3.75e-05,0.002506119,4.59e-05,0.001502287,0,0,0.000176801,0,4.42e-05,0.000142608,9.87e-05,8.63e-05,0,0.000384225,0,0.001429595,0.000398071,0,0.000171873,0.000366918
"X635_Group15_142dpi_LV_bottom_195_G_C11_P132.mzXML",635,"Group15","142dpi","LV_bottom","C11","P132",0,0.004631478,6.69e-05,0,0.000154865,0.00015925,0.000220112,0.00192223,0.004650557,0.000168725,0.000290793,0.012449184,0.008871832,0.000139913,0.000294571,0,0.000977809,0.000383593,0,0.000110354,0.000667772,0,0.000128666,0.002489837,0,0.00145479,5.29e-05,0.002590003,0.033197823,5.08e-05,0.000337724,5.28e-05,0,0.000328968,0,3.82e-05,0,0.001068436,0,0,0.000168477,0.002198879,0,0,0.003973245,0.000226894,0.000178063,0.000333179,0,0.002079634,0,0,0.002880961,0.00072978,0,0.002022396,3.93e-05,0.001540646,0,0.000395842,0.000190853,0,7.29e-05,0,0,0.000197814,5.3e-05,0.000144483,0.000163282,0.003009745,0.001263998,0,0.000453572,0.000115726,0.000696391,0.005676065,0.000705931,0,0,0,0,0.000930111,0,0,3.59e-05,0.001139983,0,0,0,0,0.080609656,0,0.000107359,3.67e-05,0,0,0,0,0,0.035248838,0.000777478,0.019270001,0.000304214,4.57e-05,0,0,0,0,0,0.000179282,0,0,0.000103386,0,0,0,0,0.000212217,0.000219365,0,0,0,0.002485067,0.000253255,0.001569265,0,0,0,0.003009745,0.000333764,0.000162173,0,0.000426787,0.004440686,0,0,0.020128565,0.001306926,0,0.009587302,0.000538988,0.003648899,0.000403666,0.000151183,0.000701161,0,0,4.54e-05,0.004221275,0,0.000185232,0,0.002628161,0,0,0.000145764,0.000454418,0.000311925,0,0,0,0.000605765,0,0,0.000299202,0.000100597,0.000425399,0,0.000174398,0.000122917,0.000123003,0,0,3.95e-05,0,3.75e-05,0,0.000329089,5.42e-05,6.37e-05,0.000175475,0.000219279,0.00021306,0.00016787,0.002537535,0,0.001612193,0,0,0.000269307,0,9.74e-05,0.000217397,0.000188542,9.77e-05,0,0,0,0.0028905,0.000188908,0,0,0
"X716_Group15_142dpi_LV_bottom_216_G_E8_P132.mzXML",716,"Group15","142dpi","LV_bottom","E8","P132",0.00130272,0.005812134,8.79e-05,0.000184971,0,0.000177318,0.000127465,0.000681423,0.005090628,0.000182777,0,0.01402929,0.006814226,0.000202916,0,0,0.000917916,0.00058923,7.2e-05,0.000298217,0.000497038,0,6.01e-05,0.001944059,0.000195991,0.001018126,4.78e-05,0.002829908,0.025813893,0,0.000256772,0,7.11e-05,0.000188984,0.000224573,0.000158885,0.000673406,0.000873824,0.000285588,0.001246603,0.000197528,0.001146393,3.2e-05,0,0.005050544,0.000432904,0.000284396,0.000373018,0,0.002461138,0,0,0.003607532,0.000994075,0,0.00289805,0.000175189,0.001447021,0,0.00027312,0.000161404,0,0.000144161,0,0,0.000120583,7.37e-05,0.000158501,0.000290611,0.002845942,0.002437088,0,0.000254349,0,0.000489021,0.004609624,0.001166435,0,0,0,0.000100007,0.001551239,0.001607356,0,0.000103545,0.00167149,0,0,0,0,0.094597496,9.96e-05,0,0.000178207,0,0,0,0,0,0.034191383,0.000990067,0.02164519,0.000733531,0.000218747,0,0.002974209,0,0,0,0.000184463,0.000172044,0,8.12e-05,0,0,0,0,0.000301335,0.000310896,0.000111881,0,0,0.0056518,0.000220585,0.00167149,0,0,0,0.002649532,0.000360899,0.000153374,0,0.000428895,0.003643607,0,0,0.016514478,0.001062218,0,0.007896486,0.000343809,0.003775883,0.000529105,0,0.00054113,0,0,0.000299971,0.00412862,0,0.000176939,0,0.002248695,0,0,0.000114801,0.000325747,0.000234658,0,0,0.000130179,0.000629314,0,0,0.000194786,0.000117144,0.000371002,0,0.000273172,0.00013425,0.000303988,0,0,0.000103898,0,0,0,0,0,0,0,5.24e-05,0,3.34e-05,0.003579473,0.000171731,0.002228653,0.000129074,0.000165208,0.00016699,0,0,0,7.46e-05,3.7e-05,0,0,0,0.00171959,0.000209705,0,7.21e-05,4.78e-05
"X717_Group15_142dpi_LV_bottom_217_G_E9_P132.mzXML",717,"Group15","142dpi","LV_bottom","E9","P132",0,0.007131967,0.00010939,0.000192125,0.000284709,0.00012494,0.000176959,0.00159974,0.006785274,0.000911307,0.000297728,0.016096454,0.01272858,0.000281054,0.000298389,0,0.001262953,0.000747866,0,0.000330587,0.000693386,0,0.00024629,0.001807756,0,0.001649267,0.000153086,0.003506551,0.037640938,3.92e-05,0.000398969,0.000118209,0,0.000341743,0.000287155,0.000188164,0,0.001193614,0,0,0.000319123,0.002268362,9.2e-05,0,0.006438581,0.00037934,0.000217632,0.000313519,0,0.003016228,0,0,0.00373933,0.000980645,0,0.003640275,0,0.001327338,0,0.000473808,0.000196216,0,0.000235646,0.000123412,0,0.000127953,0,0.000252911,0.000124845,0.004140503,0,0,0.00047812,0.000132165,0.000259672,0.005794723,0.00045171,0,0,0,0.000140585,0.00208511,0,3.97e-05,0,0.002327795,0,0,0,0,0.119361395,0.0001044,0,0.000182189,0,9.58e-05,0,0,0,0.04670448,0.000955882,0.029567947,0.000534898,5.55e-05,0,0,0,0,0,0.000346651,0.000266507,0,0.000131456,0,0,0,0,0.000261003,0.000260495,0.000227914,0,0,0.006587164,0.000162131,0.001233236,0,0,0,0.002847834,0.0002312,0.000391993,0,0.000429261,0.003422354,0,0,0.012778108,0.000742913,0,0.009459762,0.000238523,0.003655133,0.000713197,0.000166184,0.000619094,0,0.000169368,0.000284323,0.003630369,0,0.000189996,0,0.003040992,0,0,0.000199379,0.000440832,0.000174573,0,0,0.000124041,0.000429563,0,0,0.000148258,0,0.000298426,0,0.000119819,0.000181178,0.000106957,0,0,0,0,3.81e-05,0,0,0.000105283,0.000105484,0.000128787,0.000189541,0.000180151,0.000107972,0.004700164,0.000248028,0.002917173,0.00018279,0,0.000161741,0,7.58e-05,0.000188429,0.000180784,0.000145896,7.4e-05,0,0,0.00479922,0.000186362,0,0.000129503,5.4e-05
"X718_Group15_142dpi_LV_bottom_218_G_E10_P132.mzXML",718,"Group15","142dpi","LV_bottom","E10","P132",0,0.005149477,8.51e-05,0.000380024,0,0.00022105,9.96e-05,0.001853001,0.005068383,0.000380732,0,0.011637008,0.01119099,0.000155755,0,0,0.000969075,0.00055144,0,0.000108803,0.000502784,0,6.32e-05,0.002590957,0.000278428,0.001062333,5.55e-05,0.002927498,0.027409816,3.81e-05,0.000311985,0,0,0.000156627,0.00015119,0.000125821,0.00055955,0.000912309,0.000379452,0,0.000217311,0.000948801,0,0,0.004500724,0.000229452,0.000113458,0.000555495,0,0.002440933,0,0,0.003547868,0.000713628,0,0.002339566,0.000272734,0.002108447,0,0.00035832,0.000113474,0,0.000241351,0.000106683,0,0.000194752,8.85e-05,0.000185034,0.000298367,0.003065358,0.002813966,0,0.000361229,0.00055955,0.000543331,0.004379083,0.001301561,0,0,2.99e-05,0.000109608,0.001848946,0,0,0.000252395,0.001285342,0,3.95e-05,0,3.82e-05,0.084743367,0,0.000132742,0.000191252,0,4.11e-05,0,0,0,0.0345461,0.000701464,0.021043927,0.000405471,0.000274906,0,0,0,0,0,0.000218368,0.000134041,0,3.89e-05,0,0,0,0,0.000265058,0.000275618,0.000110251,0,0,0.004338536,0.000340631,0.00207601,0,0,0,0.004825101,0.000498729,0.000300494,0,0.00041358,0.006446983,0,0,0.022544168,0.001634047,0,0.006163154,0.000474401,0.003551923,0.000514948,9.08e-05,0.00062037,0,0.000155095,0.000187027,0.002927498,0,0.000330032,0,0.003981722,0,0,0.000191964,0.000677136,0.000243753,0,0,0.000204433,0.000547385,0,0,0.000309295,0.000132947,0.000450072,0,0.000260267,0.000160862,0.000189153,0,0,8.47e-05,0,7.05e-05,0,0.0009042,0,0,0,0,0,0,0.002842349,0.000149942,0.001897603,0.000120264,0.000131129,0.00020085,0,0,0,0,0,0,0,0,0.003981721,0.00032466,0,0.000227207,0.000172031
"X719_Group15_142dpi_LV_bottom_219_G_E11_P132.mzXML",719,"Group15","142dpi","LV_bottom","E11","P132",0,0.005852056,0.000118237,0.00049815,0.000205275,0.000334668,0.000149051,0.001920055,0.005029867,0,0,0.013880497,0.008753903,0.00014063,0,0,0.00101081,0.000735134,3.89e-05,0.00020609,0.000744807,0,0.0001454,0.002340823,0.000185242,0.001803981,6.27e-05,0.003520907,0.03477379,3.75e-05,0.000335581,0.000112241,0,0.000351943,0.000282149,0.000103801,0.000720625,0.001054337,0,0.000788335,0.000176426,0.002466569,0,0,0.004884774,0.000413934,0.000672261,0.000323365,0,0.002326313,0,0,0.003022756,0.000788335,0,0.002248931,0.000189112,0.001267139,0,0.000452261,8.88e-05,0,0.000165547,0,0,8.25e-05,0,0.000111641,0.000107391,0.00315334,0.001745944,0,0.000454216,0,0.000556187,0.004981503,0.000481704,0,0,0,0,0.00207482,0,0,4.35e-05,0.001368704,0,0,0,0,0.093826359,0.000173068,0,9.56e-05,0,0.000100101,0,0,0,0.036321441,0.000880227,0.021231841,0.000730298,0.000114328,7.96e-05,0.002926028,0,0,0,0.000244961,5.31e-05,0,4.67e-05,0,0,0,0,0.000398446,0.000422966,0,0,0,0.003414506,0,0.001755617,0,0,0,0.002447224,0.000273555,0.000139523,0,0.000421438,0.00353058,0,0,0.0150896,0.000918918,0,0.009576092,0.000264395,0.004202841,0.000517496,0,0.000657752,0,0,0.000328946,0.004396297,0,0.00023733,0,0.002113511,0,0,0.000209257,0.000322568,0.000257396,0,0,7.89e-05,0.000672261,0,0,0.000126837,0,0.000356863,0,0.000199097,0.00015153,0.000140212,0,0,0,0,0,0,7.83e-05,0,0,0,0,0,0,0.002703553,0.00012935,0.001789472,5.76e-05,0.000171827,0.000190018,0,0,0,0,0,0,0,0,0.001862018,0.000187135,0,4.12e-05,0
"X720_Group15_142dpi_LV_bottom_220_G_E12_P132.mzXML",720,"Group15","142dpi","LV_bottom","E12","P132",0.001484681,0.002441388,0,0.000168781,0,0.000140643,9.15e-05,0.001679199,0.006470671,0.000404913,0,0.012742854,0.008018868,8.94e-05,0.000211422,0,0.001103587,0.000516066,0.000396974,0.000100274,0.000512096,0,5.99e-05,0.003151971,0.000346286,0.001381468,5.06e-05,0.002647814,0.027907248,3.59e-05,0.000331722,4.28e-05,0,0.000195675,0.00014408,0,0.000571642,0.000944797,0.000383724,0.00090907,0.000440641,0.001167103,0,0,0.002195264,0.000286065,9.14e-05,0.000658976,0,0.001480712,0,0,0.002246871,0.00036343,0,0.001159163,0.000305196,0.002453297,0,0.000313038,0.000100705,0,0.00023783,0,0,0.000213813,0,0.000101584,0.000157059,0.002187325,0.002227022,0,0.000255182,0.000234248,0.000370554,0.004088829,0.000805857,0,0,0,0,0.0018102,0,0,0.000336863,0.000571642,0,0,0,4.54e-05,0.046048945,0,0.000199158,0,0,0,0,0,0,0.020205959,0.000400943,0.010202223,0.000221366,7.77e-05,0,0,0,0,0,0.00011528,3.23e-05,0,3.01e-05,0,0,0,0,0.000189609,0.000200428,0,0,0,0.001182982,0.000235584,0.00150453,0,0,0,0.003608491,0,0.00021318,0,0.000496217,0.00512096,0,0,0.023222959,0.001448954,0,0.009090697,0.000500187,0.004723987,0.000156607,0,0.000662946,0,0,0,0.004088829,0,0.000310745,0,0.00362437,0,0,9.85e-05,0.000643097,0.000328711,0,0,0.000161157,0.000742341,0,0,0.000276265,0.000173596,0.00059943,0,0.000376151,9.7e-05,0.000315792,0,0,0.000189387,6.71e-05,0.000241061,0,0.000219648,0.000136134,0.000217507,0.000250128,0.000278463,0.000317216,0.000271065,0.001377499,0,0.000801887,0,0,7.34e-05,0,0.000316475,0.000220552,0.000236141,0.000268586,6.58e-05,0,0,0.002155567,0.000395194,0,0.000133568,5.74e-05
