"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","X102.092_0.611","X105.07_2.767","X111.044_2.768","X114.092_1.761","X119.049_2.765","X122.082_0.534","X128.018_0.344","X130.087_0.452","X132.102_0.307","X136.062_0.301","X136.097_0.551","X137.046_0.35","X137.046_0.42","X141.091_1.54","X141.959_6.859","X142.027_0.328","X142.035_0.315","X150.059_0.3","X166.053_0.305","X172.134_2.343","X175.148_2.71","X192.125_4.643","X198.15_2.471","X200.165_3.207","X203.007_0.309","X214.181_2.634","X216.16_2.471","X226.181_2.61","X228.196_2.71","X230.176_2.586","X232.191_2.63","X236.163_2.635","X240.116_2.324","X242.212_2.78","X242.586_2.766","X249.112_2.768","X251.037_0.323","X256.227_2.847","X256.227_3.318","X256.264_3.225","X258.111_0.302","X258.207_2.775","X263.091_2.771","X263.2_2.895","X267.123_2.767","X272.222_2.957","X276.02_2.431","X277.216_3.018","X278.186_2.23","X278.248_3.1","X280.189_2.775","X280.263_3.169","X280.264_3.159","X281.102_2.768","X282.28_3.246","X285.133_2.768","X291.146_2.39","X295.227_3.017","X296.258_2.976","X296.259_2.971","X298.2_2.676","X300.199_2.264","X301.115_0.328","X301.115_0.413","X303.305_3.529","X303.648_2.884","X305.248_3.26","X306.279_2.989","X306.279_3.212","X308.295_3.045","X308.295_3.285","X311.221_2.932","X324.29_3.082","X324.327_3.455","X327.232_3.01","X333.063_2.524","X334.311_3.335","X345.243_3.095","X348.288_3.044","X351.217_2.741","X352.306_2.997","X352.321_3.187","X366.373_3.699","X368.316_2.962","X368.317_3.315","X369.17_2.767","X377.146_2.225","X380.993_2.164","X385.165_2.771","X386.717_2.856","X387.181_2.767","X387.192_2.843","X387.193_2.842","X396.332_2.991","X397.22_2.071","X399.394_3.159","X399.395_3.152","X400.342_2.89","X400.97_2.127","X404.207_2.768","X406.154_2.765","X409.162_2.768","X415.14_2.768","X416.337_2.79","X420.899_2.103","X425.136_2.773","X426.484_2.164","X428.205_2.248","X430.223_2.768","X430.223_2.769","X440.359_2.985","X444.332_3.016","X446.218_2.884","X448.342_2.867","X458.23_2.165","X466.25_2.226","X472.363_3.023","X475.989_2.164","X476.24_2.164","X484.385_2.982","X486.098_2.765","X488.359_3.01","X489.228_2.768","X494.325_2.865","X502.294_2.879","X506.255_3.172","X511.21_3.171","X516.39_3.018","X522.357_2.957","X528.311_2.928","X530.289_2.929","X532.385_3.004","X538.315_2.977","X544.34_2.89","X546.029_2.319","X560.416_3.006","X568.341_2.887","X570.357_2.934","X576.411_2.999","X580.362_2.984","X590.322_2.887","X596.357_2.948","X599.241_2.765","X602.344_2.984","X604.362_2.948","X604.442_3.001","X607.227_2.771","X608.227_2.768","X608.393_3.098","X616.308_2.766","X620.356_2.913","X620.437_2.993","X637.306_3.32","X648.468_2.995","X650.403_3.014","X650.978_2.339","X654.332_3.32","X664.419_3.086","X664.463_2.992","X666.433_3.092","X666.434_3.024","X668.414_2.975","X679.068_2.179","X682.363_3.329","X682.364_3.313","X690.434_3.14","X692.414_2.985","X696.443_3.1","X696.445_3.083","X705.141_2.339","X708.445_3.006","X708.489_2.982","X709.936_2.18","X720.445_3.09","X737.391_2.399","X748.439_2.944","X752.515_2.977","X764.524_3.729","X776.042_2.398","X776.095_2.398","X776.148_2.398","X776.253_2.398","X776.359_2.398","X776.411_2.398","X790.38_2.768","X792.329_2.764","X795.335_2.768","X801.313_2.768","X801.815_2.767","X811.309_2.773","X811.31_2.767","X819.211_2.398","X819.322_2.398","X819.378_2.399","X819.433_2.399","X867.281_2.399","X898.581_3.224","X268.105_0.35","X269.088_0.35","X293.211_2.933","X368.389_3.90","X440.337_2.765","X442.353_2.823"
"X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML",631,"Group15","142dpi","LV_top","C7","P128",0,0.004464503,4.64e-05,0,0,0,0,0,0.002901927,0,0,0.011423875,0,0.000240284,0.0001949,0,0,0,0.000112229,0.000323818,0.000783477,0,0.000188415,0,0.000177127,0,9.1e-05,0.003138283,0.037160422,4.13e-05,0.000564628,4.07e-05,6.28e-05,0.000427361,0,0.000104868,0,0.001251812,0,0,0,0,0,0,0,0.001361236,0,0.000704691,0,0.001435644,0,0.002429215,0,0.000612775,0,0.002057173,0,0.002328545,0.000279231,0,8.55e-05,0,0,0,0,0,0.000203553,0.000133432,0,0.002700587,0.002232252,0.000370784,0.000416867,0,0,0.00275311,0,0,0,4.1e-05,9.05e-05,0,0.000665298,4.25e-05,0,0,0,0,0,0,0,0.000214185,0,0.000125661,0,8.29e-05,0,5.82e-05,0,0,0,0.011817802,0,0.000377912,6.34e-05,0.002249759,0,0,0,0,0.000126199,0,3.67e-05,0,0,0,0,0.000142167,0.000231409,0.000110624,0,0,0.003409655,0,0,0,0,0,0,0,0,0,0,0.005777592,0,0,0.030770055,0,0,0,0.000334542,0,0,0,0.000748461,0,3.18e-05,0.000125216,0.006259058,0,0,0,0.004315686,0,0,0,0.000529613,0.000555874,0,0.000278509,0.000273504,0,0,0.000551497,0,0.000468335,0.000678429,0,0.000822869,7.65e-05,0.000871016,0,0,0.000373889,0,0.000529613,0,0,0,0,5.97e-05,8.55e-05,8.82e-05,6.8e-05,0.002556147,0,0.001116126,4.78e-05,0,0.000202707,0,8.56e-05,0.000113557,7.79e-05,8.13e-05,6.44e-05,0.000367892,0,0.001243058,0.000402601,0,0.000398175,0.00029581
"X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML",632,"Group15","142dpi","LV_top","C8","P128",0,0.005096628,8.28e-05,0.000411505,0,0,0,0,0.006946515,0.000107834,0,0.013477749,0.005021122,0.000375501,0.000239565,0,0,0,0,3.75e-05,0.000502112,0,6.57e-05,0,0.000147563,0,5.65e-05,0.002846561,0.024312801,0,0.000262792,0,0.000153118,6.62e-05,0,0.000137026,0,0.000819236,0.000165724,0.000770157,0,0,0,0,0.004266066,0.000339494,0,0.000483236,0,0.001310022,0,0.002106606,0,0.000656899,0,0.002612494,0,0.001763056,0.000186292,0,0,0,0,0,0,0,0.000241416,7.84e-05,0.000208837,0.00188764,0.002419954,0.000354305,0.000348091,0,0.000600269,0.001997123,0.000777708,3.38e-05,0,3.65e-05,0,0.001713977,0.000804135,0,0,0.001491235,0,5.4e-05,0,0,0.083811209,7.01e-05,0,4.17e-05,0,0,0,5.42e-05,0,0.031750102,0,0.013402243,0,0.000180122,3.05e-05,0.003050426,4.02e-05,0,0,0,3.9e-05,0,4.04e-05,0,5.01e-05,7.17e-05,0,0.000490786,0.000532314,3.59e-05,0,0,0.003586516,0,0,0,0,0,0,0,0,0,0,0.007097526,0,0,0.031787855,0,0,0,0.000308991,0.005587414,0,0,0.000875865,0,9.22e-05,0.000155109,0.004794605,0,0.000317016,0,0.002657797,0,0,9.94e-05,0.000464359,0.000456809,0,0.00024731,0.000199334,0,0,0.000359294,0,0.000315686,0.00054364,0,0.000800359,0.000175969,0.000928719,0,3.99e-05,0.000311334,0,0.000422831,0,0,0,0,5.79e-05,0.000124871,0.000118815,5.19e-05,0.003220314,0,0.001136359,6.98e-05,0,0.000199007,0,6.1e-05,0.000145972,7.25e-05,6.94e-05,0,0,0,0.001453483,0.00036459,0,4.1e-05,5.6e-05
"X633_Group15_142dpi_LV_top_193_G_C9_P128.mzXML",633,"Group15","142dpi","LV_top","C9","P128",0,0.005745062,5.07e-05,0.000205712,0,0,0,0,0.006484956,0,0,0.015537781,0,0.000105927,0,0,0,0,0.000102292,3.91e-05,0.000391974,0,5.51e-05,0,0.000263935,0,0,0.002324139,0.022501492,0,0.000289121,0,0,0.00017181,0,0.000112107,0,0.00067461,0.000117018,0,0,0,3.04e-05,0,0,0.000304102,0,0.000670257,0,0.001310048,0,0.002267558,0,0.000835645,0,0.002846417,0,0.002502584,0.000240063,0,0,0,0,0,0,0,0.000169352,4.86e-05,0.000195251,0.002254501,0.002711495,0.000328337,0.000273624,0,0,0.002881236,0.000853055,0,0,0,0,0.001283934,0.001283934,0,0,0.001536369,0,0,0,0,0,0,0,0,0,3.7e-05,0,0.000478755,0,0,0,0.014319131,0,0.00048746,0,0.003499265,0,0,0,0,0,0,0,0,0,0,0,4.82e-05,5.42e-05,3.23e-05,0,0,0.004439366,0,0,0,0,0,0,0,0,0,0,0.010097381,0,0,0.034209231,0,0,0,0.000313831,0,0,0,0.000761656,0,3.55e-05,8.19e-05,0.004395843,0,0.000245338,0,0.003198955,0,0,0.000146701,0.000470051,0.000360255,0,0.000258067,0.000222358,0,0,0.000332375,0,0.000264242,0.000539688,0,0.000726837,0.000193884,0.000887873,0,0,0.000234169,0,0.000318735,0,0,0,0,0,9.64e-05,4.89e-05,0,0.003029214,0,0.001375333,4.98e-05,0,0.000196917,0,0,7.2e-05,7.98e-05,6.34e-05,0,0.000426446,0,0.002106523,0.000405705,0,0.000718133,0.000496164
"X634_Group15_142dpi_LV_top_194_G_C10_P128.mzXML",634,"Group15","142dpi","LV_top","C10","P128",0,0.005465547,6.33e-05,0.000536795,0,0,0,0,0.007173531,4.64e-05,0,0.017421432,0,0,0,0,0,0,0,6.37e-05,0.001112629,0,0.000238261,0,0.000215369,0,0.00018746,0.005758344,0.052215497,0,0.000242486,0.000151588,5.18e-05,0.000378968,0,8.7e-05,0,0.001571345,0,0,0,0,0,0,0,0.000440346,0,0.000936951,0,0.001332227,0,0.001903182,0,0.000922311,0,0.002786453,0,0.002752293,0.000243784,0,0,0,0,0,0,0,0.000148272,5.59e-05,4.48e-05,0.002630295,0.001517665,0.000658794,0.000663674,0,0,0.002571735,0.000459799,4.93e-05,0,3.76e-05,0,0,0.000476863,9.07e-05,0,0.001590865,0,6.79e-05,0,0,0,6.79e-05,0,0,0,0.000113135,0,0.000697833,0,0,0,0.016299043,0,0.000487995,5.42e-05,0.003791723,8.03e-05,0,0,0,4.04e-05,0.000444431,0,0,6.8e-05,0.000197861,4.88e-05,0.000717353,0.000785672,0,0,0.000459979,0.004806754,0,0,0,0,7.89e-05,0,0,0,0.000595354,0,0.007807925,0,0,0.030646105,0,0.00045126,0,0.000351735,0,0,0,0.001137029,0,4.53e-05,9.42e-05,0.004689635,0,0.000267481,0.000278707,0.003718524,0,0,0.00010977,0.000522155,0.000337817,0.00020381,0.00027549,0.000249556,0,0,0.000527035,0,0.000114543,0.000517275,0,0.000614874,0.000253976,0.000805192,6e-05,5.55e-05,0.000101264,0.00011395,0.000431471,0,0,0.000224599,0.00027283,0.000377007,0.000497755,0.000433284,0.000283185,0.002874292,0,0.001561585,6.49e-05,0,0.000272156,0,0.000378616,0.000465514,0.000467792,0.000372248,0.000221177,0,3.93e-05,0.001986141,0.000644154,0,0.000347407,0.000531915
"X635_Group15_142dpi_LV_top_195_G_C11_P128.mzXML",635,"Group15","142dpi","LV_top","C11","P128",0.001373898,0.006218073,5.63e-05,0.000519059,0,0,0,0,0.008409203,0,0,0.02049003,0,0.000224684,0,0,0,0,0,0.000166732,0.000817232,0,0.00018648,0,0.000245962,0,9.32e-05,0.003304462,0.04092084,0,0.000387002,0,8.08e-05,0.000323687,0,6.85e-05,0,0.001362054,0,0,0,0,0,0,0,0.000876452,0,0.000461435,0,0.001687763,0,0.003002441,0,0.000829076,0,0.002765562,0,0.001818046,0.000385755,0,9.55e-05,0,0,0,0,0,0.000113986,7.34e-05,0.000127012,0.002824782,0.00219113,0.000232097,0.000397246,0,0,0.003961801,0.00029728,0,0,0,0,0,7.39e-05,0,0,0.001569323,0,0.000198578,0,0,0,0.000188367,0,0,0,5.28e-05,0,0,0,0,0,0.017469823,0,0.000200883,0,0.003807829,5.93e-05,0,0,0,0,0,5.92e-05,0,0.000173901,0.000134307,0,0.001042267,0.001083721,0,0,0,0.004151304,0,0,0,0,0,0,0,0,0,0,0.00681027,0,0,0.028129377,0,0,0,0.000423719,0,0,0,0.000675105,0,0,0.000172541,0.004583608,0,0.000134329,5.2e-05,0.003405135,0,0,0.000113955,0.000704715,0.000401554,0,0.000197479,0.000238793,0,0,0.00057736,0,0.000128918,0.000431143,0,0.000443402,0.000150769,0.000396591,0,0,0,0.000194323,4.96e-05,0,0,0.000305304,0.000400807,0.00052431,0.000746169,0.000651417,0.000504041,0.003322227,0,0.001652231,0,0,0.000344968,0,0.000615885,0.000615885,0.000675105,0.000564329,0.000320164,0,0,0.002037159,0.000162848,0,0,7.92e-05
"X716_Group15_142dpi_LV_top_216_G_E8_P128.mzXML",716,"Group15","142dpi","LV_top","E8","P128",0.000502029,0.004271926,4.17e-05,0.000526975,0,0,0,0,0.002235745,0,0,0.002507028,0,0,0.000161665,0,0.000473965,0,0,2.74e-05,0.000321174,0,8.57e-05,0,0,0,7.07e-05,0.002195209,0.018989801,0,0.00010073,2.65e-05,9.62e-05,8.8e-05,0,9.26e-05,0,0.000536329,0.000314938,0,0,0,0,0,0,0.000608048,0,0.000308464,0,0.001106959,0,0.001680707,0,0.000664175,0,0.002220154,0,0.001135023,8.86e-05,0,0,0,0,0,0,0,0.00024117,2.88e-05,0.000194044,0.00141566,0.002859384,0.000192913,0.000343001,0,0,0.001786725,0.001396951,0,0,0,0,0,0.002082954,0,0,0.001241041,0,0,0,0,0,0,0,2.48e-05,0,2.76e-05,0,0.000276327,0,0,2.41e-05,0.013314688,0,0.000253932,0,0.002550683,0,0,0,0,2.28e-05,0.000536329,0,2.65e-05,3.19e-05,4.48e-05,4.35e-05,0.000305599,0.000267058,0,0,0.000807612,0.003710651,0,0,0,0,7.88e-05,0,0,0,0.001228568,0,0.00739012,0,7e-05,0.02862502,0,0.00125975,0,0.000333647,0,2.19e-05,0,5.18e-05,5.08e-05,3.1e-05,0.000108412,0.002485201,0,3.83e-05,0.001253514,0.002519501,0,0,5.84e-05,0.000302479,0.000279197,0.000957286,8.75e-05,0.000106855,0,0,0.000269539,0,0.000197521,0.000255251,0,0.000420956,6.41e-05,0.000402247,0.000608048,0,7.05e-05,0,8.36e-05,0.000452138,0,4.98e-05,0.000101399,0.000183668,0.000165298,0.000190562,0.000157426,0.002613047,0,0.001275341,4.07e-05,0,0.00021111,0,0.000154789,0.000251579,0.000154131,0.000173903,0.000124823,0,0,0,0.000190807,5.63e-05,0.000107403,0.000133118
"X717_Group15_142dpi_LV_top_217_G_E9_P128.mzXML",717,"Group15","142dpi","LV_top","E9","P128",0,0.006497268,9.38e-05,0.000542253,0,0,0,0,0.009574921,0.000180414,0,0.018417068,0,0.000221477,0,0,0,0,0,0.000127586,0.000727889,0,0.000176887,0,0,0,9.21e-05,0.003341452,0.03488007,0,0.000396685,0,0,0.000245568,0,0.000197953,0,0.001143128,0,0,0,0,0,0,0,0.000413256,0,0.000972148,0,0.00149486,0,0.002369304,0,0.000845133,0,0.003233978,0,0.003390304,0.000235545,0,0,0,0,0,0,0,9.51e-05,0.000101999,9.41e-05,0.002432812,0.002115276,0.000659497,0.000522713,0,0,0.003072768,0.000615531,0,0,0,0,0,0.000191128,0,0,0.001700037,0,7.26e-05,0,0,0,0.00017363,0,4.33e-05,0,0.00010483,0,0,0,0,0,0.018319364,0,6.22e-05,0,0.003390304,0,0,0,0,4.34e-05,0,4.65e-05,0,0,5.03e-05,0,0.000630186,0.000708349,0,0,0,0.006155306,0,0,0,0,0,0,0,0,3.91e-05,0,0.008304778,0,0,0.031704713,0,4.31e-05,0,0,0,0,0,0.000967262,0,0.000149085,0.000276894,0.004709298,0,0.000191301,0,0.003844624,0,0,0.000218189,0.000703464,0.000336512,0,0.000279471,0.000311021,0,0,0.000854904,0,9.77e-05,0.000356802,0,0.000382231,0.000245231,0.000493402,0,0,5.2e-05,0,0.000202408,0,0,8.66e-05,0.000124307,0.000156928,0.000180745,0.000260271,0.000178386,0.003561284,0,0.001714692,0.000125903,8.69e-05,0.000329557,0,0.000173362,0.000197765,0.000315171,0.000187236,8.51e-05,0,0,0.001675611,0.000669267,0,5.03e-05,0
"X718_Group15_142dpi_LV_top_218_G_E10_P128.mzXML",718,"Group15","142dpi","LV_top","E10","P128",0,0.005138314,0.000103899,0.000832597,0,0,0,0,0.007517163,0,0,0.021885412,0,0.00023636,0,0,0,0,0,0.00012379,0.001003874,0,0.000231534,0,0,0,0.000123941,0.006089854,0.046910904,5.08e-05,0.00053762,0.000142695,0,0.000297475,0,0.0001413,0,0.001413036,0,0,0,0,0,0,0,0.000391504,0,0.000589955,0,0.001451098,0,0.00227418,0,0.000708897,0,0.002445457,0,0.002198057,0.000299534,0,0,0,0,0,0,0,0.000113858,5.17e-05,8.87e-05,0.002488276,0.00161286,0.000332965,0.000551893,0,0.000523347,0.003416027,0.000383361,0,0,0,0,0,0.000260077,4.28e-05,0,0.00132264,0,6.27e-05,0,0,0,0.000146483,0,0,0,0.000101463,0,0,0,0,0,0.015319788,0,4.89e-05,0,0.004329505,4.95e-05,0,0,0,0,0,4.81e-05,0,4.05e-05,7.47e-05,0,0.000561408,0.000589955,4.46e-05,0,0,0.004367567,0,0,0,0,0,0,0,0,0,0,0.007231701,0,0,0.026357648,0,0,0,0.000352623,0.002402638,0,0,0.000818324,0,0.000150277,0.00017435,0.003896555,0,9.34e-05,0,0.002507307,0,0,9.25e-05,0.000423924,0.000306751,0,0,0.000416839,0.000704139,0,0.000499558,0,5.45e-05,0.000337177,0,0.000195958,0.000204832,0.00021798,0,0,0,0,7.63e-05,0,0,0,0,8.77e-05,0.00011265,0.000100684,9.43e-05,0.002883165,0,0.001379732,0,0.000103055,0.000268327,0,8.16e-05,0.000143077,0.000143776,0.000130997,0,0,0,0.002055326,0.000438651,0,0,0
"X719_Group15_142dpi_LV_top_219_G_E11_P128.mzXML",719,"Group15","142dpi","LV_top","E11","P128",0,0.002289657,2.39e-05,0,0,0,0,0,0.002262948,0,0,0,0.002743703,7.02e-05,0,0,0.000429766,0.00011842,0,2.37e-05,0.000320503,0,8.69e-05,0,0,0,4.49e-05,0,0.017190638,1.96e-05,0.00010263,2.7e-05,3.7e-05,0.000156976,0,2.71e-05,0,0.000597302,0.000454046,0.000801259,0,0,0,0,0.001927877,0.000242299,0,0.000417626,0,0.000857104,0,0,0.0015491,0.000335072,0,0.001204316,0.000245234,0.001371852,0.000138378,0,0,0,0,0,0,0,0.000118031,1.97e-05,0.000187924,0.001153327,0.002646581,0.000298651,0.000269514,0,0.000558453,0.001070773,0.001177607,4.09e-05,0,0,0,0.001306294,0.00201043,0,0,0.000575449,0,7.14e-05,0,0,0.039577315,3.64e-05,0,0,0,0,0,6.01e-05,0,0.013888481,0,0.007672657,7.55e-05,0.000120339,5.39e-05,0.002037139,3.14e-05,0,0,0.000128026,0,0.000694424,1.94e-05,2.07e-05,2.73e-05,8.34e-05,7.95e-05,0.000415198,0.00044919,0,0,0.001175179,0.001456834,0,0,0,0,8.85e-05,0.005535968,0,0,0.001551528,0,0.004151976,2.42e-05,7.85e-05,0.017117796,0,0.001629226,0,0.00024064,0,0,0,1.9e-05,5.34e-05,0,0,0.002452337,0,0.000138991,0.00171178,0.00166079,4.32e-05,0,7.12e-05,0.000240886,0.000191598,0.001277158,0.000140454,4.66e-05,0.000733273,0,0.000118763,0,0.000172705,0.000403057,0,0.000546313,0.000111314,0.000580305,0.001007643,0,0.000153071,7.17e-05,0.000198391,0.00062401,0,3.23e-05,5.31e-05,0.000137415,0.000171232,0.000155595,7.62e-05,0.001087769,0,0.000621582,0,0,0.000147348,0,0.000145239,0.000182946,0.000168565,0.000136731,4.25e-05,0.000662859,0,0,0.000305935,6.27e-05,4.57e-05,4.4e-05
"X720_Group15_142dpi_LV_top_220_G_E12_P128.mzXML",720,"Group15","142dpi","LV_top","E12","P128",0,0.00227116,0,0,0,0,0,0,0.005851619,0,0,0.013861022,0,0.000222675,0,0,0,0,9.96e-05,3.88e-05,0.000497388,0,0.000145845,0,0,0,0.000116431,0.002735632,0.024759663,0,0.000413271,3.43e-05,3.84e-05,0.000282568,0,0,0,0.00080094,0.000284721,0.000319583,0,0,0,0,0.001956635,0.000316609,0,0.001323929,0,0.001064263,0,0.001759143,0,0.000324798,0,0.00106792,0,0.004352142,0.000256725,0,0,0,3.18e-05,0,0,0,0.000113049,0.000102706,0.000141246,0.001718913,0.002176071,0.000822884,0.000296205,0,0,0.002293103,0.000636364,0.000118297,0,3.61e-05,0,0,0.000793626,0,0,0.000522988,0,0,0,0,0.038766976,0,0.000149251,0,0,0,0,0,0,0.016347961,0,0.00629049,0,0.00021305,0,0.001861546,0,0,0,0,0,0,0,4.26e-05,0,0,0,0.000208574,0.000232255,2.72e-05,0,0,0.001031348,0,0,0,0,0,0,0,0,0,0,0.01312957,0,0,0.063636357,0,0,0,0.000621735,0,0,0,0.000563218,0,0,0,0.003470742,0,0.000320194,0,0.002794148,0,0,8.47e-05,0.000504702,0.000330007,0,0,0.000286684,0,0,0.000508359,0,0.000177154,0.000435214,0,0.00069488,0.000108727,0.000789969,0,0,0.000160873,3.02e-05,0.000220117,0,0,4.82e-05,7.01e-05,0.000104832,0.000231475,7.79e-05,8.28e-05,0.001045977,0,0.0004535,0,0,0.000156676,0,8.97e-05,0.000175387,0.000170478,0.000120259,6.18e-05,0.000198673,0,0.001704284,0.000782654,0,0.000333136,0.000171258
